#/home/enes/bim/BIM.py trees/r3010050.trees,trees/r3010051.trees,trees/r3010052.trees,trees/r3010053.trees,trees/r3010054.trees,trees/r3010055.trees,trees/r3010056.trees,trees/r3010057.trees,trees/r3010058.trees,trees/r3010059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/536864212.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,FulD,FayH,bsfs,ZngE,TajD,Colless,btree,path
0,100001.0,50,411,0.37652689254479954,0.1675697284087499,0.04581707242035749,0.30741569779732736,-0.3213320728164034,0.01688095296482132,0.11479108688930116,0.019638367387070935,r3010050.trees
0,100001.0,50,432,-0.27227069292492545,0.9938605975397083,-0.050419393260505214,-0.7240430597290368,0.1042502419388894,-0.26021408049133155,0.12635522959183673,-0.12124817877359625,r3010051.trees
0,100001.0,50,338,-0.06631866079244773,-0.3117343502296824,-0.0037977228142909896,0.06564956763489416,0.08823952854187178,0.0584950967730674,0.11202699829931972,0.3112382255180177,r3010052.trees
0,100001.0,50,375,-0.31185451348970983,0.0651990979406079,-0.06325380701649724,-0.6917234185321982,0.07972829646016831,-0.3752638490090914,0.14414199745832387,-0.25481259827020836,r3010053.trees
0,100001.0,50,377,-0.3930524500836921,-0.46297694141314505,-0.06206672595961991,-0.6036195172533422,0.23077035640099608,-0.22039797728042534,0.14381377551020402,-0.38271394152570565,r3010054.trees
0,100001.0,50,386,-0.19579686499158958,1.3502151081466407,-0.029066429669007333,-0.7785122162975844,0.12854631938074673,-0.08344284023298829,0.1586356764928193,-0.7700322272877096,r3010055.trees
0,100001.0,50,469,0.05153653225009422,0.11879809473887713,0.014284079914579249,0.007992361421280642,0.015478583064462901,0.11732770251374895,0.13077574024778998,0.3209187598518584,r3010056.trees
0,100001.0,50,400,-0.23085650922159992,0.9289553627760385,-0.030521698819414703,-0.22657344645240537,0.1791344513607446,-0.04496791218643411,0.14195483749055174,-0.40162432147412097,r3010057.trees
0,100001.0,50,346,0.09373025720955336,-0.7226099089233763,0.03629738471567867,0.40968155500155856,0.10321178963236968,0.35965466159043274,0.11515587830224125,0.29907487603253324,r3010058.trees
0,100001.0,50,404,-0.04713833657098083,-0.322310844464714,0.0320916435733596,0.6013656373377861,0.31984285756802056,0.5394924297635678,0.11771453373015883,0.13853089398260005,r3010059.trees
