#/home/enes/bim/BIM.py trees/r8000051.trees,trees/r8000052.trees,trees/r8000053.trees,trees/r8000054.trees,trees/r8000055.trees,trees/r8000056.trees,trees/r8000057.trees,trees/r8000058.trees,trees/r8000059.trees,trees/r8000060.trees,trees/r8000061.trees,trees/r8000062.trees,trees/r8000063.trees,trees/r8000064.trees,trees/r8000065.trees,trees/r8000066.trees,trees/r8000067.trees 250 --stats=all --eta=etas/BC.json --out=outs/161338351.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FulD,FerL,FayH,ZngE,TajD,btree,Colless,path
0,10001.0,250,58,-0.4318136926729182,-0.15568068336223237,-0.06046825556412532,-0.025684410484620994,-0.04467922605245648,-0.21281503960073564,0.11675945199851212,0.032902780476745705,r8000051.trees
0,10001.0,250,64,-0.5588486616202991,2.1028548517025722,0.9137727873634766,0.06869009717745933,-1.0894718864897515,-0.7999062731650167,0.23055889767694993,0.03348429560536051,r8000052.trees
0,10001.0,250,50,-1.5603521086836528e-05,0.6354106430530468,1.0642159257774217,0.10137734984971625,-1.1633817676364664,-0.7021640666523756,0.27389282260452047,0.03146780671071382,r8000053.trees
0,10001.0,250,38,0.41000336625680245,-1.0079856785780834,1.0851945964828495,0.12489238638368869,-1.0931757151466195,-0.5128561007986479,0.7240236459712648,0.02729601200500929,r8000054.trees
0,10001.0,250,77,0.8975645554860736,-1.5581087301848453,0.1222229169467175,0.05080462573865257,0.09241619807882248,0.43078408543395924,-0.3010307933993283,0.045767625732647116,r8000055.trees
0,10001.0,250,80,-0.1846928157960131,1.7898666941991517,0.7080283915946824,0.07073500906533109,-0.738523559037649,-0.3756467992739017,-0.40426000522871164,0.03943192123332038,r8000056.trees
0,10001.0,250,59,2.4944753036756513,-0.2027469493003792,0.4719236008593963,0.14659261443481147,0.052134573553086754,0.9847442715370307,0.28763626292747774,0.034407792460163227,r8000057.trees
0,10001.0,250,48,0.8424842283735777,0.04827373565142454,0.7997936248079446,0.11288879758210482,-0.6779720968313223,-0.07812381590158084,0.7045970168473601,0.027891625151632918,r8000058.trees
0,10001.0,250,67,-2.0483730314716775,0.8095100803487496,-0.5362584427277123,-0.1770891403604685,-0.13089161839099403,-1.2765561122279814,-0.2571968177817658,0.038588371079626434,r8000059.trees
0,10001.0,250,44,0.3331903970905365,0.31189638286892546,0.8659774780838336,0.09086433179440973,-0.9087753670669264,-0.48867487027049,0.32273383377304826,0.03363242591685113,r8000060.trees
0,10001.0,250,56,0.9380266852512147,-1.0083198550251768,0.8955308214237082,0.1102115077104572,-0.8359792183324462,-0.2606601791928847,0.704975422765666,0.027740763360662307,r8000061.trees
0,10001.0,250,70,8.509974083019055e-06,-0.37950862974468114,0.1393450880333581,-0.007295138196131307,-0.26609688558947786,-0.347548335068587,-0.1850044586322736,0.0425426994136797,r8000062.trees
0,10001.0,250,71,-0.5911117758534572,-0.670144963247334,-0.17119473886186518,-0.09123602369098621,-0.23996893412265174,-0.8548011999280123,-0.1712860338088129,0.03990239395613013,r8000063.trees
0,10001.0,250,70,3.0928380394855957,-0.8943969174224434,0.02953807254260821,0.0941792503815673,0.48448703516067915,1.1497302629027586,0.4586035009194293,0.030363389040031087,r8000064.trees
0,10001.0,250,54,-0.9888961286885412,1.0327951491496918,0.9001147643370182,0.029803095610413725,-1.2869810381311608,-1.2833969377788987,0.302049994829734,0.035213910671147576,r8000065.trees
0,10001.0,250,60,-0.6060218491865468,0.3465176657205948,0.10895336655279965,-0.028652404773154595,-0.3349033460363595,-0.5620493032214238,-0.2027406369401073,0.03911865481950047,r8000066.trees
0,10001.0,250,46,-0.6751968815285063,0.9352528642313028,0.2536668249920953,-0.04121615761617296,-0.6297405162693589,-0.9792197256788004,0.2877021106661431,0.03374604408417078,r8000067.trees
