#/home/enes/bim/BIM.py trees/ir8110218.trees,trees/ir8110219.trees,trees/ir8110220.trees,trees/ir8110221.trees,trees/ir8110222.trees,trees/ir8110223.trees,trees/ir8110224.trees,trees/ir8110225.trees,trees/ir8110226.trees,trees/ir8110227.trees,trees/ir8110228.trees,trees/ir8110229.trees,trees/ir8110230.trees,trees/ir8110231.trees,trees/ir8110232.trees,trees/ir8110233.trees 250 --stats=all --eta=etas/BC.json --out=outs/897348717.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FayH,bsfs,FerL,TajD,FulD,btree,Colless,path
0,10001.0,250,82,3.7589127778101346,0.01880304459946889,6.333476735035048,-2.2606365983161485,4.349727968950239,-1.4279766670208103,-1.1903865283244377,0.04833041844798549,ir8110218.trees
0,10001.0,250,78,2.6053180279663404,0.028349284641308665,6.430731730352207,-1.5132696252921498,3.1178636636679835,-1.3448549032520558,-1.4739147613306725,0.05565001943256899,ir8110219.trees
0,10001.0,250,82,2.0461274101314495,0.15149730263059255,2.09559135202316,-0.7288346919787662,3.2792458196551086,-0.9845838012704483,-1.2429047544806189,0.052046897266485294,ir8110220.trees
0,10001.0,250,98,2.447504091501943,0.13588281871151364,2.587452319205952,-1.0248606590888247,3.6237152771378343,-1.8827031467595374,-1.1895291806078079,0.04890529861381009,ir8110221.trees
0,10001.0,250,65,3.1474363829466645,0.006610809913598915,4.170209018157329,-1.92810296261842,3.6111375465935556,-0.7326443908444591,-1.3754327668173325,0.05196053029321587,ir8110222.trees
0,10001.0,250,131,2.1324927359638624,0.07115477896021317,1.519612691511258,-1.056890110087829,2.8382273383373318,-1.6236392667538653,-0.7372273020980633,0.04672318305479984,ir8110223.trees
0,10001.0,250,73,2.7489648624282514,0.03469882050853477,5.473763370452288,-1.5810653817279559,3.3265903866978705,-0.9814242143334014,-2.142726210771309,0.059485252839314245,ir8110224.trees
0,10001.0,250,87,2.7780568372204755,0.0404086005422333,6.624517270556295,-1.5754166011315796,3.3808879552989373,-1.3120893211746032,-1.6450323244285865,0.05103748326639893,ir8110225.trees
0,10001.0,250,84,2.953904874153862,0.019152248434425218,6.46512618389823,-1.7606168861195755,3.4440743248842476,-1.0333549355823883,-2.1319151370762297,0.06558492032646716,ir8110226.trees
0,10001.0,250,83,3.2188913368041274,0.03534892116505069,4.980995776839179,-1.8672641502667557,3.847791123006343,-1.447570221931483,-0.30221080589142024,0.03968778339163104,ir8110227.trees
0,10001.0,250,88,2.642287582356608,-0.022321824579321473,2.4466671460793146,-1.7152515231205692,2.8212117657393017,-1.953803576408968,-0.8774398626393569,0.04790937945329706,ir8110228.trees
0,10001.0,250,85,1.8951511411350646,0.0596665044097212,5.206398900947427,-0.960682978233436,2.515238124462483,-1.4854445640570357,-0.3707934981518479,0.041877186164010885,ir8110229.trees
0,10001.0,250,105,1.767810456488385,0.14541729593469493,1.8280664182513349,-0.5671575865850537,2.924669041430574,-2.1383806528995475,-1.0894535580648876,0.04783650731960099,ir8110230.trees
0,10001.0,250,77,2.5362658279236543,0.029839279975292156,5.468793337685572,-1.4654531082566926,3.0507198402671447,-0.6168742036221238,-0.9166847288690788,0.046978235522736105,ir8110231.trees
0,10001.0,250,85,2.2022396573130547,0.034061075783801444,2.410766353338871,-1.2420075228141627,2.694735241647641,-0.4141410602434159,-1.049197375021543,0.048095608239409254,ir8110232.trees
0,10001.0,250,85,2.5744217492394976,0.04416696886144093,2.3822177943203533,-1.4364144457143164,3.178272595638813,-1.485444564057036,-0.40557073115052267,0.04204560176188625,ir8110233.trees
