#/home/enes/bim/BIM.py trees/ir3060070.trees,trees/ir3060071.trees,trees/ir3060072.trees,trees/ir3060073.trees,trees/ir3060074.trees,trees/ir3060075.trees,trees/ir3060076.trees,trees/ir3060077.trees,trees/ir3060078.trees,trees/ir3060079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/111789009.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,ZngE,FerL,FayH,TajD,bsfs,Colless,btree,path
0,100001.0,50,346,2.2272599057449565,-0.0802294625700242,-0.32113138246059253,-0.08725820994855725,-0.7017051822864483,-2.672214863050175,0.18836000309214604,-1.6977368720848303,ir3060070.trees
0,100001.0,50,354,1.2671259649577546,0.3048115859291709,-0.8428894312744621,-0.15902173670358813,-0.841503176616409,-1.0280112178065974,0.1848072562358276,-1.5931936461285792,ir3060071.trees
0,100001.0,50,465,0.08440733050796279,0.15184735242233968,-0.15575321992137417,-0.016367722050815065,0.029563404471295997,0.17674464917106358,0.19099182226081904,-1.0911936223736634,ir3060072.trees
0,100001.0,50,366,-0.5801031683635113,0.6850391275332665,-1.1531536372857711,-0.18109874542783957,-0.6311957513314527,-0.9224749590189564,0.186634998827117,-0.8868523204703734,ir3060073.trees
0,100001.0,50,401,1.2138481321561947,1.1661080897113478,-2.050356094712497,-0.3285586691087873,-1.2224323517482385,-3.7065371783628462,0.2510483645512999,-1.7911037923590107,ir3060074.trees
0,100001.0,50,353,0.23225304056221702,0.7199804558350343,-1.097313282798614,-0.1631950831916462,-0.46858592203910754,-1.4614918908361705,0.21138862521752894,-1.8028268863711596,ir3060075.trees
0,100001.0,50,244,2.1013291342398097,0.12726570995779368,-0.965617492530096,-0.21402369570314667,-1.4004875993738397,-3.2782697026686582,0.2712751767373615,-2.5272592292937373,ir3060076.trees
0,100001.0,50,383,1.3478425163148953,0.8333215707587067,-1.37525213118542,-0.21360566548165136,-0.7209402788097657,-2.9052074873858027,0.18780676827693105,-1.3966255067129287,ir3060077.trees
0,100001.0,50,318,1.9208417082344043,0.05442180875781349,-0.9979227709709623,-0.23031778763676514,-1.592552262901632,-3.54997299059304,0.30201993077932915,-2.495306643222646,ir3060078.trees
0,100001.0,50,372,0.41052171017400196,0.5893158163740195,-0.9514440323373157,-0.14611467638677125,-0.47401734085653047,-1.332870686050873,0.2098890692640693,-1.9755681577315314,ir3060079.trees
