#/home/enes/bim/BIM.py trees/r8120056.trees,trees/r8120057.trees,trees/r8120058.trees,trees/r8120059.trees,trees/r8120060.trees,trees/r8120061.trees,trees/r8120062.trees 250 --stats=all --eta=etas/BC.json --out=outs/631872451.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,FulD,ZngE,TajD,FayH,bsfs,btree,Colless,path
0,2501.0,250,10,-0.1882583906505146,-0.8809206284569866,0.7567389405225213,1.5349538294639449,0.12350244235051096,1.8389800168631407,-0.08248052350527761,0.03836717839098329,r8120056.trees
0,2501.0,250,12,-0.36656240545163266,0.03953603075383266,0.7907262126076169,1.2455888291929842,0.05244667785927346,3.4357244426056055,-0.08984344588085101,0.03281944984238028,r8120057.trees
0,2501.0,250,4,0.7717147812319078,0.9029723794226859,-0.9078453283707043,-0.7971639006237041,0.12736158593784602,5.056170714293956e-07,0.9496822635995589,0.026277151617221575,r8120058.trees
0,2501.0,250,11,0.14568707069840145,-2.3105962099881507,0.18041830656568686,0.7444753172308948,0.10763745712727553,1.2149313326608133,0.3432734099251812,0.029056673343498058,r8120059.trees
0,2501.0,250,5,-0.4766707631800819,-1.854344998188919,1.0243072758164415,1.709982044719262,0.09811049589412893,1.4661354756439384,-0.17671380242503434,0.03828620935354321,r8120060.trees
0,2501.0,250,12,-0.9377645811568961,0.03953603075383266,1.5382277568465472,1.976294334862504,0.011314479967256885,4.334637889605022,0.6123181320853759,0.026097940147687525,r8120061.trees
0,2501.0,250,7,-0.21982246709077766,-2.055869951677464,0.48523299959362526,0.8049881616842199,0.0424695450595346,1.489626565812442,0.2728335795419395,0.03163190395992572,r8120062.trees
