#/home/enes/bim/BIM.py trees/r8090068.trees,trees/r8090069.trees,trees/r8090070.trees,trees/r8090071.trees,trees/r8090072.trees,trees/r8090073.trees,trees/r8090074.trees,trees/r8090075.trees,trees/r8090076.trees,trees/r8090077.trees,trees/r8090078.trees,trees/r8090079.trees,trees/r8090080.trees,trees/r8090081.trees,trees/r8090082.trees,trees/r8090083.trees,trees/r8090084.trees 250 --stats=all --eta=etas/BC.json --out=outs/523641993.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FulD,FerL,ZngE,bsfs,TajD,btree,Colless,path
0,10001.0,250,62,0.037605850039022004,-1.7777844950934463,-1.7261395497245156,2.9936032739097063,6.016440836259876,3.6390530236068552,-0.33807186604850625,0.037232802176447734,r8090068.trees
0,10001.0,250,73,0.0101922511678267,-2.218756285826025,-2.058146874596295,3.3799915141545993,6.371340549995234,3.882147517592953,-0.696358580943451,0.04096223604093795,r8090069.trees
0,10001.0,250,66,-0.010303248880196595,-1.58305216439958,-2.557277007774304,4.067815255364282,4.324263439877748,4.544591534911102,-0.38318664833824456,0.03792589713693484,r8090070.trees
0,10001.0,250,74,0.019620114291575022,-2.230507027577472,-1.7455083086872287,2.9291802965566256,6.223180397772434,3.432040902252086,0.5284281002350021,0.030233838580126963,r8090071.trees
0,10001.0,250,71,0.004841251382987475,-1.4322345146311273,-2.452110099251308,3.9849135302874186,6.835278068646607,4.535275581173282,0.4850426329007937,0.02807358466122555,r8090072.trees
0,10001.0,250,67,0.005156701574013421,-1.604848554541067,-2.5413215455307525,4.129270392527638,6.689978139318855,4.710079370926189,0.14686864100890257,0.027449975856505195,r8090073.trees
0,10001.0,250,77,0.028806770799824816,-1.087491466903484,-1.7879207876953427,3.0510252353763914,6.474492605486815,3.624321012952822,-0.7641359359457274,0.0399379777173209,r8090074.trees
0,10001.0,250,62,-0.0423859324165998,-1.4893146806158997,-2.5364811790220894,3.8543204275419507,4.291905180604008,4.109984050538039,0.1173586494798135,0.030590102344863323,r8090075.trees
0,10001.0,250,61,0.00217676459940098,-1.464091979374755,-2.3559085710822227,3.8112908080948724,6.412445263122696,4.346184370490435,0.1448871996163707,0.034660145960184824,r8090076.trees
0,10001.0,250,47,0.00935041763056917,-0.6352593633139789,-1.5994306264900955,2.625589818964846,3.988180780061755,3.0756861388993606,-0.08325756499979324,0.033823465906637304,r8090077.trees
0,10001.0,250,65,-0.0031213064528764476,-1.5606289139442409,-2.4242468509156287,3.893238489197551,5.727573805802355,4.394980629736276,0.3880583022823045,0.02960228008809431,r8090078.trees
0,10001.0,250,61,0.05026482516895486,-2.6356249036557107,-1.7458559251910684,3.095239791910066,6.3895471942910635,3.836562843476715,0.6661826914386997,0.027007672266125434,r8090079.trees
0,10001.0,250,60,0.013292103354029907,-1.1406530963101977,-1.8989487763162594,3.1358507536259546,6.476634186505748,3.6509465951609306,0.016318681085821185,0.03410055994587669,r8090080.trees
0,10001.0,250,63,-0.011134417421423026,-0.9454146926516994,-2.338248469981913,3.7091520164343743,6.064095526849886,4.140418389153691,0.7263193324779786,0.02610441767068273,r8090081.trees
0,10001.0,250,59,0.021103038165852222,-0.8070051971883652,-1.4070536518508572,2.3856475676060787,6.2831972451699905,2.8486261585765744,0.7279139161536046,0.02765902318953232,r8090082.trees
0,10001.0,250,56,0.030184987052934573,-2.5940716376677746,-1.6206789535068344,2.7786199897254757,6.246157753888266,3.3591742627798054,0.4238431542653984,0.02803379416282642,r8090083.trees
0,10001.0,250,68,0.038209110710241384,-1.890600328783433,-2.0573741616479695,3.5349607637620126,6.282770422260485,4.245575078815591,0.20796948494086248,0.029218255510521346,r8090084.trees
