#/home/enes/bim/BIM.py trees/r8060000.trees,trees/r8060001.trees,trees/r8060002.trees,trees/r8060003.trees,trees/r8060004.trees,trees/r8060005.trees,trees/r8060006.trees,trees/r8060007.trees,trees/r8060008.trees,trees/r8060009.trees,trees/r8060010.trees,trees/r8060011.trees,trees/r8060012.trees,trees/r8060013.trees,trees/r8060014.trees,trees/r8060015.trees,trees/r8060016.trees 250 --stats=all --eta=etas/BC.json --out=outs/709504127.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FulD,bsfs,FerL,FayH,TajD,Colless,btree,path
0,10001.0,250,57,3.2653411672501886,-1.3549983302157256,4.244473018566537,-1.9905914830544933,0.01023390956723078,3.7863043857223104,0.031420034978624174,0.18537497519589383,r8060000.trees
0,10001.0,250,39,2.824294273885855,-1.9406162743545754,6.056341447927986,-1.7068226380131668,0.015198096365966692,3.36790884985726,0.044937815779246014,-0.6127140197906776,r8060001.trees
0,10001.0,250,50,3.729507148616865,-1.8298976208592184,6.413201189094924,-2.313828654340788,0.00047608649687441034,4.2776398164135845,0.033102633860504056,0.20205974990425546,r8060002.trees
0,10001.0,250,49,2.531008799775087,-0.37024077958604656,6.181755033302798,-1.4741736355218034,0.028946182141830507,3.083514950846446,0.03806722491137571,-0.32990907035258155,r8060003.trees
0,10001.0,250,48,2.681659418573169,-0.31738513525547174,6.242465532614542,-1.6150341075985288,0.014985942432648598,3.1722516633088205,0.0315023535000216,0.1083406038286769,r8060004.trees
0,10001.0,250,46,2.6629798582494995,-1.3459897975374755,3.9662229410571017,-1.6289759936894326,0.007551353577639343,3.1104650772495965,0.03957766550071252,-0.3932374971240305,r8060005.trees
0,10001.0,250,47,2.672482614234755,-1.380840408366428,5.882221551002588,-1.6257850203845048,0.010178299042626163,3.13470980781532,0.030188495919160514,0.2042046966761344,r8060006.trees
0,10001.0,250,75,3.8727222234838172,-2.000728939642737,6.722201844747856,-2.3407475225303758,0.016504634941182098,4.47514330627117,0.042725152810656114,-0.5460331930911647,r8060007.trees
0,10001.0,250,38,3.597163664648599,-1.0079856785780832,4.592260517449861,-2.2842958473797093,-0.014461577116015834,4.0898467171264015,0.04997813835989118,-0.648963367228525,r8060008.trees
0,10001.0,250,54,2.0134484196668136,-1.2633834294791113,5.203179173334646,-1.1049480343643359,0.04243654141976997,2.566110221575186,0.024784622360409382,0.7938971721232921,r8060009.trees
0,10001.0,250,63,3.964494884538018,-1.7979779388422406,6.466443991616489,-2.4018826688423296,0.01619499286787134,4.6036832243367245,0.0376991838321026,-0.049389479733813274,r8060010.trees
0,10001.0,250,42,3.1755292786020832,-1.1915683460804996,6.183204097626047,-1.94536190156073,0.008616905374976124,3.7221290373923543,0.031144740251327893,-0.1839116551187666,r8060011.trees
0,10001.0,250,58,4.005562591151113,-1.997531369973725,6.544682726772273,-2.448479534142237,0.010522191796781558,4.628702770056354,0.04139137193937038,-0.6867056972160774,r8060012.trees
0,10001.0,250,50,3.455554730102807,-1.12552383117,3.5063507603551125,-2.3098202553020504,-0.04876070632491998,3.6570440755413767,0.02907868031264844,0.03396994921498737,r8060013.trees
0,10001.0,250,53,2.9236753742792763,-1.5644675274987263,6.167392552802571,-1.767096507712288,0.013949952746331611,3.429880463122874,0.04749875076342235,-0.9158436049583807,r8060014.trees
0,10001.0,250,51,2.5388213883583477,0.22141660071262,6.151478805373696,-1.5156411428236098,0.01785431972401822,3.0187792924814554,0.03664118840955219,-0.20587235037769894,r8060015.trees
0,10001.0,250,49,3.1753614025719488,-0.7290367633705623,6.354553992157909,-1.9491490035919297,0.006687591799297886,3.684367097442441,0.045385844453081144,-0.8693414246023456,r8060016.trees
