#/home/enes/bim/BIM.py trees/ir3060000.trees,trees/ir3060001.trees,trees/ir3060002.trees,trees/ir3060003.trees,trees/ir3060004.trees,trees/ir3060005.trees,trees/ir3060006.trees,trees/ir3060007.trees,trees/ir3060008.trees,trees/ir3060009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/549824032.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,TajD,FerL,bsfs,FulD,ZngE,Colless,btree,path
0,100001.0,50,346,-0.09596645824505681,-0.34866308769686116,-0.6020024826607842,-1.0493624025203128,1.2867217039666479,0.3478001259022284,0.23187781606148963,-1.3951793138396378,ir3060000.trees
0,100001.0,50,307,-0.10523851101523672,-0.807065358755708,-0.4088695570498219,-2.6899125700242275,2.3474790202874716,-0.057093602238397344,0.2037096088435374,-2.701237781226524,ir3060001.trees
0,100001.0,50,348,-0.22600441218085549,-1.220341329734124,-1.1831025332389389,-3.029040047554201,1.0054380257665358,0.40773335454504944,0.25407916789904367,-1.7720407777090899,ir3060002.trees
0,100001.0,50,411,-0.17617716100518024,-0.3142931486793713,-1.300925177269611,-1.7298878051829258,0.3116991447029634,0.9780493477255301,0.2009940881114351,-1.9625072341436365,ir3060003.trees
0,100001.0,50,360,-0.17165182911202417,-1.2341110146270922,-0.7185175533800605,-3.277973579403131,1.9722624363335521,-0.0066533438097826116,0.24415245550274897,-2.0011088416615777,ir3060004.trees
0,100001.0,50,441,-0.19101791179671035,-0.8587570072189303,-1.1068312384708,-2.7091426987041465,0.9064923449331329,0.5265884759203066,0.2640005497148355,-2.440887856171064,ir3060005.trees
0,100001.0,50,338,-0.11450134285087328,-0.6417439846588572,-0.5851673643851992,-1.6534177944426227,1.132214071872214,0.1820864026382725,0.20445848794063082,-1.6855799304530543,ir3060006.trees
0,100001.0,50,353,-0.15156904824131784,-0.7352707994360967,-0.8426253330198249,-2.4572380738939743,1.1542745217487285,0.3593480217552056,0.21424874297545105,-1.4813687212663587,ir3060007.trees
0,100001.0,50,392,-0.15906101434820213,-0.1843348944946666,-1.2321115450192768,-1.1401240399173087,0.03299001670200338,0.9847707349718642,0.2163508260447036,-2.122303688913476,ir3060008.trees
0,100001.0,50,325,-0.03862544413385678,-0.1771369488261829,-0.22032596922420541,-0.6531449390112557,1.672536086586124,0.10180961603612719,0.1309141634181763,0.026996643383672317,ir3060009.trees
