#/home/enes/bim/BIM.py trees/r8080170.trees,trees/r8080171.trees,trees/r8080172.trees,trees/r8080173.trees,trees/r8080174.trees,trees/r8080175.trees,trees/r8080176.trees,trees/r8080177.trees,trees/r8080178.trees,trees/r8080179.trees,trees/r8080180.trees,trees/r8080181.trees,trees/r8080182.trees,trees/r8080183.trees,trees/r8080184.trees,trees/r8080185.trees,trees/r8080186.trees 250 --stats=all --eta=etas/BC.json --out=outs/145271402.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FerL,FayH,TajD,ZngE,FulD,Colless,btree,path
0,10001.0,250,87,6.650031544243491,-1.7197775056355906,0.027782212953879743,3.479261930350164,2.938469970940996,-1.1025143743252253,0.031889343976401884,0.2508602934484486,r8080170.trees
0,10001.0,250,86,5.981966327470124,-0.8985706220964875,0.08338048887989441,2.7093507255214813,1.9318358834304812,-0.23240306161681204,0.034297188755020074,-0.12693826131017993,r8080171.trees
0,10001.0,250,74,3.4398767330917637,-0.6308130739340737,0.10942956571132582,2.552923477791511,1.6400441820279175,-0.5203336434012956,0.03168723280217645,0.2221303993390088,r8080172.trees
0,10001.0,250,82,3.507516466235443,-0.8382614356192737,0.08439844921839823,2.61211940681905,1.8379654176640305,-1.206280234145629,0.02915348028056928,0.487442768091391,r8080173.trees
0,10001.0,250,116,3.2945346790671115,-0.35140109058734714,0.09500730296012042,1.8802718978066109,1.1280711170455513,-1.752713914558057,0.039836766420520794,-0.23894693101554523,r8080174.trees
0,10001.0,250,94,4.572464312157897,-0.13629456273602564,0.07743170328795768,1.2533923063591819,0.6695470126929906,-0.46880453826399016,0.03333638157944872,0.20610891443415924,r8080175.trees
0,10001.0,250,73,5.24839218415505,-0.7116407929005643,0.10939484385901298,2.699063264405834,1.76942139886978,-0.9814242143334017,0.028359093944014275,0.17571043985635962,r8080176.trees
0,10001.0,250,71,6.4525889465362125,-1.434457792180249,0.031913467867294626,3.025101786787753,2.4956898459728243,-1.6862643650923914,0.03563852182925249,0.03397736785431876,r8080177.trees
0,10001.0,250,106,1.7748805449831735,-0.4075720885016,0.10807165371452869,2.1488631153245676,1.2917394190200278,-0.06509609606462809,0.039043269853607974,-0.43935631699783523,r8080178.trees
0,10001.0,250,86,1.3028179449867023,-0.43790398532660085,0.06776124684999674,1.6713766162612844,1.0977035583113375,-0.4442949488248584,0.03234073816488364,0.19778939139509408,r8080179.trees
0,10001.0,250,99,2.9132474873084586,-0.720373152753317,0.11710908483427736,2.8288955049905895,1.8466452410750966,-1.3390710704045001,0.03519170058843183,-0.00823959131641159,r8080180.trees
0,10001.0,250,98,2.3370440378544886,-0.8138841313142958,0.13390628095003335,3.2164016476405304,2.0949940385824237,-2.631010536380065,0.0289182536598005,0.6033663673107384,r8080181.trees
0,10001.0,250,109,3.592421300872359,-0.5059797383817894,0.11056534167717025,2.360363520297852,1.466809791412896,-0.8222320864083387,0.03452961405740263,0.17506715368151793,r8080182.trees
0,10001.0,250,65,6.240016274517806,-1.6360095367196856,0.03625903715901789,3.4538138367264994,2.8424688113211385,-1.00863923187772,0.03500930717777732,-0.18731308787347917,r8080183.trees
0,10001.0,250,110,3.4621322958962217,-0.652308614197565,0.06930966350608905,2.0843951820282682,1.461684709420098,-0.5075638477517387,0.041373018957550634,-0.5052525268589018,r8080184.trees
0,10001.0,250,88,1.835531156892387,-0.6604926145343449,0.16934975047493708,3.3918038363908543,2.0444424115616924,-1.9538035764089685,0.030384980783348444,0.4950273464951449,r8080185.trees
0,10001.0,250,65,5.3681438968286725,-0.6523840282403908,0.03597173191804717,1.6508160207543265,1.2540960424381902,-0.18065470877793824,0.025319018007513933,0.7252546310519731,r8080186.trees
