#/home/enes/bim/BIM.py trees/ir8060218.trees,trees/ir8060219.trees,trees/ir8060220.trees,trees/ir8060221.trees,trees/ir8060222.trees,trees/ir8060223.trees,trees/ir8060224.trees,trees/ir8060225.trees,trees/ir8060226.trees,trees/ir8060227.trees,trees/ir8060228.trees,trees/ir8060229.trees,trees/ir8060230.trees,trees/ir8060231.trees,trees/ir8060232.trees,trees/ir8060233.trees 250 --stats=all --eta=etas/BC.json --out=outs/370362124.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FerL,ZngE,TajD,bsfs,FulD,Colless,btree,path
0,10001.0,250,58,0.03315288262821826,-1.9726508067284962,3.363715077094001,4.040306678422861,6.176931067765944,-1.3835811411032277,0.0633825625080969,-1.8813754364773034,ir8060218.trees
0,10001.0,250,58,-0.02032475703594809,-2.517460224575516,3.946032046002477,4.366425204813734,3.016479657068331,-1.0766060266679787,0.06341495012307294,-2.5154347699864736,ir8060219.trees
0,10001.0,250,75,-0.018480167774352536,-1.8156181236791002,2.825939223240811,3.069614202227752,2.1659062116508427,0.8940811226147939,0.052570497041931175,-1.7616688680548187,ir8060220.trees
0,10001.0,250,62,0.012552835668412612,-1.8557836883343877,3.0629501535862387,3.559087800817706,6.063925965652678,-0.9123750516608069,0.04382044306257287,-0.82730239975724,ir8060221.trees
0,10001.0,250,73,-0.0007941369305343329,-2.3121352471515464,3.7276282330275525,4.204318973778994,5.836641555355196,-1.4763570429304511,0.035917865008420785,-0.20070111922849065,ir8060222.trees
0,10001.0,250,50,0.0037323727655730055,-1.9642153546960377,3.1840703513951825,3.6727496308841663,5.0043034167948175,-1.4777107260146092,0.03196657598134473,0.26118512505848723,ir8060223.trees
0,10001.0,250,37,0.012078236045140722,-2.0407821726912574,3.3432075399361474,3.960858355704647,4.6296909688072905,-2.8094773401752686,0.0435613421427646,-0.48426305904271555,ir8060224.trees
0,10001.0,250,47,0.011567128140422817,-2.1906829103382934,3.5894972772907514,4.197303529180189,4.285814435251482,-2.126421453418877,0.047836507319600985,-0.8482053506462045,ir8060225.trees
0,10001.0,250,76,-0.008769804607751303,-1.7956357852044555,2.8490485413139597,3.156528938228333,3.3333451249093935,0.12920948825735143,0.05748801658245887,-2.1166980256113663,ir8060226.trees
0,10001.0,250,52,0.024818995354811645,-2.2880390054908517,3.8218069585973105,4.5280424455829875,6.459718740890712,-2.215923720176888,0.050557066977587765,-1.246385946035775,ir8060227.trees
0,10001.0,250,53,0.010636367802656218,-2.087584457819065,3.421936506043917,3.9787936922436797,5.068333833430032,-2.231964714753716,0.030444358077471173,0.08246453198020624,ir8060228.trees
0,10001.0,250,64,0.03758065702696839,-2.0422797644800617,3.504633526006788,4.215149633064175,5.789667383577207,-1.537551301806009,0.038606037051431535,-0.38023903205549053,ir8060229.trees
0,10001.0,250,48,0.016019847482967826,-1.8672943608826433,3.0934604646181807,3.6515261788917184,5.730503531143133,-1.4143617479761603,0.047836507319600985,-1.1299186113851292,ir8060230.trees
0,10001.0,250,42,0.046439398484655045,-1.4754171303348285,2.6198958151838005,3.311714144356394,5.83183970641943,-0.7784724774473059,0.03892991320119186,-0.440340467704595,ir8060231.trees
0,10001.0,250,57,0.02716412026074853,-1.7430066091571548,2.959751611291816,3.544579121557433,6.432520447457509,-0.4190596778108773,0.03679233061277368,-0.3823169975111792,ir8060232.trees
0,10001.0,250,55,0.023483083527500666,-1.7630899679235814,2.9706342451113894,3.538377514089506,6.390359447158242,-1.6174449469784478,0.05054897007384376,-1.137952845210833,ir8060233.trees
