#/home/enes/bim/BIM.py trees/r3010030.trees,trees/r3010031.trees,trees/r3010032.trees,trees/r3010033.trees,trees/r3010034.trees,trees/r3010035.trees,trees/r3010036.trees,trees/r3010037.trees,trees/r3010038.trees,trees/r3010039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/729939804.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,ZngE,FulD,FerL,TajD,bsfs,Colless,btree,path
0,100001.0,50,424,0.02714341671272168,-0.7775563702939996,1.3540901049315752,0.5580312409420385,-0.558280466424126,-0.8726513071575361,0.13995103535919853,-0.5816471140945225,r3010030.trees
0,100001.0,50,454,0.009676529513440066,0.8053807036872934,-0.8782011922477506,-0.41842816318916354,0.8483751081470016,0.7643020852791854,0.10449790381268799,1.1815678886375092,r3010031.trees
0,100001.0,50,430,-0.005395257550779433,0.18810676898269277,-0.3642166478692398,-0.13005847822529396,0.1434165729680612,0.21821564391092796,0.1294693472627145,0.2034564473773043,r3010032.trees
0,100001.0,50,560,0.0036232427398886894,-0.10798127557914038,0.12008921459974675,0.07690374455509899,-0.07826362563676435,-0.038856996100622175,0.13804102426997,0.19514106962390565,r3010033.trees
0,100001.0,50,480,-0.05739432090745199,0.9115657595561054,-0.39173099906880954,-0.7624224283176877,0.46994007068104726,0.0388160959230862,0.1299004137737569,-0.024986342163645158,r3010034.trees
0,100001.0,50,449,-0.08848829268935575,0.4887221393038635,0.43575366644028635,-0.6524296763069735,-0.1611313751052703,-0.9348614699115906,0.1605460865664948,-0.7294327924488094,r3010035.trees
0,100001.0,50,499,-0.05425279802947381,0.12452708397939888,-0.2052536182285106,-0.3004653611565348,-0.26857923864307526,-0.4339444449975762,0.15749985338963188,-0.410834352852983,r3010036.trees
0,100001.0,50,390,0.040259534094682935,-0.057903484503997446,0.08799204449458138,0.2026830478407072,0.23202276388564208,0.7347941915407089,0.14279134272756716,0.2336932450702376,r3010037.trees
0,100001.0,50,459,0.02848497390408616,-0.30987773610638514,1.2585402737892433,0.29705469833976655,-0.09561865336678838,-0.16231469086735387,0.15499480046795794,-0.1933484664115859,r3010038.trees
0,100001.0,50,378,-0.02376734532710825,-0.5183866268886905,0.35183092646092573,0.195650145638856,-0.6724809435487051,-1.0954007079283736,0.18362818500181127,-0.8912967332072971,r3010039.trees
