start,end,N,SS,FayH,bsfs,TajD,ZngE,FerL,FulD,btree,Colless,path,iColless,ibtree
0,25001.0,250,123,-0.2751090687104046,-2.0740311874152164,-1.5545653350588673,0.22951467819758803,-1.1475623658428975,0.8780537524709503,-2.004674598578989,0.07705148551194024,9050000,0.0937045673734364,-2.6376572555106605
0,25001.0,250,144,-0.08172684779095021,-2.4968291362362134,-1.4661633530203295,-0.834683251742353,0.2143389708847565,3.2794540738221087,-0.7832967794777453,0.04486189416232167,9050001,0.06546832491255344,-1.7956325373644135
0,25001.0,250,102,-0.0011292703842879716,-1.5991330708514602,-1.0465557091736328,-0.9297381358327316,0.5710499546055213,1.8510055392823117,-1.0652687275597092,0.054039257968398056,9050002,0.04895118106835945,-0.7743046686296661
0,25001.0,250,152,0.10336085334525733,0.7879043744116676,0.02134966574817053,-0.5993807409818854,0.7524386329170194,-0.3572189159306617,0.2689619561140867,0.0314900854640458,9050003,0.039081372930050366,-0.28617775407043083
0,25001.0,250,144,-0.1317634118630472,-1.5341236533249143,-0.6521706687804919,0.19815637196213126,-0.6083053769261116,1.3424677923387394,-0.30051361612364336,0.03936244457538792,9050004,0.06247852560311371,-1.8540809715929856
0,25001.0,250,210,0.0985854418895555,0.7933486897693696,0.4187257092615715,-0.21849784028497807,0.5043870229305953,0.2304673155802754,0.4101424389927303,0.030826630078476174,9050005,0.0397023922732798,-0.1688247376393881
0,25001.0,250,160,-0.22295205584206107,-0.7424016049539984,-0.3170435681359031,1.051369571158227,-1.4757607023360433,-0.9590292150113846,-1.5754202535930135,0.0598842374104714,9050006,0.05266442112536167,-0.7791020095410887
0,25001.0,250,142,-0.2770980008278028,-1.2957764226722688,-0.695464336203098,1.0254216555215172,-1.654636450187155,0.2256479277709641,-1.1460949455225409,0.05538111699770218,9050007,0.04817657727684933,-0.6929029125461595
0,25001.0,250,166,-0.20020648978750216,-1.0945474220637623,-0.5688376335360842,0.6890937722574689,-1.168900698452148,0.08884423446042403,-1.0649032704642585,0.055727404594581385,9050008,0.07031505438034782,-1.9990259051161885
0,25001.0,250,137,-0.304438387203388,-2.519209230364186,-1.7892576648294445,0.19974989550925354,-1.243114769447387,1.1577994325151746,-1.605081047776984,0.07040614069179944,9050009,0.08136103926272385,-2.470827753269597
