#/home/enes/bim/BIM.py trees/ir8050005.trees,trees/ir8050006.trees,trees/ir8050007.trees,trees/ir8050008.trees,trees/ir8050009.trees,trees/ir8050010.trees,trees/ir8050011.trees,trees/ir8050012.trees,trees/ir8050013.trees,trees/ir8050014.trees,trees/ir8050015.trees,trees/ir8050016.trees,trees/ir8050017.trees,trees/ir8050018.trees,trees/ir8050019.trees,trees/ir8050020.trees,trees/ir8050021.trees 250 --stats=all --eta=etas/BC.json --out=outs/204960421.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,TajD,bsfs,FulD,ZngE,FayH,btree,Colless,path
0,10001.0,250,77,-0.35896127065898487,1.792844946828708,3.2007121147764908,-1.5581087301848453,1.0850467166847508,0.08862880013469951,-0.5136809689645104,0.04209642540384864,ir8050005.trees
0,10001.0,250,85,-0.4671788539826826,2.459265312963633,1.8128446717097104,-1.271183863294312,1.4716599953833718,0.12460527836437184,-0.19837723153211909,0.03934663384721683,ir8050006.trees
0,10001.0,250,70,-1.3793037471563285,3.1980179060183525,4.663581663988512,-1.4092852051002067,2.5268798231702414,0.053261239619306414,0.0026260976824128055,0.03671675951116293,ir8050007.trees
0,10001.0,250,83,-0.6474028642026056,1.938825895226542,1.4997982546115496,-0.5709258801405981,1.3849334590107771,0.05908425612551751,-0.31451276957661034,0.03878308934663385,ir8050008.trees
0,10001.0,250,77,-1.1494366101722993,2.7016314526042233,2.921667590423451,-0.8521828352628043,2.1263027167764426,0.047420159443669854,-0.5628559705199565,0.04314678067107139,ir8050009.trees
0,10001.0,250,83,-0.1668029273123589,1.8540624848933793,1.833337180413553,-0.7900869655883193,0.9591233499541905,0.12010956233968846,-0.502582354965966,0.04683653970721596,ir8050010.trees
0,10001.0,250,89,-1.2501419379611265,2.580796065835415,5.830364518084098,-0.32579553320510307,2.1599240549811465,0.024257321513559374,-2.6968160766907254,0.07462106490478042,ir8050011.trees
0,10001.0,250,68,-1.364434356049978,3.2929175271703963,2.956481826987472,-0.8323752647235948,2.555156989528547,0.06275783129910252,-0.8219391489453054,0.04742194584790776,ir8050012.trees
0,10001.0,250,84,-0.15663435062851708,2.2540748214428095,1.6200843957091873,-1.0333549355823888,1.1291625315151042,0.15241854056167883,-1.2344183819696075,0.05201046119963726,ir8050013.trees
0,10001.0,250,76,-0.995979350611081,2.578329025278741,1.809648833447172,-1.3001975058694986,1.9471739002721205,0.059546496666815885,-0.4423012016177815,0.04512057446375363,ir8050014.trees
0,10001.0,250,81,-0.04131878594146214,1.6795543480564488,3.2687144442073466,-0.06217773750126793,0.7796070445893544,0.12441372225009921,-0.3588076479748821,0.03955877272530984,ir8050015.trees
0,10001.0,250,70,-0.5672648014884877,1.7499369873258401,1.5842708160795893,-0.3795086297446814,1.2314140305965844,0.05591731193627965,-0.7346262964133415,0.045097954542183065,ir8050016.trees
0,10001.0,250,89,-0.8862700294196697,2.5848155005264113,4.488011814442937,-2.3766956111929174,1.867769762929816,0.07545163512611698,-0.9063933294301648,0.0500064775229952,ir8050017.trees
0,10001.0,250,85,-0.4548904613377006,1.7518780162446763,3.9816340326992385,-0.62840176100614,1.1469579234146237,0.07162706096621109,-0.0810771324529225,0.03629437103251717,ir8050018.trees
0,10001.0,250,89,-0.44832977853221484,2.9174929081969294,1.5926812421318246,-2.376695611192918,1.6622340800796338,0.16235591396071442,-1.6376009567430416,0.05814224640497474,ir8050019.trees
0,10001.0,250,94,-1.430338256281014,2.72913750172274,1.3021843877431603,-2.0262103364429054,2.373815851217848,0.010744139562994979,-0.9079366933851647,0.04925076650688776,ir8050020.trees
0,10001.0,250,69,-1.4085508045752073,3.0658847181673092,6.25895442526075,-2.4295182172369314,2.4912784297309014,0.038694241730588844,-1.0933189747419394,0.04896082023948328,ir8050021.trees
