#/home/enes/bim/BIM.py trees/r8020238.trees,trees/r8020239.trees,trees/r8020240.trees,trees/r8020241.trees,trees/r8020242.trees,trees/r8020243.trees,trees/r8020244.trees,trees/r8020245.trees,trees/r8020246.trees,trees/r8020247.trees,trees/r8020248.trees,trees/r8020249.trees,trees/ir8020000.trees,trees/ir8020001.trees,trees/ir8020002.trees,trees/ir8020003.trees,trees/ir8020004.trees 250 --stats=all --eta=etas/BC.json --out=outs/981474162.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,ZngE,TajD,bsfs,FulD,FayH,btree,Colless,path
0,10001.0,250,94,0.14744730887586388,0.5830075630709254,1.5731796302519192,1.792489965297971,-0.46880453826399016,0.14154244400112556,-0.545233560959955,0.04362179902405319,ir8020000.trees
0,10001.0,250,93,-0.11962306667306834,0.8981024644113609,1.796222170113325,3.5699424476954906,-1.0313953417880375,0.12156957382333919,-1.051478320328159,0.049732428473198,ir8020001.trees
0,10001.0,250,62,-0.8426188932250374,1.5108038172968117,1.888808185540132,4.309543515101902,-0.6239052371832599,0.027226576920511704,-0.4404303779709502,0.0422787925897137,ir8020002.trees
0,10001.0,250,63,-0.290919591319452,0.772709033242471,1.2218170575922964,4.747030824279998,0.7597117997293833,0.05431338880750011,-0.45174434025296684,0.04142735817823265,ir8020003.trees
0,10001.0,250,68,0.9272970046383495,-0.5860338460647583,0.3670059731422008,1.2924849540949042,-0.5678189987086354,0.1615684307507496,-0.027877938704377714,0.036659181528983315,ir8020004.trees
0,10001.0,250,83,-0.19186769386981548,0.8972869554404582,1.6694742807162868,1.5576358845396594,-1.6667313073792043,0.10229115871688094,0.3848432090182825,0.031272185516258585,r8020238.trees
0,10001.0,250,74,-0.6098116506761089,1.4566269735548512,2.1771366699088524,4.875959053677133,-1.253265093762514,0.08311437810877675,-0.044333523184073374,0.03440757938374891,r8020239.trees
0,10001.0,250,84,0.4026419953348233,0.023633441448007556,0.7841659370386082,2.781308878432836,-1.9000875425877362,0.11724934088815785,0.34926083058129215,0.028861314652788968,r8020240.trees
0,10001.0,250,56,-0.5147905663655267,1.2130753219166386,1.820916064451407,3.445528201282505,-0.05686878543961886,0.06954670288023114,-0.4046913961056682,0.03886716219717579,r8020241.trees
0,10001.0,250,81,0.10088229034451651,0.5818982433932212,1.4930089117577463,0.9615294779685657,-1.4079250326216999,0.12998812217988642,0.16558153820674934,0.033442236688690244,r8020242.trees
0,10001.0,250,67,0.2516883034176066,0.18869186802755028,0.8874332090164476,1.255313735339604,-0.2635382018245023,0.10573943736472674,0.3363641754526898,0.031025792879659956,r8020243.trees
0,10001.0,250,64,-0.41841350072818423,1.0078586534978815,1.5213165568756728,1.625829647598211,0.14263615365948942,0.05948192955550164,0.48554977897405366,0.029427386967223735,r8020244.trees
0,10001.0,250,89,-0.26117436505995284,0.8760600931776877,1.4925110609179992,1.270549628787628,-0.5308855410038842,0.07860705906284016,0.6464882000510925,0.029259418095072168,r8020245.trees
0,10001.0,250,76,-0.6204739166860532,1.4457553557229883,2.131091113236835,2.37737026615939,-0.8237285078272152,0.07794878774862452,0.4205412401910359,0.0317398626765125,r8020246.trees
0,10001.0,250,55,0.09037942291635995,0.531192919285059,1.3789754222388293,1.7373749613773926,-0.9724529589850468,0.12307327610898713,0.07299185083429846,0.03576132486936996,r8020247.trees
0,10001.0,250,65,0.25547208297674595,0.5835583689282188,1.7908130183521773,2.711136749902721,-0.7326443908444591,0.17758532200391386,0.29494585551706887,0.031546886470613635,r8020248.trees
0,10001.0,250,87,0.3184989835172073,-0.20232923601687308,0.12336944810984166,0.37469119049236976,-1.1025143743252253,0.05414785754735288,0.035156043055099555,0.032896820255934135,r8020249.trees
