#/home/enes/bim/BIM.py trees/ir8070090.trees,trees/ir8070091.trees,trees/ir8070092.trees,trees/ir8070093.trees,trees/ir8070094.trees,trees/ir8070095.trees,trees/ir8070096.trees,trees/ir8070097.trees,trees/ir8070098.trees,trees/ir8070099.trees,trees/ir8070100.trees,trees/ir8070101.trees,trees/ir8070102.trees,trees/ir8070103.trees,trees/ir8070104.trees,trees/ir8070105.trees 250 --stats=all --eta=etas/BC.json --out=outs/418111458.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FerL,bsfs,FayH,TajD,FulD,btree,Colless,path
0,10001.0,250,98,1.3503585172724313,-0.45930544603086865,6.013447863707786,0.10444091969905847,2.1912686078693793,-0.5731652149236143,-1.070712243050673,0.04672536299042323,ir8070090.trees
0,10001.0,250,120,0.7436073248768302,0.12259817974069571,1.8412528910869161,0.15952787893418238,1.8762086097012725,-1.027299023454738,-0.31733528664316724,0.04261960995346149,ir8070091.trees
0,10001.0,250,105,0.5676123599395616,0.22478245051243506,1.6638711709434575,0.15912028158374947,1.67376828697154,-0.7374510251309677,-0.4378014843504265,0.04067635305489951,ir8070092.trees
0,10001.0,250,108,1.4180490259940328,-0.5043745189908533,2.457115621034447,0.10276730014030612,2.2550137482911556,-1.6538333913938612,-0.39866348151220904,0.04260822090204134,ir8070093.trees
0,10001.0,250,85,1.9571814897894717,-0.953905398709799,4.065713816534734,0.07234891047175677,2.6669381425414596,-1.0569231625315878,-0.25237500670216745,0.036348157607388076,ir8070094.trees
0,10001.0,250,80,1.2927531118949143,-0.5382227372757014,1.2803363833669137,0.07400990373857401,1.9322475731017765,-1.3873990394936182,-1.3857539704348412,0.05403748991001226,ir8070095.trees
0,10001.0,250,77,0.14691027215769503,0.22248831575398667,4.029212620907323,0.08874404603355578,0.7361145177575629,-1.3228000985441652,-1.4486501066581932,0.052852989016999904,ir8070096.trees
0,10001.0,250,66,1.7867071607034823,-0.9866108351384965,3.7552509036901696,0.03472230581033456,2.2459231321012036,-1.3109787631330359,-1.3143236958928788,0.05250495067828919,ir8070097.trees
0,10001.0,250,73,0.5557732081715474,0.07828402642723196,3.3212655660157164,0.12021744121545128,1.3979027471625736,0.9983071000547961,-0.22005262087682742,0.036309755149630786,ir8070098.trees
0,10001.0,250,89,1.549923510522213,-0.7482996590638092,1.8169282361710357,0.05901781316701042,2.1216514286168797,-1.5563355799977914,-0.27533461820918337,0.03914666108603147,ir8070099.trees
0,10001.0,250,81,0.4778409796057826,0.030652095905198497,2.316517262892506,0.09203347694824363,1.1311740352780295,-1.1836338167682943,-0.4394003497597923,0.04195121499824182,ir8070100.trees
0,10001.0,250,97,1.0764103741665176,0.016242067218719937,1.5942340853792487,0.1895691048519421,2.43895865479109,-1.1146072251393744,-0.8995587316499455,0.04607761069090256,ir8070101.trees
0,10001.0,250,72,0.9868160628285316,-0.10252066857198303,3.207481378778169,0.1449482471440096,2.0428346875409527,-0.7024687379975421,-1.6881400310216021,0.05897037280636192,ir8070102.trees
0,10001.0,250,103,1.4738754147719777,-0.7012651918879527,1.5378050709984414,0.0582212743221357,2.0270777517413,-0.6926950948559158,-1.0161379182503725,0.04999470020845848,ir8070103.trees
0,10001.0,250,98,0.7245692423753046,-0.09622229601554379,1.9072882665787827,0.09775280312799918,1.447481115092182,-0.0119346727082185,-0.9248288408157517,0.049339292654488914,ir8070104.trees
0,10001.0,250,98,2.275613475221187,-1.0623481003454873,3.244850357884971,0.09594605199028751,3.1712447527150767,-0.9473189097338781,-2.18588476164429,0.06663427905169064,ir8070105.trees
