#/home/enes/bim/BIM.py trees/ir8120202.trees,trees/ir8120203.trees,trees/ir8120204.trees,trees/ir8120205.trees,trees/ir8120206.trees,trees/ir8120207.trees,trees/ir8120208.trees,trees/ir8120209.trees,trees/ir8120210.trees,trees/ir8120211.trees,trees/ir8120212.trees,trees/ir8120213.trees,trees/ir8120214.trees,trees/ir8120215.trees,trees/ir8120216.trees,trees/ir8120217.trees 250 --stats=all --eta=etas/BC.json --out=outs/968442062.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,ZngE,FerL,TajD,FayH,bsfs,Colless,btree,path
0,10001.0,250,90,-1.1672836318499675,3.774042827356978,-2.2720880265430723,4.348777567020874,0.01780632121995893,6.758031782673876,0.04479207151185387,-0.8195814869517077,ir8120202.trees
0,10001.0,250,99,-2.450685174028582,3.9990583579082193,-2.3981292738032036,4.610799520158986,0.021073679982657467,7.03079748957288,0.05201450965150927,-1.7753296002335015,ir8120203.trees
0,10001.0,250,66,-2.1271989669326685,3.865350039861843,-2.3053653579343303,4.54626986721771,0.02601220125178925,6.651745501204042,0.059722762015805154,-1.4763624976759004,ir8120204.trees
0,10001.0,250,50,-1.4777107260146092,4.035544084614552,-2.488518852203322,4.656677779578395,0.0050152623334865564,6.451929750301254,0.03446042233449929,-0.05541138339211319,ir8120205.trees
0,10001.0,250,94,-2.8049132355323634,4.734807448568214,-2.890951778094365,5.374732127905534,0.010846134797965201,6.9063263038462,0.04484065293431791,-1.1742294874418833,ir8120206.trees
0,10001.0,250,79,-1.3663816265456399,3.768549634353497,-2.250610948346107,4.395616617299058,0.023495833282763025,6.648254743133051,0.06224899598393575,-1.9162069865684142,ir8120207.trees
0,10001.0,250,77,-1.793417361825526,3.940536198417683,-2.386227356681123,4.540750796691027,0.01539355934722842,4.17648316262742,0.0659087964762275,-2.4302082155363838,ir8120208.trees
0,10001.0,250,74,-1.4975755772162538,3.1725775400279925,-1.8799518814122675,3.736532220296663,0.024261379007336187,4.126012177172089,0.030638683767327375,0.07348290021390233,ir8120209.trees
0,10001.0,250,68,-1.3614877967535137,3.317226591710131,-1.9940640690145672,3.8682349704310726,0.017693203829409268,6.581236126326255,0.041618085244202616,-0.3511408692598351,ir8120210.trees
0,10001.0,250,59,-1.713392569020344,3.333337403930021,-1.9496236397497395,4.010287159371736,0.03424707563610174,3.803891004425245,0.0650343308718746,-2.308898315415698,ir8120211.trees
0,10001.0,250,72,-1.955994246682039,3.442919364447345,-2.0359486584747732,4.066937062662847,0.027675094998260822,6.318984911510077,0.037504858142246404,-0.2955680106818341,ir8120212.trees
0,10001.0,250,75,-1.7594947677879422,4.283191685433085,-2.6240892232435944,4.885268525158505,0.008252317470591068,6.924799792719332,0.04665435937297577,-1.2846406830202006,ir8120213.trees
0,10001.0,250,69,-1.3857115925285906,3.424898496846923,-1.9847908131334042,4.126509624716333,0.03935875728569607,5.196341164289271,0.038346936131623266,-0.08355557015820954,ir8120214.trees
0,10001.0,250,70,-2.18161763661685,4.205408542411761,-2.5860071168606957,4.792227842837822,0.005679749184638771,4.439880863126908,0.05389299132011918,-1.158423931784902,ir8120215.trees
0,10001.0,250,48,-1.41436174797616,3.9925167856419166,-2.4362586451322357,4.664198596989825,0.0128461755702664,6.463643793589741,0.03679233061277368,-0.15937663350349854,ir8120216.trees
0,10001.0,250,76,-2.0149010029329237,3.9621807417343686,-2.4414350072746904,4.491315695346369,0.0036080120043846748,6.559923015630935,0.034525197564451354,-0.06749172685353315,ir8120217.trees
