#/home/enes/bim/BIM.py trees/ir8120170.trees,trees/ir8120171.trees,trees/ir8120172.trees,trees/ir8120173.trees,trees/ir8120174.trees,trees/ir8120175.trees,trees/ir8120176.trees,trees/ir8120177.trees,trees/ir8120178.trees,trees/ir8120179.trees,trees/ir8120180.trees,trees/ir8120181.trees,trees/ir8120182.trees,trees/ir8120183.trees,trees/ir8120184.trees,trees/ir8120185.trees 250 --stats=all --eta=etas/BC.json --out=outs/982295515.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FerL,FulD,TajD,bsfs,ZngE,Colless,btree,path
0,10001.0,250,77,0.015085452964571918,-2.4278173294556344,-2.264034625106887,4.612481183743454,6.0136680411403605,4.005929087312331,0.04990931467806711,-1.4115968677095139,ir8120170.trees
0,10001.0,250,78,0.022939913319201657,-2.330844363253446,-1.8097626524178498,4.535664259678173,6.421297121088801,3.8945470268224582,0.04602280088094313,-1.002843711818013,ir8120171.trees
0,10001.0,250,69,0.023567976584888208,-2.1134706703364174,-1.124759936351506,4.159844364795372,6.599127955678642,3.5434534260045125,0.041326596709418316,-0.49605478414294585,ir8120172.trees
0,10001.0,250,78,0.020745983748647442,-2.2318700364195094,-1.8097626524178494,4.327370651256743,3.965682479144142,3.722207931859686,0.046962041715248086,-0.6868282231535918,ir8120173.trees
0,10001.0,250,72,0.012901455906172359,-2.6233961239840897,-2.457404450155837,4.949000172092706,6.485655033508566,4.307367914001136,0.04317269076305221,-0.3440058796259957,ir8120174.trees
0,10001.0,250,83,0.02348016320723938,-1.8483986972012367,-0.790086965588319,3.660252605743223,6.366205633566094,3.1202662012505793,0.07246728850887421,-2.685198443589739,ir8120175.trees
0,10001.0,250,64,-0.03230508530017286,-2.22579702834367,-0.13739508891809346,3.663346382629849,3.308648938058919,3.4094805336444005,0.04277756186034461,-1.0004095955840302,ir8120176.trees
0,10001.0,250,63,0.022758196518554985,-2.225195798710779,-2.0821656875724215,4.363413325289826,6.571434716080109,3.716189024610458,0.056095349138489445,-1.2223888868258093,ir8120177.trees
0,10001.0,250,71,0.022386640554330935,-2.155157271655792,-1.432234514631127,4.217993318147365,4.550184124802618,3.604935850835028,0.048727166731441895,-1.0135604593483911,ir8120178.trees
0,10001.0,250,73,0.011170032263547016,-2.3687656382090063,-1.476357042930451,4.460865119647925,6.561374153207805,3.8869250586376896,0.03737530768234227,-0.2324875003748229,ir8120179.trees
0,10001.0,250,71,-0.0002016124719325467,-2.474823914779781,-1.6862643650923916,4.512202733390021,4.339377932628045,3.993036568565498,0.04126182147946625,-0.6070179145761775,ir8120180.trees
0,10001.0,250,73,0.02061281670318197,-2.0678607990270863,-2.46622270012455,4.033394219575309,6.067720463444282,3.454799415684222,0.07455628967482834,-2.4351967802342664,ir8120181.trees
0,10001.0,250,73,0.009792701024651558,-2.300545710908793,-1.9712898715275005,4.318865114527551,6.474616112995172,3.7689926021086375,0.04986073325560306,-1.1650955507547631,ir8120182.trees
0,10001.0,250,59,-0.010502313514483438,-2.327032354925277,-1.411263445076351,4.137914266893524,4.042703130771617,3.6936514249395738,0.04589325042103899,-0.613044774667746,ir8120183.trees
0,10001.0,250,87,0.014180244512323897,-2.248103523024298,-1.5216642680239814,4.261486531968989,6.905413160800776,3.7135502525625794,0.04165047285917865,-0.44432610996183675,ir8120184.trees
0,10001.0,250,74,-0.00047979318791621694,-2.40914035968614,-2.474817511031212,4.38340358581975,3.8841798429768213,3.886253028920825,0.037699183832102606,-0.24733943257794289,ir8120185.trees
