start,end,N,SS,FayH,FulD,bsfs,TajD,FerL,ZngE,Colless,btree,path,iColless,ibtree
0,2501.0,250,21,0.06996329612583914,2.7028127805474353,1.7256302452504968,-0.6055787044910181,0.7195409016494417,-0.8275966677950177,0.02882497732866952,0.6717031988759079,4030000,0.03552921362870838,-0.053592264104707486
0,2501.0,250,15,0.07077146372911214,1.5464560379341803,3.633608638399586,0.431638977468852,0.15520900452317532,0.0516924651560742,0.0284201321414691,0.2385642218733245,4030001,0.04382044306257287,-0.9843689115626232
0,2501.0,250,25,0.04378842028263615,-0.06408293727392311,1.3172697169739664,0.3708393880290573,0.06873841716866211,0.1008471165967138,0.03734790277736255,0.004259340218163664,4030002,0.03995821997668092,-0.7165819258619165
0,2501.0,250,16,-0.0045809361653851716,2.263676098788768,0.9801154440461134,-0.02433039188279808,-0.012282280932033488,-0.00013265304138537288,0.03896924101937705,-0.025763988947243056,4030003,0.06069439046508615,-1.8219659652213445
0,2501.0,250,19,0.010427441972194584,4.0371239245785935,2.2854481272112888,0.3872151589532252,-0.14122693222841684,0.2728972186189997,0.030476745692447207,0.15098921464887327,4030004,0.04673532841041586,-0.9666357060430706
0,2501.0,250,18,0.030202296918268482,2.6357962353207207,0.9617074942292769,-0.7797510675940533,0.5699728929140093,-0.7764961248584461,0.03796638165565487,-0.17882531293596152,4030005,0.04434944077384808,-0.88159678495512
0,2501.0,250,22,0.06412744730736568,3.9391795214493035,0.7740561530908168,-1.0624563255717498,0.9286786299381036,-1.186556425559448,0.030648649187320007,0.3184017443276575,4030006,0.05065422982251586,-1.089302524824561
0,2501.0,250,28,0.04938627582395642,0.24339190875992398,2.1388958946527854,-0.17863860460465114,0.398149432010214,-0.3949570469759992,0.0324167638295116,0.3724034658781869,4030007,0.04564062702422593,-0.763195114514763
0,2501.0,250,23,0.05115409751177196,1.5679620718526164,0.6464902279132679,-1.1700243260880978,0.9133509387643436,-1.220801209124743,0.039258772060948514,-0.0904886844754707,4030008,0.10181046767716026,-3.1576681454362534
0,2501.0,250,21,0.0616048880516352,3.462508271169229,3.4013685086873973,-0.2768288711356782,0.5003121652791743,-0.5154571450040667,0.030213326423975468,0.3734622197623863,4030009,0.053245239020598516,-1.4117031234529376
0,2501.0,250,31,0.05267492129841103,1.5829631528878736,4.337516440149144,0.5546963273588074,0.036051741453480265,0.20727287061992908,0.036209353543205085,0.0167304045704994,4030010,0.04739927451742453,-0.8959111524818651
