#/home/enes/bim/BIM.py trees/r8000204.trees,trees/r8000205.trees,trees/r8000206.trees,trees/r8000207.trees,trees/r8000208.trees,trees/r8000209.trees,trees/r8000210.trees,trees/r8000211.trees,trees/r8000212.trees,trees/r8000213.trees,trees/r8000214.trees,trees/r8000215.trees,trees/r8000216.trees,trees/r8000217.trees,trees/r8000218.trees,trees/r8000219.trees,trees/r8000220.trees 250 --stats=all --eta=etas/BC.json --out=outs/439006740.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FerL,bsfs,FayH,FulD,ZngE,Colless,btree,path
0,10001.0,250,47,-0.9997975912210691,1.2562543484682025,-0.1698475217842266,0.10699400099654606,-0.2624688407877547,-1.4462679036389108,0.030547236383865636,0.48237911569078545,r8000204.trees
0,10001.0,250,54,0.17941241030453378,-0.2603205686863273,0.08836287496296547,-0.023915109554469398,-0.27930689578105306,0.2882763480854822,0.037011959126829905,0.1129276299912541,r8000205.trees
0,10001.0,250,65,0.800884919933827,-0.17661367821282883,0.7678872058025795,0.03757562039919458,-0.45664954981119865,0.4955869540362403,0.03193836741346239,0.4038917181092882,r8000206.trees
0,10001.0,250,68,0.5631728506798475,-1.4070288428915303,-9.44476364371659e-06,-0.15734637066250245,-0.8323752647235949,1.3838973053873924,0.03612894291291976,0.14779405037972218,r8000207.trees
0,10001.0,250,40,-0.4053107528083753,0.2508353094345522,-6.075476972112264e-06,0.005086603846631595,0.19143033971055964,-0.3766737110831553,0.04189532322839745,-0.15757176776353876,r8000208.trees
0,10001.0,250,74,0.5119949080161799,0.4859758411684913,1.5770929962640305,0.1089546683722659,-0.7646441268550347,-0.1654417990079061,0.03332856042165266,0.33924497540313575,r8000209.trees
0,10001.0,250,41,0.6293025375389245,-1.0387981150167316,0.38561980099300913,-0.10672305130292839,-0.7264779108499138,1.1074976690893565,0.030833009457183574,0.4975403768680002,r8000210.trees
0,10001.0,250,66,0.3024667689336285,0.9074117549530245,1.2036491046849476,0.15409825791199894,0.049388243199684996,-0.5985259019299994,0.03198956074035999,0.096537704675798,r8000211.trees
0,10001.0,250,63,-0.33894662369889467,-1.1195752780780879,-0.888008206231575,-0.1883006156165896,-0.6612269439215183,0.7536085824788128,0.043100718285327674,-0.29967042980494535,r8000212.trees
0,10001.0,250,62,-0.5841172560249592,-0.4003425784707632,-0.4546713597892984,-0.10397117979283399,-0.6239052371832595,0.06573722168438241,0.038557455628967494,-0.08360823223037409,r8000213.trees
0,10001.0,250,65,-0.8129023605213122,-0.3256366825011359,-1.1387598812359456,-0.11077430130749127,0.6473298143218438,-0.09577644607095014,0.03678951429842794,-0.06866312437051944,r8000214.trees
0,10001.0,250,43,-1.5417415722100312,0.14924405571393456,-1.7937832051696603,-0.10299845641966031,2.0021745278308987,-0.7879645716240529,0.04273251363224157,-0.5535313867459766,r8000215.trees
0,10001.0,250,52,0.8026766705976209,0.07635351855709778,0.9691695112794655,0.07549445849517078,-1.1968968564189941,0.2892477928848253,0.035723539318564576,0.37871817538690256,r8000216.trees
0,10001.0,250,52,0.04799110476683462,-0.25755360340639255,0.1638993615386001,-0.03415275405826785,-0.17786999266109926,0.22844437828768205,0.03428588907601733,0.2975536420717707,r8000217.trees
0,10001.0,250,56,-0.7614469606324714,0.9210420286545412,-0.1943108629817651,0.0741139974203498,0.26028157108890054,-1.0760591780891509,0.03845913608350452,-0.06575979436858324,r8000218.trees
0,10001.0,250,50,0.40770272106580413,0.267966456788816,1.0816472750151291,0.07245963797467797,-1.1255238311699998,-0.0379556159030392,0.031642699831584395,0.396749784569989,r8000219.trees
0,10001.0,250,73,-0.8372616111507236,0.7440084486996392,-0.15003742201065487,0.040491056745619564,-0.2390249714378275,-0.9711880759919285,0.04053078674143578,-0.16200256950519054,r8000220.trees
