#/home/enes/bim/BIM.py trees/ir8080073.trees,trees/ir8080074.trees,trees/ir8080075.trees,trees/ir8080076.trees,trees/ir8080077.trees,trees/ir8080078.trees,trees/ir8080079.trees,trees/ir8080080.trees,trees/ir8080081.trees,trees/ir8080082.trees,trees/ir8080083.trees,trees/ir8080084.trees,trees/ir8080085.trees,trees/ir8080086.trees,trees/ir8080087.trees,trees/ir8080088.trees,trees/ir8080089.trees 250 --stats=all --eta=etas/BC.json --out=outs/956912764.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,ZngE,FerL,bsfs,FayH,FulD,Colless,btree,path
0,10001.0,250,95,2.242310415270898,1.339723444374345,-0.41906203374569956,2.9278493297370787,0.1140771932595518,-0.1102440714473801,0.05217182092425,-1.4606991443550439,ir8080073.trees
0,10001.0,250,78,3.4744348375823875,2.6616596551657077,-1.3870619643969797,4.2600578968584895,0.07390408467666683,-1.577308777834953,0.04001489830288897,-0.5109297151162814,ir8080074.trees
0,10001.0,250,114,1.7919853327664317,1.13066013321652,-0.40405142340428907,1.2997915092432695,0.08109338865152001,-1.8910606066858733,0.046756920153733214,-0.7485854283868211,ir8080075.trees
0,10001.0,250,84,3.218076408247986,2.713134883249895,-1.5869689005470198,4.972566500181361,0.02606067648131628,-2.3334538460904097,0.06391695815520144,-1.8887441954807587,ir8080076.trees
0,10001.0,250,82,1.6826112591131746,0.6744744331503212,0.09091907014144936,2.497652111644779,0.14318086855683423,0.12389836310545656,0.040045486605921894,-0.27517173496466485,ir8080077.trees
0,10001.0,250,98,2.2889091985873353,1.5497784900669018,-0.6520766366419227,2.2846738735726877,0.08517382891488104,-1.8827031467595374,0.04936232384736077,-0.7934719416268053,ir8080078.trees
0,10001.0,250,80,3.4251140414482855,2.420520510304265,-1.113795349126659,4.820907317578282,0.10865543771093239,-2.068241696713497,0.046222524506628664,-1.0169968291472116,ir8080079.trees
0,10001.0,250,86,1.9428569272036933,1.4416600302496585,-0.7141291271015711,6.101989249580317,0.05000809058966033,-0.8680787232409515,0.04150796735328411,-0.5998312409112794,ir8080080.trees
0,10001.0,250,114,2.813557804043645,1.6198754054177844,-0.4422777119870006,3.8741593564427443,0.15372230805552367,-1.8910606066858733,0.03923435678196657,-0.44638942309206475,ir8080081.trees
0,10001.0,250,70,3.4018557688541895,2.5963614041410232,-1.353724862537492,6.3554028041483335,0.07286336397030221,-0.8943969174224434,0.04609837198255387,-1.176536406275469,ir8080082.trees
0,10001.0,250,49,2.876629440132206,2.2433738172400357,-1.228952401383322,4.492730301810816,0.048749317259107985,-0.729036763370562,0.042751651768363784,-0.48683225453962803,ir8080083.trees
0,10001.0,250,107,2.7539001032003396,1.7557470195003442,-0.6460071004644005,2.4195305533491647,0.12139156373672984,-1.6404766677790346,0.04202734692435431,-0.38263985433985614,ir8080084.trees
0,10001.0,250,85,3.423304230776136,2.8294354048187267,-1.6171562208675965,4.4018288915171695,0.03774697989618957,-1.2711838632943118,0.05426544889234357,-1.8359873145817576,ir8080085.trees
0,10001.0,250,120,2.2547215305106874,1.0581250048537094,-0.056060992188563204,2.327724419063673,0.16385108279689878,-1.7973935862974548,0.042107947920715115,-0.3054305185964279,ir8080086.trees
0,10001.0,250,75,2.997015311054616,2.4644169565449086,-1.4075973936315582,6.376431832454306,0.03375552861763266,-1.0357922522235594,0.050262634114169286,-1.33826153681416,ir8080087.trees
0,10001.0,250,79,2.7078157135618843,1.8407070620925403,-0.7909107478878186,3.3104124442542275,0.09857889900091285,-1.36638162654564,0.04989543427164881,-1.230982578175889,ir8080088.trees
0,10001.0,250,89,2.409937145282084,1.3832927962115298,-0.38300657465341087,1.9412461485987371,0.13233872388224732,-1.3512455721990102,0.05207604611996373,-1.0321948077839354,ir8080089.trees
