#/home/enes/bim/BIM.py trees/r3040010.trees,trees/r3040011.trees,trees/r3040012.trees,trees/r3040013.trees,trees/r3040014.trees,trees/r3040015.trees,trees/r3040016.trees,trees/r3040017.trees,trees/r3040018.trees,trees/r3040019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/240083666.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,FulD,TajD,FayH,FerL,ZngE,Colless,btree,path
0,100001.0,50,463,-0.217486716862596,-0.02903303143924881,0.10357067295793178,-0.07657685637890481,-0.7081673380775566,0.6744528467058766,0.14523809523809522,0.306320710763654,r3040010.trees
0,100001.0,50,409,0.03648259848953579,0.546553637479468,-0.1624917833561353,0.04494319137323203,0.4747876923318534,-0.5000772346718694,0.1258808651665796,0.05980843174652561,r3040011.trees
0,100001.0,50,445,0.43595342357471756,-0.2965377616759776,-0.12247925935509549,0.06660296878371057,0.6346882754010752,-0.6197343976563462,0.1322448979591835,0.2855733481183866,r3040012.trees
0,100001.0,50,517,0.9357155657571917,0.6622703463876684,0.41786045440772407,0.025260268684200393,-0.03281856973650854,0.2450333576242438,0.1244822525784507,0.6074498549530264,r3040013.trees
0,100001.0,50,422,0.5579074361510288,-0.5543622220340985,0.08661326961048157,0.05500054793540023,0.41309416859115344,-0.3173861738552178,0.13012895031430288,0.14397053164409493,r3040014.trees
0,100001.0,50,395,-0.6089898418101205,1.1697055978431448,-0.17281018963862393,-0.03644896921648497,-0.2054870538706964,0.09091120617120516,0.13030133928571416,0.08973628419460512,r3040015.trees
0,100001.0,50,387,-1.0477613890919828,0.22893236162365563,-0.5259325132725476,-0.07428457017696248,-0.31632312148069697,0.005845735758174023,0.14666076011242823,-0.7623192496236547,r3040016.trees
0,100001.0,50,389,-0.317117059706555,-1.159200672438625,-0.12980174628009983,-0.05270044405346175,-0.3677044422541691,0.2552906592601026,0.12876111983254834,0.02119883131727486,r3040017.trees
0,100001.0,50,395,-0.23582911535957665,-0.02973416123437646,0.0505242695834891,-0.01539868486016641,-0.1595579132868416,0.16592747875678293,0.15364327549201498,-0.1297359244478288,r3040018.trees
0,100001.0,50,466,-0.5636139427058426,0.013552921443033638,-0.009786482783627225,-0.07127924189440228,-0.5966140431559221,0.5180458829388916,0.13087022248512936,-0.08376548942046924,r3040019.trees
