#/home/enes/bim/BIM.py trees/r8120102.trees,trees/r8120103.trees,trees/r8120104.trees,trees/r8120105.trees,trees/r8120106.trees,trees/r8120107.trees,trees/r8120108.trees,trees/r8120109.trees,trees/r8120110.trees,trees/r8120111.trees,trees/r8120112.trees,trees/r8120113.trees,trees/r8120114.trees,trees/r8120115.trees,trees/r8120116.trees,trees/r8120117.trees,trees/r8120118.trees 250 --stats=all --eta=etas/BC.json --out=outs/938971717.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,TajD,FayH,FerL,bsfs,FulD,btree,Colless,path
0,10001.0,250,67,3.5243445075211066,4.135908041915606,0.022582889841705433,-2.105639004038277,6.443176004917931,-1.8731106250843803,0.1329924975274401,0.03025003238761497,r8120102.trees
0,10001.0,250,77,3.6563286428371002,4.136231633536075,0.002302566020005524,-2.256443545315357,6.713267672924667,-0.38156557198144314,-0.04438550614180857,0.03882627283326855,r8120103.trees
0,10001.0,250,95,3.82834551941005,4.367280429563095,0.012273694547854748,-2.3247679498551195,6.151025331364235,-1.4592746223732806,-0.13109494915273434,0.03452519756445135,r8120104.trees
0,10001.0,250,79,4.023247612252035,4.607028928949156,0.01177885935422094,-2.4498232700838516,6.685990190360517,-1.3663816265456403,-0.34561545950402645,0.038728113446341195,r8120105.trees
0,10001.0,250,60,4.314121888216308,5.01011316533693,0.016285547921930228,-2.619359562770456,6.597118386620668,-2.6278238583409914,0.24521268541673258,0.03145197276561443,r8120106.trees
0,10001.0,250,75,3.8057418510318453,4.285752198690648,-0.0012292740979019078,-2.361752187836162,5.955681151594272,-1.759494767787942,0.3235227088455388,0.03315335073010938,r8120107.trees
0,10001.0,250,78,4.105828128820087,4.7158542880175,0.013945962889226135,-2.493501341774437,6.74099272781109,-2.739578150749437,0.6295135412093613,0.025273135552964548,r8120108.trees
0,10001.0,250,84,3.960338919733152,4.456793942081581,0.0008037566005896749,-2.449004786617309,6.367040511844876,-1.9000875425877362,0.46084746679077626,0.02843632594895712,r8120109.trees
0,10001.0,250,68,3.2759321797692578,3.807070411708386,0.015432909034691213,-1.976363672691073,6.581661483435804,-1.096931530738554,0.3086950939703163,0.029270307034589972,r8120110.trees
0,10001.0,250,59,4.388695039431374,5.022528927881924,0.004308562586761767,-2.707170396497139,6.68359831724043,-2.619779940852322,0.05499723759535758,0.03470872738264887,r8120111.trees
0,10001.0,250,64,3.791083680097726,4.423726799222442,0.019246486971064274,-2.283484135689632,6.065671461086786,-1.2575200592284252,-0.04828475312601092,0.03332145787450879,r8120112.trees
0,10001.0,250,81,3.774054920195566,4.362235824819764,0.017856407794334516,-2.2735739380465887,6.8307147136624815,-2.080798680181916,0.08269122421019107,0.0311504080839487,r8120113.trees
0,10001.0,250,76,4.062294765857544,4.47487464461874,-0.016526792107270462,-2.5744861607007175,4.913234941330105,-2.0149010029329237,-0.3646552884559063,0.04238459213196873,r8120114.trees
0,10001.0,250,57,4.34919477219607,4.935050679671547,-0.0035280559429034437,-2.7101172929834467,5.790433442595316,-2.2909369826205737,-0.7144052764875992,0.042265837543723275,r8120115.trees
0,10001.0,250,68,2.9671625995749946,3.509857915202519,0.02363980487541897,-1.7563510966227827,6.527984026052373,-1.6260440627684736,0.42517158398606186,0.031054324826186464,r8120116.trees
0,10001.0,250,60,3.6693282370233686,4.224294523709194,0.007997637254642599,-2.248040867977531,6.508124231260764,-1.7355214011225153,-1.0118888956577752,0.048246750442630736,r8120117.trees
0,10001.0,250,76,3.007703816831198,3.4573741425343893,0.010211579550058305,-1.8269352618619616,6.081102364931681,-1.061963006848357,0.3085247871841481,0.028864562191418006,r8120118.trees
