#/home/enes/bim/BIM.py trees/ir3120090.trees,trees/ir3120091.trees,trees/ir3120092.trees,trees/ir3120093.trees,trees/ir3120094.trees,trees/ir3120095.trees,trees/ir3120096.trees,trees/ir3120097.trees,trees/ir3120098.trees,trees/ir3120099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/348252520.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,bsfs,FerL,TajD,ZngE,FulD,Colless,btree,path
0,100001.0,50,436,0.050250635267513145,0.6563967939924804,0.30383770471564764,0.20431797128050014,-0.16079703432939113,0.1391072868176951,0.11750992063492062,0.24750819366221663,ir3120090.trees
0,100001.0,50,456,-0.018646058572297286,0.01804282733456554,-0.2710595995864153,0.19255749196592323,0.33718978525131366,-0.531356027290833,0.13207818338603056,-0.06110037235176554,ir3120091.trees
0,100001.0,50,508,-0.15835012366101509,-1.7591777168887925,-1.1768778946506788,-0.2761016445248064,0.8891768790542399,0.5280214254710878,0.12564787819889867,-0.04297954585794578,ir3120092.trees
0,100001.0,50,433,-0.0990380671022933,-0.4246245936158083,-0.8061838325413329,-0.05071925054339634,0.6805447472823898,-0.5555822062190139,0.1477817213842058,-0.31412065505737113,ir3120093.trees
0,100001.0,50,386,-0.14333722180544192,-2.26417709198119,-0.5413045967374627,-1.132059973066453,-0.10973198681923207,-0.10711068774521698,0.18386243386243387,-1.3610189076354042,ir3120094.trees
0,100001.0,50,428,0.02034067296088798,0.850157488153642,-0.1983281268579667,0.627898915208515,0.4982293385273557,-0.31591399947874077,0.12371015822059162,0.39943205258017395,ir3120095.trees
0,100001.0,50,380,-0.05029722479270107,-0.45519990968298013,-0.3257985645838936,-0.1663246315421085,0.19972192191497584,0.44953293578074605,0.16536753590325012,-1.065517556725424,ir3120096.trees
0,100001.0,50,440,-0.06781345526546309,-0.6969559878717629,-0.3762424969064509,-0.33316476475036244,0.15768864786256032,-0.39715386166283473,0.17942797556978993,-1.1832266671529037,ir3120097.trees
0,100001.0,50,406,-0.013017901168881156,-0.14769518774869458,-0.026538942069592973,-0.14133018753886403,-0.049706398755793496,-1.0664127063944324,0.13749552452559968,-0.23038415800408904,ir3120098.trees
0,100001.0,50,366,0.04455486867741588,0.4213702849890252,0.3468261261335855,0.04802535002336966,-0.279166129965755,0.22853267318336443,0.13520408163265313,-0.3761833630964486,ir3120099.trees
