#/home/enes/bim/BIM.py trees/r8120051.trees,trees/r8120052.trees,trees/r8120053.trees,trees/r8120054.trees,trees/r8120055.trees,trees/r8120056.trees,trees/r8120057.trees,trees/r8120058.trees,trees/r8120059.trees,trees/r8120060.trees,trees/r8120061.trees,trees/r8120062.trees,trees/r8120063.trees,trees/r8120064.trees,trees/r8120065.trees,trees/r8120066.trees,trees/r8120067.trees 250 --stats=all --eta=etas/BC.json --out=outs/366656846.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,ZngE,FayH,bsfs,FerL,TajD,btree,Colless,path
0,10001.0,250,70,-1.6667293489390875,3.7647490420444343,0.00666089090796521,4.844560530955761,-2.309515870789472,4.300151794475967,-0.5062054822675693,0.04025996458954096,r8120051.trees
0,10001.0,250,76,-1.0619630068483572,3.5574825255754234,0.006708423905114116,6.778010948343716,-2.1798268764531112,4.054854784898736,-0.06537609796692305,0.03136740510428812,r8120052.trees
0,10001.0,250,64,-1.537551301806009,4.018063213962173,-0.009338498609837745,4.12387739216338,-2.5233907313270394,4.499724354436991,0.022341175982305384,0.035145960184825326,r8120053.trees
0,10001.0,250,66,-1.3109787631330359,3.892345401928836,-0.04190244245998366,3.2529291145880497,-2.5585104626755926,4.1446064844643695,-0.12260449487656726,0.03757257770083266,r8120054.trees
0,10001.0,250,78,-2.042216527000747,3.645152471131139,0.017159083022185856,6.7198065385034855,-2.1968328784133857,4.217473180911768,0.47884819311938515,0.028418659977152008,r8120055.trees
0,10001.0,250,99,-1.894878122216541,3.556736132106605,0.010257343368812599,5.600270749751786,-2.163463587739655,4.045516218531847,-0.5480892981208981,0.04186504080839488,r8120056.trees
0,10001.0,250,65,-1.00863923187772,3.0653297290474852,0.02537212108611641,5.521005324907835,-1.8119985161195904,3.6373138283840847,0.7904344259787605,0.024765729585006693,r8120057.trees
0,10001.0,250,70,-1.4092852051002063,3.4968792627754985,-0.004708962519078321,4.852842773708511,-2.183339094270508,3.9245604329473003,0.2746102595810623,0.03282484777820961,r8120058.trees
0,10001.0,250,75,-2.2419631114975305,3.6880968378790215,0.013495449231976217,6.797367966468196,-2.2369880504576494,4.247534505472464,-0.4055318282520831,0.04252262506246183,r8120059.trees
0,10001.0,250,63,-0.37703919519133805,2.8928590680085535,0.0075851059734875536,5.064954953067391,-1.7672958313115776,3.332421260282089,-0.2571054395376444,0.035263635185904904,r8120060.trees
0,10001.0,250,62,-1.7777844950934458,4.1551635084916105,0.014814159828674291,6.680570376869068,-2.525195238908205,4.814184049696867,-1.1324913732163604,0.03959709806969815,r8120061.trees
0,10001.0,250,76,-2.2531355019540653,3.919759545072005,0.021366866335081024,6.740161150439459,-2.3525016118129187,4.557554453724809,-0.09787404905107523,0.036360495746426566,r8120062.trees
0,10001.0,250,73,-1.228890628631926,3.0490765615059146,0.01905432297700828,6.58059684465018,-1.8219855380305572,3.5652473941837766,-0.050151320067917816,0.034292006736623915,r8120063.trees
0,10001.0,250,77,-2.264034625106887,3.917061828045247,0.012343070963216934,5.120313379962521,-2.3824638213901017,4.4946794456478685,0.39673320613814933,0.028672755538282156,r8120064.trees
0,10001.0,250,82,-1.649673099895991,4.095296225713758,0.00293845865467812,6.348858587994525,-2.525262620870099,4.625756944475119,-0.49022423298508483,0.040599347536774674,r8120065.trees
0,10001.0,250,82,-1.2062802341456293,3.206452432782536,0.012890803970447206,6.560531332020016,-1.9395662768050692,3.6901160858068174,-0.10983065429793885,0.03501101178909185,r8120066.trees
0,10001.0,250,84,-2.116770694339073,2.4785583326264136,0.03459385647685225,6.376944892678399,-1.4113730452398636,3.0095384544901935,-0.3790123946859716,0.03871129680010364,r8120067.trees
