#/home/enes/bim/BIM.py trees/r3080030.trees,trees/r3080031.trees,trees/r3080032.trees,trees/r3080033.trees,trees/r3080034.trees,trees/r3080035.trees,trees/r3080036.trees,trees/r3080037.trees,trees/r3080038.trees,trees/r3080039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/691325529.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,TajD,FulD,FerL,ZngE,FayH,Colless,btree,path
0,100001.0,50,481,-0.3467621218490039,0.031117822446363106,-0.36695384960699917,-0.49096839555225685,0.4465968133501419,-0.05589898978782732,0.13745393990929694,-0.33756088101785153,r3080030.trees
0,100001.0,50,479,0.341536208538672,0.21869492339197036,0.1094425042315859,-0.13196810458344133,0.22881644430015144,-0.0003524590177052649,0.13848283499446293,-0.10295361221121098,r3080031.trees
0,100001.0,50,400,-0.88322730960173,-0.2109851158055414,0.780887598354192,-0.0759185245034202,-0.042370501053257084,-0.0237419134385046,0.12070780693229673,-0.329071312817242,r3080032.trees
0,100001.0,50,369,-0.7046923083579814,-0.21597108957735808,-0.2813182429600812,-0.36051328495637425,0.20454914285333928,-0.0579129664646494,0.12144357743097245,-0.22923137226991294,r3080033.trees
0,100001.0,50,349,0.4205404045390497,-0.0068281236762198555,0.14541876117834052,0.3784955488695002,-0.33516396842063495,0.04452144509281114,0.10843597794147253,0.7200732347904206,r3080034.trees
0,100001.0,50,361,0.42395180748439115,-0.0035326280119209815,0.07228652592871411,0.2888784787701664,-0.2549638504616025,0.034076081763229744,0.11427832002366166,0.46870038809660836,r3080035.trees
0,100001.0,50,474,-0.5131450031454228,-0.17015750128848936,-0.13608068547945879,-0.26124726841888884,0.14107567871995938,-0.042777304167027075,0.11350802456905107,0.3924551844057697,r3080036.trees
0,100001.0,50,538,0.05363352730568499,0.11352109844793751,0.06680364384761138,-0.07827522558759946,0.12741898699803775,-0.0013303926599047202,0.13450665353860833,-0.28225035283783956,r3080037.trees
0,100001.0,50,479,-0.13825166982669124,0.1613279305796623,0.04755385060315961,-0.40642225186652925,0.4397998900016757,-0.036817868989491534,0.11740946378551431,0.11894990893632433,r3080038.trees
0,100001.0,50,532,-0.09983981076995968,0.06979770914178399,0.07685212283026431,-0.1919026342336842,0.20443052841016407,-0.01780130625314147,0.13017617303331588,0.1265322273668132,r3080039.trees
