#/home/enes/bim/BIM.py trees/ir8060056.trees,trees/ir8060057.trees,trees/ir8060058.trees,trees/ir8060059.trees,trees/ir8060060.trees,trees/ir8060061.trees,trees/ir8060062.trees,trees/ir8060063.trees,trees/ir8060064.trees,trees/ir8060065.trees,trees/ir8060066.trees,trees/ir8060067.trees,trees/ir8060068.trees,trees/ir8060069.trees,trees/ir8060070.trees,trees/ir8060071.trees,trees/ir8060072.trees 250 --stats=all --eta=etas/BC.json --out=outs/667860611.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,bsfs,FerL,FayH,TajD,FulD,btree,Colless,path
0,10001.0,250,55,3.252020965485775,5.380364302931229,-2.0178751279187717,-1.650483801480389e-05,3.712053910920757,-1.2949489529817473,-0.6315895738122534,0.04234680658116337,ir8060056.trees
0,10001.0,250,56,3.7344732248498445,6.483127269968969,-2.1934756659349386,0.036100751805040035,4.486650148719747,-2.911221994196293,-2.1180404651381677,0.06756056484000518,ir8060057.trees
0,10001.0,250,53,2.6059606290834703,5.207775942431217,-1.4688207666468567,0.0437071106065979,3.252878437901701,-1.5644675274987263,0.08110605605051631,0.03378028242000259,ir8060058.trees
0,10001.0,250,46,2.976193082105384,5.820167712176693,-1.6794691131647461,0.05073244455930284,3.7376571694897907,-2.4866111284218646,-1.1271823920753117,0.046087576110895194,ir8060059.trees
0,10001.0,250,58,3.7988292434531234,6.249145462339798,-2.2777384948069157,0.02290289739888244,4.471284945108533,-2.3045064844089733,0.06672645023114332,0.032970592045601765,ir8060060.trees
0,10001.0,250,38,3.4814300487416814,5.18070181004702,-2.166148390750616,-0.00023503060652891385,4.041635661278527,-2.3647389455447105,-0.903372786725182,0.04773934447467289,ir8060061.trees
0,10001.0,250,62,3.1608516307766354,6.323287761097776,-1.8742175591434396,0.02477510260447117,3.747749376512643,-0.9123750516608067,-1.231730722445465,0.05157727684933282,ir8060062.trees
0,10001.0,250,50,2.169705990951238,5.095082967468023,-1.3128198656485985,0.01014682060514101,2.5500513591899616,-0.7733369363253907,-0.2390606335964264,0.03883275035626377,ir8060063.trees
0,10001.0,250,53,3.23787298207439,6.402574327717536,-1.9654813369961324,0.012952793264832601,3.782855120312589,-0.5632217466162425,0.06028423307329783,0.03237142116854515,ir8060064.trees
0,10001.0,250,52,3.7562346487376455,6.2946164153742465,-2.284587631413148,0.013829472569978806,4.384347380361031,-1.8762480989242567,-0.5949185021132055,0.04307552791812411,ir8060065.trees
0,10001.0,250,48,2.7187470904219424,6.2485284008978725,-1.633440261985091,0.016364482499740873,3.223391038893004,0.0482737356514248,-0.4529082506178398,0.04109988340458609,ir8060066.trees
0,10001.0,250,75,3.7756865557008323,6.1904112850327015,-2.259439552514644,0.02252059128278069,4.4042805260858415,-2.724431455207119,-1.0047066384219359,0.04900246145873818,ir8060067.trees
0,10001.0,250,54,2.8944854936562097,5.338075411414752,-1.7199615861947846,0.022381744824880274,3.4468732103217903,-0.9353579182464256,-1.4841210430135854,0.05235457960875761,ir8060068.trees
0,10001.0,250,63,2.6536007900216734,6.076253177351745,-1.5058082387212357,0.04024567992991617,3.2679779789796757,-1.2296024413818796,-0.9518560388000143,0.04331843503044436,ir8060069.trees
0,10001.0,250,45,2.0024702959705776,5.96863180355894,-1.1714077106398282,0.021841031119357413,2.4409217121362126,-0.5338766159724847,-1.3148847484213477,0.05007125275294727,ir8060070.trees
0,10001.0,250,51,3.2725402302390685,3.512917420524254,-1.9939586578192892,0.011096609325681689,3.816865510726575,-0.12440113178281217,-0.6675273376207507,0.03807488016582459,ir8060071.trees
0,10001.0,250,44,1.9505148576428706,4.975402740026566,-1.1677242853449354,0.01334038749232086,2.3308742629517396,1.103829521929272,-0.7008793962409544,0.04401476875242907,ir8060072.trees
