#/home/enes/bim/BIM.py trees/ir8060122.trees,trees/ir8060123.trees,trees/ir8060124.trees,trees/ir8060125.trees,trees/ir8060126.trees,trees/ir8060127.trees,trees/ir8060128.trees,trees/ir8060129.trees,trees/ir8060130.trees,trees/ir8060131.trees,trees/ir8060132.trees,trees/ir8060133.trees,trees/ir8060134.trees,trees/ir8060135.trees,trees/ir8060136.trees,trees/ir8060137.trees 250 --stats=all --eta=etas/BC.json --out=outs/873829049.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FulD,ZngE,TajD,FerL,bsfs,btree,Colless,path
0,10001.0,250,67,0.020358960831296735,-2.141372695627693,3.5509764647226514,4.151904649238606,-2.129898610817057,6.093498900257005,-0.523993577160241,0.044532970592045605,ir8060122.trees
0,10001.0,250,49,-0.0077632443904217235,0.34735118798298625,2.062502911191793,2.317864494718453,-1.3067683246506334,3.603068994475786,0.61114841700233,0.029796605777950513,ir8060123.trees
0,10001.0,250,45,0.013812845333119468,-1.697655022662375,3.086006828490481,3.6393236948773415,-1.871272245803292,4.7491213899218145,-0.1991886480526597,0.037245757222438135,ir8060124.trees
0,10001.0,250,59,0.0009072276681618554,-0.8070051971883655,2.513569705242606,2.8667393455735057,-1.5558654131574572,3.5653428493702535,-1.4532169053073485,0.0577147298872911,ir8060125.trees
0,10001.0,250,59,0.004978988456793174,-2.0155216929643363,3.492174058162043,4.006317012811317,-2.1488168621512918,4.424823469198015,-0.538872936569614,0.04165047285917865,ir8060126.trees
0,10001.0,250,53,0.014299472564589062,-1.5644675274987263,3.29531955961902,3.856960711655871,-1.9965586389017258,5.866247430454921,-0.28358847598933884,0.042201062313771215,ir8060127.trees
0,10001.0,250,45,0.03126384132465485,-1.6976550226623746,3.16311242443759,3.8357358385027873,-1.8611269430226007,5.962875245527456,-1.502581531521709,0.05275294727296283,ir8060128.trees
0,10001.0,250,43,0.028514510002023923,-1.6369665763827614,3.020648789153847,3.6614539866246,-1.782934404913909,6.125069760729039,0.08548712769624235,0.03410415856976293,ir8060129.trees
0,10001.0,250,34,0.017035572685241203,-1.2857192844056244,2.9053154201979896,3.495766453183882,-1.7542263252895847,5.7235236303246575,0.1421248701182854,0.032387614976033166,ir8060130.trees
0,10001.0,250,51,0.030981448252152047,-1.1618543292691093,2.996031311315425,3.6242519778577953,-1.7550739335746044,5.990575847055934,-1.2046830397917359,0.05243554864619769,ir8060131.trees
0,10001.0,250,52,0.04030423200616697,-2.2159237201768875,3.334187418004531,4.066858443060418,-1.9328908368879096,5.928493406699516,-2.333514164725387,0.0656335017489312,ir8060132.trees
0,10001.0,250,65,0.05359776898303946,-1.836623754977502,2.7359256532852974,3.4432351428999084,-1.5097013552559237,5.512114383154202,-1.8569793303005078,0.05917217256121259,ir8060133.trees
0,10001.0,250,55,0.011843871759442263,-0.6499569649883468,2.7936329210049204,3.263263823082265,-1.6929815265331545,6.256147268033666,-1.186945962728947,0.04782571144794231,ir8060134.trees
0,10001.0,250,83,0.020910998033718327,-1.8858923928269258,3.650963359229193,4.240415127008429,-2.1861081412466836,5.913860861572331,-1.6336020390028239,0.05836248218681177,ir8060135.trees
0,10001.0,250,40,0.04098882831112884,-1.5357006352431182,2.1384150748176127,2.726664395411239,-1.1955228992266755,5.385665337746209,-0.9333316288819882,0.047868894934577015,ir8060136.trees
0,10001.0,250,77,0.015417078918423506,-1.3228000985441652,3.512128939120699,4.05799954613952,-2.1208067303899334,6.7104615488227575,0.18639397422244902,0.032355227361057136,ir8060137.trees
