#/home/enes/bim/BIM.py trees/r3110090.trees,trees/r3110091.trees,trees/r3110092.trees,trees/r3110093.trees,trees/r3110094.trees,trees/r3110095.trees,trees/r3110096.trees,trees/r3110097.trees,trees/r3110098.trees,trees/r3110099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/388469176.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,FerL,FayH,bsfs,FulD,ZngE,Colless,btree,path
0,100001.0,50,332,-0.518408419204461,0.70601950740513,0.04775073169174551,-0.42249559272632914,1.4346212173154334,-0.8855499993362891,0.11992708042120949,0.28554221516945344,r3110090.trees
0,100001.0,50,381,-0.10434117457092959,0.3571572922911991,0.0351040068415978,0.08958465476103826,-0.2984356504806171,-0.36684847711718765,0.12154647134927582,0.1273287639008024,r3110091.trees
0,100001.0,50,433,-0.014719452464850716,0.020723141182538114,0.0014271963366973566,-0.007794591357034142,-0.38452032628798805,-0.025772008714508833,0.11798131951193169,0.6616178758064205,r3110092.trees
0,100001.0,50,401,-0.1270043963690068,0.40294640932168824,0.03891801522484635,0.0808859810067388,0.32764296751709804,-0.4187511268115829,0.10803658197973068,0.4137951740473774,r3110093.trees
0,100001.0,50,542,-0.4677304785093948,-0.14502150548647558,-0.049732996622565064,-1.248713061590952,1.1365611787818286,-0.11497020245433733,0.11827065851721397,0.3755882939829908,r3110094.trees
0,100001.0,50,368,0.32865250525176215,-0.24240166614160283,-0.005818986148555447,0.37289235264467063,-0.2731394881425545,0.38191680002902717,0.10383709696896513,0.9819192663481644,r3110095.trees
0,100001.0,50,404,0.06423349118626615,0.06416942288720719,0.012096016736298863,0.24169098777714407,0.5940077776663535,-0.023084323850018913,0.13980746619635517,0.2610277128834204,r3110096.trees
0,100001.0,50,378,-0.55894199013088,-0.4638066005584608,-0.09412226153223996,-1.9012009309279314,0.5867721729758505,0.1181288868017444,0.1269824497846475,-0.6751951682373639,r3110097.trees
0,100001.0,50,420,0.0356239748952956,0.101676328488837,0.014537329016484126,0.039236449152436126,-0.18866086325432568,-0.0707303637137362,0.11972185323833678,0.6139047138206749,r3110098.trees
0,100001.0,50,335,-0.1725272883415766,0.36619186116340763,0.03150127497666288,-0.10545847260033826,0.5536831660616331,-0.4096996556363667,0.1308756141345428,-0.0062607451419381226,r3110099.trees
