#/home/enes/bim/BIM.py trees/r8110017.trees,trees/r8110018.trees,trees/r8110019.trees,trees/r8110020.trees,trees/r8110021.trees,trees/r8110022.trees,trees/r8110023.trees,trees/r8110024.trees,trees/r8110025.trees,trees/r8110026.trees,trees/r8110027.trees,trees/r8110028.trees,trees/r8110029.trees,trees/r8110030.trees,trees/r8110031.trees,trees/r8110032.trees,trees/r8110033.trees 250 --stats=all --eta=etas/BC.json --out=outs/310743240.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,ZngE,FayH,bsfs,FulD,TajD,Colless,btree,path
0,10001.0,250,97,-1.6630508285946901,2.870054769240113,0.03131639993693438,5.904807399637233,-1.1146072251393746,3.416233732543758,0.0298228243234073,0.48577806814417296,r8110017.trees
0,10001.0,250,57,-1.2415577720390185,2.2265565255931317,0.040766877470210294,4.712107700342475,-1.3549983302157256,2.794515129074357,0.03218969066229074,0.08511198491445818,r8110018.trees
0,10001.0,250,77,-1.6370013609203955,2.8523314575811165,0.03669288302156001,6.291047358337829,-1.0874914669034845,3.4510506987818097,0.029463896642287626,0.3552981982783195,r8110019.trees
0,10001.0,250,105,-0.9140625068744948,2.277863162786678,0.13673368741142505,1.701478469718365,-1.2627996355441855,3.4375780718960143,0.030697461290802395,0.45538152469088805,r8110020.trees
0,10001.0,250,71,-1.5164413788572786,2.557966472771435,0.019535993324601396,5.616901253869383,-0.1620852623248054,3.016328065044914,0.041080450835600454,-0.5499430970992432,r8110021.trees
0,10001.0,250,91,-1.5978063990307119,2.980033701485582,0.06882006863462396,2.742408561436399,-1.5895558298043457,3.788173933233952,0.031552284406442976,0.2004787241119418,r8110022.trees
0,10001.0,250,76,-1.4710629449269348,2.540222229611957,0.029007081979768826,5.6635872448495785,-0.5854940088060739,3.0509326924935327,0.03637129161808524,-0.23283659827398628,r8110023.trees
0,10001.0,250,90,-1.91709558458485,3.3177839416553345,0.03809551550152452,5.467763309076006,-2.1818778696597896,3.9685875103325676,0.027564804673238404,0.5841372821167102,r8110024.trees
0,10001.0,250,99,-0.9628343629193651,2.100065944880233,0.09333725771791795,3.5941331416994897,-2.080147139487221,2.9574617862445467,0.0313631435760018,0.19032744027831305,r8110025.trees
0,10001.0,250,102,-1.522497493716932,2.8716448719162218,0.07029131983833362,5.645767171361752,-1.5699341777177904,3.668420437762136,0.03335924342531415,0.11090930587023116,r8110026.trees
0,10001.0,250,78,-1.9716467855691044,3.2714749142647457,0.01539465289136993,6.217730051704813,-2.7395781507494372,3.785090303193638,0.026528400994005344,0.4292468849334901,r8110027.trees
0,10001.0,250,86,-1.384697906663024,2.5583821439877306,0.0558205867479165,4.268227933394383,-1.5037543848650903,3.234794951397101,0.027825185735931096,0.6112392982239141,r8110028.trees
0,10001.0,250,75,-1.0028490678830737,1.815222577395022,0.034496957199274904,4.137101244433826,-0.3120897366591775,2.2693522922993004,0.03220948309366498,0.3910108518805366,r8110029.trees
0,10001.0,250,94,-2.386322553064565,3.9636292886296527,0.0184842307903577,7.016118171584412,-2.22088606121527,4.560459081128352,0.02765497473766032,0.6523960587774861,r8110030.trees
0,10001.0,250,117,-1.7951828196322865,2.931577535454491,0.004754236688194577,2.3553346408686036,-1.4485166451657336,3.296422030097167,0.04040951582220222,-0.38063113928249726,r8110031.trees
0,10001.0,250,84,-1.5125587429295795,2.645007040164527,0.03511748343112379,4.062115469444412,-0.816671783831052,3.200017738508454,0.029362071943688728,0.4890533680641027,r8110032.trees
0,10001.0,250,76,-1.7776674892697095,2.97291843556806,0.01806865721086157,6.351865173352627,-0.8237285078272153,3.4686180454761417,0.032473346898028554,0.16240106919504455,r8110033.trees
