#/home/enes/bim/BIM.py trees/r8120119.trees,trees/r8120120.trees,trees/r8120121.trees,trees/r8120122.trees,trees/r8120123.trees,trees/r8120124.trees,trees/r8120125.trees,trees/r8120126.trees,trees/r8120127.trees,trees/r8120128.trees,trees/r8120129.trees,trees/r8120130.trees,trees/r8120131.trees,trees/r8120132.trees,trees/r8120133.trees,trees/r8120134.trees,trees/r8120135.trees 250 --stats=all --eta=etas/BC.json --out=outs/409061203.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,bsfs,FayH,ZngE,TajD,FerL,Colless,btree,path
0,10001.0,250,64,-1.2575200592284255,6.251467241809244,0.008800174964246413,3.984363195833827,4.576684587336868,-2.4395563956919273,0.03939413568251501,-0.18377592898720355,r8120119.trees
0,10001.0,250,63,-1.797977938842241,3.4679981948327407,0.006505631688835604,3.082858288762839,3.5412821358548716,-1.8888350569206238,0.031161512409083342,0.38965835810648775,r8120120.trees
0,10001.0,250,77,-1.5581087301848453,3.8794064601941303,3.998327103179629e-05,3.8634061243368167,4.355104571516134,-2.3926910000727672,0.028021175611537056,0.618305201964887,r8120121.trees
0,10001.0,250,74,-0.7646441268550347,6.033671364615339,0.0044185035928001465,3.7567309243592755,4.268622792260104,-2.3116635998793775,0.03512205504043825,-0.17072530437792482,r8120122.trees
0,10001.0,250,88,-0.7099544239345615,5.539104718917947,0.014509700067406062,3.3432350840950638,3.84657640014882,-2.017547818158219,0.028552921362870836,0.4747499447479485,r8120123.trees
0,10001.0,250,75,-2.241963111497531,6.804168709910584,0.0182676410147939,3.650313038034319,4.235536738467444,-2.196765988774042,0.029048451872004145,-0.16692090997874795,r8120124.trees
0,10001.0,250,62,-2.643193938526086,6.447572232240473,0.013512362608342422,4.19187656243801,4.847641914123017,-2.5524615845889924,0.02935705957470434,0.18510844521245826,r8120125.trees
0,10001.0,250,87,-1.7312392148733595,6.984414685656846,0.00943338842062334,3.7577763034481437,4.280413927168785,-2.2924214669397873,0.0391566265060241,-0.43051649905127576,r8120126.trees
0,10001.0,250,70,-2.696505924294613,4.856295521382068,0.008211560808420388,3.9823360982424085,4.556131918605307,-2.4389149341553513,0.028339163104029022,0.4449299385608868,r8120127.trees
0,10001.0,250,70,-0.6369527735835624,6.591290549011721,0.006539218979214862,3.2994052958059075,3.773112970338789,-2.021590265063159,0.035436677585919715,-0.018140429721885173,r8120128.trees
0,10001.0,250,75,-2.0007289396427366,3.17099147875175,0.0018523639156989781,3.832362255467885,4.335564633148825,-2.367382084959248,0.034379453297059194,-0.1947117428697134,r8120129.trees
0,10001.0,250,54,-1.9194344519444837,2.607752730148246,-0.022929855462869388,3.9681052788448583,4.389320803638511,-2.540481537381617,0.03162650602409639,0.3801535657354185,r8120130.trees
0,10001.0,250,64,-2.0976137869611757,4.382024541569851,-0.010111984690082185,3.8237925212222974,4.274385800168778,-2.405637261419483,0.037686228786112184,-0.3340935665749577,r8120131.trees
0,10001.0,250,77,-1.322800098544165,5.216351863530826,-0.0022461190491372004,3.8701130873003713,4.347967821370951,-2.4049204127623556,0.03045515394912985,0.3675816967165991,r8120132.trees
0,10001.0,250,69,-1.3857115925285906,4.574060765109908,0.025083492297524018,3.97691988573695,4.659982841826307,-2.3767905065897708,0.037731571447078636,-0.43376381276368614,r8120133.trees
0,10001.0,250,72,-1.203878941471341,6.28366440623828,0.012478704864191285,3.5908559203503656,4.136788135506618,-2.1809553160010897,0.032238631947143416,0.3369927562891103,r8120134.trees
0,10001.0,250,69,-1.9076149048827613,6.0969266456831095,0.014495894658642447,4.023230404939134,4.644791053842601,-2.4425079672052976,0.030259748672107782,0.2755664665351291,r8120135.trees
