#/home/enes/bim/BIM.py trees/r3080040.trees,trees/r3080041.trees,trees/r3080042.trees,trees/r3080043.trees,trees/r3080044.trees,trees/r3080045.trees,trees/r3080046.trees,trees/r3080047.trees,trees/r3080048.trees,trees/r3080049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/971667712.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,FulD,bsfs,ZngE,FayH,TajD,btree,Colless,path
0,100001.0,50,371,-0.16719021956418278,-0.377325631759555,0.014322470156819858,0.2011312727263281,-0.01245413225343515,0.1058881951799467,0.4288991247283392,0.12054907677356652,r3080040.trees
0,100001.0,50,341,-0.13956040386935611,-0.33793329370370795,-0.6723320883780568,-0.0006995466500765319,-0.033293929233919904,-0.23868666482794337,0.01634457463208898,0.1294978517722879,r3080041.trees
0,100001.0,50,310,-0.01356227729187592,0.33844813174647426,-0.4847659108137287,-0.05722674355940389,-0.011017974824476648,-0.13430163977209839,0.41619980484912167,0.10425170068027212,r3080042.trees
0,100001.0,50,474,0.10134616847886312,0.6143750334610021,-0.309281041766009,-0.1374390704826185,0.005435317748449896,-0.09393774697705352,-0.6511192054637176,0.1400352176268739,r3080043.trees
0,100001.0,50,281,0.08477697767478709,2.0781360542104053,-2.1547664531140915,-0.405928059822181,-0.035112242268615465,-0.6455486776744175,-0.6251721844717751,0.15113240418118468,r3080044.trees
0,100001.0,50,380,-0.3820659850579413,0.13791562063390728,-0.3202998539792627,0.29487001848652694,-0.05076828909982479,-0.07748189904004009,0.026918688544589064,0.12399640088593569,r3080045.trees
0,100001.0,50,398,-0.18938915168905326,1.173341283133404,-1.6091848909933277,-0.2112672943723625,-0.07351879707364475,-0.7308729138624879,-0.5730147066603757,0.1659397630019749,r3080046.trees
0,100001.0,50,482,0.2953235591807432,-0.18851523604143874,0.10983268847878394,-0.31639828261166536,0.027180416363887402,-0.11106852464301487,-0.29818248461990887,0.13361025038287577,r3080047.trees
0,100001.0,50,444,-0.6022605771981626,-0.990547347808476,-0.03275951746908609,0.6007436112869496,-0.06149015864244863,0.14075136229585006,0.004047994053671608,0.13079996149403156,r3080048.trees
0,100001.0,50,434,-0.928383851353033,0.7010620533082379,-1.2378323779493692,0.6747616203464349,-0.12876607032525877,-0.26926330729090675,-0.9480586402430816,0.16196145124716563,r3080049.trees
