#/home/enes/bim/BIM.py trees/ir3040070.trees,trees/ir3040071.trees,trees/ir3040072.trees,trees/ir3040073.trees,trees/ir3040074.trees,trees/ir3040075.trees,trees/ir3040076.trees,trees/ir3040077.trees,trees/ir3040078.trees,trees/ir3040079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/637799010.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,TajD,FayH,FerL,FulD,bsfs,Colless,btree,path
0,100001.0,50,336,-0.4370928352987321,-0.12977348664274757,0.04119957446716982,0.4225883875824559,0.8503665046047788,-0.1449012387219198,0.13563829787234047,-0.8123659671513729,ir3040070.trees
0,100001.0,50,443,-0.09920580981542963,0.21842022800631355,0.043891210357846364,0.24190642991604777,0.11833235936373677,0.633179925088898,0.15480599647266316,-0.6061949855934832,ir3040071.trees
0,100001.0,50,489,0.4770767443959517,-0.1853331199766539,-0.09019158652979484,-0.653394346036821,0.07015274351021974,-0.7794036600304765,0.14272361837296899,-0.9258614566431924,ir3040072.trees
0,100001.0,50,352,-0.1295931403498332,-0.6902979375848882,-0.0789556759060919,-0.2581609629632064,1.2929561298404313,-2.117744856628273,0.1965967705763624,-2.039042468361996,ir3040073.trees
0,100001.0,50,343,-0.44217106898908426,-0.29241593020117984,0.019115195962205078,0.33269374029439114,1.4560148743460812,-0.6230545564319224,0.12902123466208915,-0.29841565815696663,ir3040074.trees
0,100001.0,50,318,-0.17021249450080683,-0.2397143834287187,-0.010411043906089927,0.053448370833482896,0.06140114458299412,-0.41256727839167046,0.1683350555412038,-1.256273475885418,ir3040075.trees
0,100001.0,50,480,0.6677706287645192,0.41085174970820587,-0.03275253807391793,-0.5192358899745619,-0.5152518065632317,0.1394006204508205,0.12496334740792867,-0.08607768697420595,ir3040076.trees
0,100001.0,50,474,0.05395732114948495,0.15105796698180848,0.013798440994426555,0.027550892066308712,-0.10481169719027288,0.3492408869424469,0.1509946402803546,-0.6398716298763397,ir3040077.trees
0,100001.0,50,540,0.41726797111883557,0.24061910648981052,-0.022639122022260386,-0.33373575782881276,-0.6597488812625332,0.03764273087959124,0.12890300004894037,-0.2999775961884922,ir3040078.trees
0,100001.0,50,392,0.15975385853133484,-0.46066957729446206,-0.08599219933969265,-0.4535302238601972,0.07075750375207106,-1.1771740438331577,0.19603070586032575,-1.2408936584975945,ir3040079.trees
