#/home/enes/bim/BIM.py trees/ir8020154.trees,trees/ir8020155.trees,trees/ir8020156.trees,trees/ir8020157.trees,trees/ir8020158.trees,trees/ir8020159.trees,trees/ir8020160.trees,trees/ir8020161.trees,trees/ir8020162.trees,trees/ir8020163.trees,trees/ir8020164.trees,trees/ir8020165.trees,trees/ir8020166.trees,trees/ir8020167.trees,trees/ir8020168.trees,trees/ir8020169.trees 250 --stats=all --eta=etas/BC.json --out=outs/541436439.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,bsfs,FerL,FayH,TajD,ZngE,Colless,btree,path
0,10001.0,250,55,0.9625230049951548,3.390803813974121,0.03685189825580274,0.1020230057048725,1.213152903751337,0.5016926986006475,0.04451824894887468,-0.6368006863677108,ir8020154.trees
0,10001.0,250,65,-1.00863923187772,4.007100322705885,0.22596608072898458,0.08593773950551453,0.6794117206626744,0.11730987000073187,0.05638359891177615,-1.5817340857525568,ir8020155.trees
0,10001.0,250,87,-0.4737895337770914,1.1979827245955934,-0.7020424089610305,0.028221120331333265,1.6388538637655274,1.296858929595475,0.038453352580830234,-0.27387327859699695,ir8020156.trees
0,10001.0,250,56,1.2117326406744588,1.0330943400421642,-0.17895489351036523,0.042755581961792084,0.8666119153533032,0.5241016699636767,0.05330118126464803,-1.2808141004680509,ir8020157.trees
0,10001.0,250,56,-1.3254702115536967,1.4271552110176937,-0.5779894140850979,0.0739584047035821,1.9925797449794704,1.3392568821608604,0.04726741065645069,-0.9208860263109278,ir8020158.trees
0,10001.0,250,57,-0.10708012700926088,2.865679902423133,-0.06932107808991177,0.09410802652753758,1.312339124043489,0.6315549223715556,0.045031739862676515,-0.7059673876633317,ir8020159.trees
0,10001.0,250,55,-0.6499569649883468,3.3879564896062138,-0.14876538186183058,0.12912064875762103,1.8948550381457114,0.9498691282292057,0.035132465345251974,-0.1787506908760837,ir8020160.trees
0,10001.0,250,88,-1.3318790001717646,1.9548466784174976,-0.06434050519481956,0.11106007387194797,1.5555561226346344,0.7449079956402377,0.04128521253472671,-0.35526104980777906,ir8020161.trees
0,10001.0,250,77,-0.14625694034076234,1.033803578326102,-0.8033741399466712,-0.005136674349021666,1.3960597830365962,1.2678114574415855,0.04385283067754891,-0.3757037677871724,ir8020162.trees
0,10001.0,250,58,1.9931451176845074,1.3883937472594563,0.18732082583811072,0.07777598682259815,0.6366948240704519,0.1285005416526669,0.05279586086280606,-1.2712081662362928,ir8020163.trees
0,10001.0,250,77,-0.3815655719814433,1.8712889911287516,0.4802821751640344,0.172748898471288,1.3470399864885427,0.20978804994100986,0.04067884440989766,-0.2277732457193263,ir8020164.trees
0,10001.0,250,68,-1.3614877967535137,1.279213073576841,-0.10985129665737026,0.08441188190321842,1.2773855210232696,0.6527985121614632,0.053542616212651196,-1.4530887850656342,ir8020165.trees
0,10001.0,250,65,-1.836623754977502,1.3244150745776944,-0.15646796680463199,0.08102844606756764,1.3165718588938369,0.7067183497769892,0.04395882650837956,-0.5928967566531375,ir8020166.trees
0,10001.0,250,57,0.516878974593971,5.726570997612139,-0.5560350583334507,0.07425793559968549,1.9566658544733526,1.3064901286968813,0.04784190525543033,-1.2630983333080172,ir8020167.trees
0,10001.0,250,77,-0.14625694034076275,3.8734586021219983,-0.3175291503580483,0.08859822469214582,1.7170472170028617,1.0179770870492153,0.050254782571144796,-1.2770877554854614,ir8020168.trees
0,10001.0,250,80,-0.25266127746048583,2.211969529708226,-0.5655757619140412,0.052147096175666915,1.7002324367940223,1.211793499661651,0.049827099963127945,-0.9820134529097241,ir8020169.trees
