#/home/enes/bim/BIM.py trees/ir8120022.trees,trees/ir8120023.trees,trees/ir8120024.trees,trees/ir8120025.trees,trees/ir8120026.trees,trees/ir8120027.trees,trees/ir8120028.trees,trees/ir8120029.trees,trees/ir8120030.trees,trees/ir8120031.trees,trees/ir8120032.trees,trees/ir8120033.trees,trees/ir8120034.trees,trees/ir8120035.trees,trees/ir8120036.trees,trees/ir8120037.trees,trees/ir8120038.trees 250 --stats=all --eta=etas/BC.json --out=outs/177518210.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,TajD,bsfs,FerL,FulD,ZngE,btree,Colless,path
0,10001.0,250,71,0.032010446018350805,3.7745490172602363,5.606407750705808,-1.8445949449786112,-1.178204664169863,3.15816874554065,-0.4223282693164611,0.041909573778986915,ir8120022.trees
0,10001.0,250,61,0.015841017788263703,4.3550296793163294,6.5097635761909265,-2.2663836712627843,-2.635624903655711,3.7429969250483444,-0.039584396034774094,0.03368311957507449,ir8120023.trees
0,10001.0,250,66,0.030104934078100384,3.80089801417359,6.445693144475574,-1.8692099678390446,-1.8551255656661247,3.1846812677441245,-2.2770806164950947,0.060338126700349784,ir8120024.trees
0,10001.0,250,81,-0.0048278684235527275,4.369096073413898,2.9017111830188864,-2.438316718001691,-1.1836338167682945,3.910129803609908,0.1762440907025663,0.031043528954527787,ir8120025.trees
0,10001.0,250,85,0.011406925667280852,4.708937274131842,3.7825528187114776,-2.5131469240930895,-1.9139659655824839,4.125180465599674,-0.3910876051790642,0.037127002634192684,ir8120026.trees
0,10001.0,250,76,0.008681629941858157,4.263666844908238,6.754822980574687,-2.2805947953253445,-2.0149010029329237,3.7314094318911124,-1.1751523823885057,0.04834391328755883,ir8120027.trees
0,10001.0,250,74,0.0003206781000868983,4.392461715872943,5.143239129546347,-2.4084769301104014,-2.230507027577472,3.8897301323989875,-0.9116266615780929,0.048775748153905944,ir8120028.trees
0,10001.0,250,88,0.015984112616772492,3.6904475220596495,6.730315885959649,-1.9209156999347579,-1.1245708080926966,3.195628149866542,-0.46436088713942303,0.04114846482705013,ir8120029.trees
0,10001.0,250,92,0.018795725486330985,4.793768050740786,6.376291371140178,-2.5117718528547726,-2.400496952907352,4.167608386100695,-0.7963654668168253,0.0456017618862547,ir8120030.trees
0,10001.0,250,58,0.005419100859954156,4.222982760979317,6.585774265279695,-2.2625705846781625,-0.7696309122327304,3.6776034060595366,-0.6089024801143037,0.037213369607462105,ir8120031.trees
0,10001.0,250,57,0.03999312512894165,3.788228886083881,6.395910474822912,-1.7876967044983985,-1.666977881017342,3.102653202207602,-1.677459982192363,0.05818435030444358,ir8120032.trees
0,10001.0,250,91,0.018311458719734375,3.94262827899166,6.756470461630079,-2.0448649938776233,-1.3887625998440807,3.410086100160772,-1.1221559596200619,0.04879194196139396,ir8120033.trees
0,10001.0,250,91,0.00861493492210742,4.623202819967987,6.064182618015306,-2.489951030531945,-1.187969369883815,4.073143477382389,-0.45282256490827566,0.03931856458090426,ir8120034.trees
0,10001.0,250,63,0.02000625674221564,4.396173667215733,6.56925884306751,-2.26215369574521,-2.366353436302602,3.760421647431562,-0.8163195938963368,0.04563414950123072,ir8120035.trees
0,10001.0,250,64,-0.0011446460674679607,4.339209096643363,5.203188646496252,-2.378821482078007,-1.537551301806009,3.8307307602487226,-0.8255745327849113,0.046751522217903865,ir8120036.trees
0,10001.0,250,69,0.0057206121700531095,3.6853944299179027,4.4010914217060195,-1.9784266152286307,-1.6466632487056758,3.224837053893489,-0.49501802417603524,0.040646456794921626,ir8120037.trees
0,10001.0,250,64,0.014883232159428867,3.9360450802210636,6.263552535038546,-2.0473037290056326,-1.2575200592284255,3.3856922855538034,-1.048453501876242,0.04997408990801917,ir8120038.trees
