#/home/enes/bim/BIM.py trees/r8070136.trees,trees/r8070137.trees,trees/r8070138.trees,trees/r8070139.trees,trees/r8070140.trees,trees/r8070141.trees,trees/r8070142.trees,trees/r8070143.trees,trees/r8070144.trees,trees/r8070145.trees,trees/r8070146.trees,trees/r8070147.trees,trees/r8070148.trees,trees/r8070149.trees,trees/r8070150.trees,trees/r8070151.trees,trees/r8070152.trees 250 --stats=all --eta=etas/BC.json --out=outs/119609899.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FerL,bsfs,FayH,FulD,TajD,btree,Colless,path
0,10001.0,250,85,1.532924537264268,-0.2528450128860053,1.969722394884503,0.19541892779336034,-2.128226666345208,2.9859645816144775,0.7830739066702671,0.02486165861603094,r8070136.trees
0,10001.0,250,103,0.6763678872858212,0.08054198256303081,3.000437291662924,0.1380422639845264,-0.33594626494172475,1.657079069702425,0.42154378442401125,0.030759401241328945,r8070137.trees
0,10001.0,250,114,0.5977128640961918,0.15558167219459543,2.200045374974993,0.14433037776477867,-1.5674277454360503,1.612747316309421,0.001630664562911961,0.03524852096558275,r8070138.trees
0,10001.0,250,131,0.2584720279202661,0.3200905433316004,2.678818127257203,0.1307859641106806,-0.20846048284486515,1.1496291932383953,0.27285962094446575,0.029874938614171623,r8070139.trees
0,10001.0,250,87,1.473763133137732,-0.7109809807801526,5.307916050821513,0.056398557937896304,-0.264214586927713,2.0199065671261702,-0.4456517871362487,0.03702829752188477,r8070140.trees
0,10001.0,250,82,1.0805090420316357,-0.5211077533148473,2.4914463994656098,0.041646193885685315,-1.2062802341456293,1.4841920613427677,-0.3472301499711972,0.04190867412301535,r8070141.trees
0,10001.0,250,71,1.8765338172214237,-0.9520408671388264,2.915404862479407,0.06008817280571387,-0.6701449632473337,2.505452611563055,-0.008391331670910737,0.036234800954971946,r8070142.trees
0,10001.0,250,118,2.337610833601287,-1.1336714208068261,1.6710173983984211,0.08544230543626201,-2.2450175755104254,3.1642856930878795,0.42460655556916005,0.02888890025296431,r8070143.trees
0,10001.0,250,108,1.650509708145882,-0.7090583181893344,1.6941789679613781,0.08596665853254891,-1.1424944798539287,2.404519115080464,-0.14941135887986481,0.03826758647493198,r8070144.trees
0,10001.0,250,85,1.7764510912408287,-0.707765859859782,1.8575985349132393,0.1100362685798776,-1.271183863294312,2.7075392546088826,0.26053877269856246,0.032816056854144696,r8070145.trees
0,10001.0,250,80,0.9996793156105029,-0.32721139823283596,3.526761237159828,0.08234085556456376,-1.6143465919002442,1.6559876898702177,-0.4138271022753018,0.041497469298774625,r8070146.trees
0,10001.0,250,84,0.570978726236129,0.36186326575317446,2.356044913340922,0.20100810513727013,-1.900087542587736,1.9406100094297196,0.5768471505502576,0.026535248269898802,r8070147.trees
0,10001.0,250,95,1.5712392441902192,-0.6688960675116423,1.4256613859998273,0.0844173515015728,-1.4592746223732802,2.308692315610435,0.6784622891660291,0.02776698190611909,r8070148.trees
0,10001.0,250,115,1.3846913933125007,-0.48507879011417615,1.6034397673528495,0.10192982059070745,-0.4573776804711192,2.2116758054669003,0.18540051127267784,0.029980810338126693,r8070149.trees
0,10001.0,250,90,2.916741099446245,-1.6993387802244775,5.373560639400142,0.029585392691985575,-1.1672836318499673,3.463549391610153,0.016061127195615494,0.036123850239668354,r8070150.trees
0,10001.0,250,97,0.6961252246441115,0.10022147525983519,3.7087295793801456,0.1475255093903169,-1.3035275694393582,1.739598301679814,-0.032975188871775085,0.03324112388834274,r8070151.trees
0,10001.0,250,110,1.5491084576925727,-0.9917937492491212,1.062818771156913,-0.009312607892666797,-0.8425020590776202,1.667064860982978,-0.12517123894740814,0.03768575482101498,r8070152.trees
