#/home/enes/bim/BIM.py trees/ir3060090.trees,trees/ir3060091.trees,trees/ir3060092.trees,trees/ir3060093.trees,trees/ir3060094.trees,trees/ir3060095.trees,trees/ir3060096.trees,trees/ir3060097.trees,trees/ir3060098.trees,trees/ir3060099.trees 50 --stats=all --eta=etas/Fn.json --out=outs/546980499.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,bsfs,TajD,FulD,ZngE,FerL,btree,Colless,path
0,100001.0,50,296,-0.11614137672507385,-1.4025813576904351,-0.3897988956297073,1.4080331246644624,0.4518354169694174,-0.7447634083358438,-1.8466066634032903,0.19836116264687698,ir3060090.trees
0,100001.0,50,324,-0.19702937645450916,-2.181978382040357,-0.9362763875460225,-0.22873979710267414,0.48560105883659044,-1.1045869621777875,-1.7720561912156045,0.24734635233403712,ir3060091.trees
0,100001.0,50,407,-0.22124949443089909,-2.935311218538262,-0.9093694398189329,1.293081580095541,0.6965581004414376,-1.330316123314492,-1.979721847048044,0.21852807056888682,ir3060092.trees
0,100001.0,50,347,-0.1958763372231245,-3.2035059129235504,-0.8368173604366131,2.2966722433474023,0.5809499238790082,-1.1552043317146414,-2.0326960026314818,0.23780837636259322,ir3060093.trees
0,100001.0,50,351,-0.16289445763446794,-1.2750651184694848,-0.43939261511139477,0.08371364362385225,0.7477479059917601,-1.1118270956655971,-2.6657839154293193,0.2750184411113843,ir3060094.trees
0,100001.0,50,326,-0.2957333597730146,-2.9430158686222763,-1.0908359849357259,0.7049283491282812,1.0529152311306158,-1.8430338759667952,-2.046671307053349,0.23473436993845162,ir3060095.trees
0,100001.0,50,441,-0.1550058361461079,-1.4808438685073724,-0.5027562329046709,0.40256242982454987,0.6279165574602594,-1.012573054159946,-2.0292015763813738,0.22659863945578224,ir3060096.trees
0,100001.0,50,423,-0.3289188777432332,-3.226179315401207,-1.008193577324119,0.8398101074678606,1.3917217388768117,-2.1816636264632567,-1.8892764191648657,0.2588950053705692,ir3060097.trees
0,100001.0,50,430,-0.2464933751765854,-2.738465211047622,-1.022950267330373,0.5314743434147898,0.7670626941540818,-1.4778306528670244,-1.5788421200886522,0.2162669191387896,ir3060098.trees
0,100001.0,50,323,-0.11442992842609853,-2.9558931176686567,-0.9677637675136153,2.252422556200285,-0.15460468484703643,-0.3922815814284627,-1.7441723381106207,0.20882628413684312,ir3060099.trees
