#/home/enes/bim/BIM.py trees/r3100060.trees,trees/r3100061.trees,trees/r3100062.trees,trees/r3100063.trees,trees/r3100064.trees,trees/r3100065.trees,trees/r3100066.trees,trees/r3100067.trees,trees/r3100068.trees,trees/r3100069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/326089920.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,FayH,bsfs,FerL,ZngE,TajD,Colless,btree,path
0,100001.0,50,397,-0.232638122326519,-0.02125886600330438,0.22442125397780877,-0.3044666193473669,0.3766411327821572,0.21267789210254306,0.112430426716141,0.10212009990532887,r3100060.trees
0,100001.0,50,401,0.6968951194500547,-0.008085110282590886,-0.5152105559390828,0.05166813036484992,-0.1503287263695548,-0.20347727061014273,0.1142481767481767,0.07002069460355058,r3100061.trees
0,100001.0,50,416,1.0872552232573542,0.019085325547240982,-0.35439274396272197,0.39109644262907123,-0.5445127970680096,-0.39052972384345264,0.12222427831236113,-0.06575746218023246,r3100062.trees
0,100001.0,50,494,-0.05393221307485517,0.00018454304932482925,-0.3034930906362233,0.1247300562220292,-0.2173801061659282,-0.20878160437755025,0.12341787676609116,-0.06545995615252448,r3100063.trees
0,100001.0,50,443,0.08488783151672157,0.009520688040456774,0.4011975039491922,-0.08748587184497071,0.22388553912800369,0.2848178539034072,0.10433377331031922,0.6364635653747984,r3100064.trees
0,100001.0,50,451,-0.4349927680822313,0.016165060977644443,0.5697631232088333,-0.037363910042024995,0.1852322787337982,0.2949968340596012,0.10845979417407982,0.635341516841675,r3100065.trees
0,100001.0,50,446,-0.13715614356831232,0.03335166352267892,0.521886394529659,0.2680506798764918,-0.22305638266302444,0.023117506032756453,0.14225115333489724,0.12643003041552353,r3100066.trees
0,100001.0,50,405,0.10910723460520273,0.04640492549322819,0.6564342151692062,0.3362136134103995,-0.2463846624052119,0.09358669363892783,0.11201631190110452,0.6178038183233088,r3100067.trees
0,100001.0,50,359,-0.81571347619698,-0.023850838796075115,-0.4398524783061113,-0.007917155305287856,-0.1620113442747066,-0.32769924329180267,0.12703595724003888,-0.10448412878180412,r3100068.trees
0,100001.0,50,486,1.005950028082057,0.011588510629348854,-0.1742807852193773,0.1550863762057032,-0.1860530048692185,-0.0967905713321826,0.11616986696156298,0.20403829674584284,r3100069.trees
