#/home/enes/bim/BIM.py trees/ir3070050.trees,trees/ir3070051.trees,trees/ir3070052.trees,trees/ir3070053.trees,trees/ir3070054.trees,trees/ir3070055.trees,trees/ir3070056.trees,trees/ir3070057.trees,trees/ir3070058.trees,trees/ir3070059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/297567151.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,TajD,FayH,ZngE,FulD,bsfs,Colless,btree,path
0,100001.0,50,431,-0.30915866690015914,-0.302864571664394,-0.0577683195933718,0.11455570452151742,0.5226093392026878,-0.8019931818122635,0.1618240516545601,-1.1226078473909138,ir3070050.trees
0,100001.0,50,428,-0.03575058344591269,0.13389877112342088,0.005112783583652213,0.10051131112555918,0.03018275574244413,0.15871780383044146,0.12900554958825639,-0.03488640075413808,ir3070051.trees
0,100001.0,50,513,-0.5476365824574256,-0.557584479754929,-0.10360009441335476,0.19170585767327933,0.7798161225760564,-1.6123758884427837,0.17967225649949903,-1.2883711000815365,ir3070052.trees
0,100001.0,50,377,0.12294088647144699,0.031250856960572525,0.01677987553729332,-0.09162254803327832,-0.148896633776647,0.17783414857982463,0.1318704472939618,0.21788102888020802,ir3070053.trees
0,100001.0,50,478,-0.10501282175141313,0.24112873832576054,0.004400836147486163,0.2167802526085814,-0.8447079918580943,0.35347102894497345,0.1282272751620333,-0.08302804896311235,ir3070054.trees
0,100001.0,50,387,0.14562127246820508,-0.5813279913922574,-0.02333610674967078,-0.4276066687137469,1.6825172017998071,-1.461701478427082,0.14386835815407245,-0.5396363091083304,ir3070055.trees
0,100001.0,50,377,0.18498761372831507,0.14467230683052823,0.03207258645142022,-0.08748930566873642,-0.7377972105950801,0.3325732326497739,0.14872776033490315,-0.6521892960573686,ir3070056.trees
0,100001.0,50,447,0.10000996060622355,0.08686327285543582,0.017903841324219412,-0.0427877540828076,-0.3431000669209767,0.3040497241092007,0.12436224489795916,-0.19282896631680926,ir3070057.trees
0,100001.0,50,396,0.030645862078521383,-0.031529599335765525,0.0014327808621709614,-0.043134950594236623,0.07419577443983963,-0.2565345379968317,0.135258358662614,-0.13761224487795773,ir3070058.trees
0,100001.0,50,384,0.24851034956597148,0.08843332400987487,0.035673762054691555,-0.17217126069206773,1.4899841691560605,0.13346645277861302,0.11582966519941308,0.3752117189276963,ir3070059.trees
