#/home/enes/bim/BIM.py trees/r3120060.trees,trees/r3120061.trees,trees/r3120062.trees,trees/r3120063.trees,trees/r3120064.trees,trees/r3120065.trees,trees/r3120066.trees,trees/r3120067.trees,trees/r3120068.trees,trees/r3120069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/249603712.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,bsfs,FulD,FayH,FerL,TajD,Colless,btree,path
0,100001.0,50,462,-0.1905760549096322,-1.3425102763585781,0.010110574847175896,-0.07597535214755158,-0.21231670948698234,-0.7287006855876029,0.1493950039032006,-0.7448658600374916,r3120060.trees
0,100001.0,50,506,0.14124742518459912,-0.1538587200754545,0.13290254047580283,-0.00468422159945018,-0.10035089694190841,0.10290740297593814,0.11617133192074637,0.5346074124167068,r3120061.trees
0,100001.0,50,416,0.720002205247691,-0.7641801735896807,-0.016404377241252384,-0.10903232982773019,-0.8706234058010912,-0.08359755686871172,0.14790053952615528,-0.3561145304795117,r3120062.trees
0,100001.0,50,429,0.1476858444822196,-1.374975548466703,0.3677330355465797,-0.10047419543086018,-0.5082729733455219,-0.5766270777331975,0.13846604215456676,-0.8318004936968506,r3120063.trees
0,100001.0,50,433,-0.10729784469780752,0.1957368518977593,0.026028185546473973,0.014451337769946422,0.12219573205830533,-0.0003362903155478733,0.1110700859291085,0.33106101554553163,r3120064.trees
0,100001.0,50,350,-0.03626328071955556,-0.6349040222341228,0.43147886680440023,-0.04987576783722131,-0.18907618291086592,-0.3918072476096514,0.1343475346342917,-0.160613783434285,r3120065.trees
0,100001.0,50,459,0.3842910492997579,0.3870282642581802,-0.16200751963069995,-0.003648901615812686,-0.23456810985111662,0.34554181999232925,0.1298108917480035,0.22448244105908086,r3120066.trees
0,100001.0,50,412,-0.17729322684115653,-0.4411210890757256,-0.1283872647088139,-0.025156187853044767,-0.004972063854227212,-0.35177715280244976,0.12145442972510627,-0.23828816317572124,r3120067.trees
0,100001.0,50,352,0.0658144616799613,0.5543115871239106,0.326305897170667,0.02599549416985939,0.07178915851155429,0.24972867199519616,0.11802285016570728,0.05579245624506378,r3120068.trees
0,100001.0,50,358,-0.0025313706809138563,-0.6595458481706338,0.7617075859972092,-0.021502208514365278,-0.08902808008914173,-0.15623223859581553,0.1418845315904139,-0.7317853105020325,r3120069.trees
