#/home/enes/bim/BIM.py trees/ir8070073.trees,trees/ir8070074.trees,trees/ir8070075.trees,trees/ir8070076.trees,trees/ir8070077.trees,trees/ir8070078.trees,trees/ir8070079.trees,trees/ir8070080.trees,trees/ir8070081.trees,trees/ir8070082.trees,trees/ir8070083.trees,trees/ir8070084.trees,trees/ir8070085.trees,trees/ir8070086.trees,trees/ir8070087.trees,trees/ir8070088.trees,trees/ir8070089.trees 250 --stats=all --eta=etas/BC.json --out=outs/659839302.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FulD,ZngE,FayH,TajD,FerL,Colless,btree,path
0,10001.0,250,82,4.585078412123559,-1.6496730998959908,1.6772928531359472,0.058552817760609964,2.2646062417251636,-0.8305732179173271,0.04764937887751724,-0.9707674426659284,ir8070073.trees
0,10001.0,250,108,1.7260238311178013,-0.6311555683139962,1.11750619154969,0.10226346501786565,1.9163006628125163,-0.3203293433205027,0.045349601169655585,-0.5770227801274653,ir8070074.trees
0,10001.0,250,113,1.5287417829922503,-1.2276295329304125,1.390381263096472,0.08085596429793332,2.0800312089364583,-0.5657009940564217,0.04782198873357725,-0.6894061314947751,ir8070075.trees
0,10001.0,250,85,1.7735517343096732,-1.6997052648197597,1.2618289394413034,0.13954266562514744,2.3200733010946437,-0.2840666327173304,0.04791491944006928,-0.6971674613867282,ir8070076.trees
0,10001.0,250,91,2.6986581903973055,-0.5855896800030197,1.4748503061224139,0.08759676962801938,2.222231884692108,-0.599019005027211,0.05632206244332167,-1.669396466781164,ir8070077.trees
0,10001.0,250,98,2.056732961491277,0.17514217469691354,1.5417211174287413,0.10010397876583844,2.377143355050221,-0.5933197251687145,0.041990542816427,-0.3287247807608722,ir8070078.trees
0,10001.0,250,115,1.0165683654983753,-1.4201522768709451,1.2320100044286226,0.09778404488158014,2.0143469677062593,-0.405767664970912,0.0394481150408084,-0.23703013442584528,ir8070079.trees
0,10001.0,250,83,4.791620012349096,0.963201717993452,1.2894392801414691,0.07246441600629155,1.9178427615836757,-0.5407079878435637,0.03937362352636352,-0.3425915536790175,ir8070080.trees
0,10001.0,250,90,3.683640744946705,-1.5731213269738966,1.709253411490617,0.08800226925158226,2.4880003257858285,-0.7429556726408699,0.04008372198471305,-0.2123608560315347,ir8070081.trees
0,10001.0,250,98,2.2501483109513725,-1.5085494519492733,2.1863109284815754,0.05048014695590097,2.775170760314885,-1.170845661932921,0.04554346417929783,-0.697107635058459,ir8070082.trees
0,10001.0,250,83,3.667324002791031,-0.7900869655883194,0.9129417388616561,0.15189044086986603,2.007344980286519,-0.025218981463671974,0.0407193289286177,-0.3717469994444899,ir8070083.trees
0,10001.0,250,86,1.238388517529626,-0.4442949488248586,1.6030316789784302,0.06757395063055983,2.2377627797969577,-0.7513896182994088,0.05132191296202179,-1.0264722122824554,ir8070084.trees
0,10001.0,250,93,2.006114954060005,-0.6380493375782191,1.2110520896063741,0.12568958722192203,2.173682682683248,-0.29850371876055287,0.041701753249557376,-0.43804127665417275,ir8070085.trees
0,10001.0,250,114,3.371347086456462,-0.5965291616865812,0.7551480530048225,0.14356145707081994,1.7831679619603318,0.05543704534846663,0.03443800013951588,0.2677946766094218,ir8070086.trees
0,10001.0,250,80,1.8510164247811116,-0.9335039346803651,0.3001882659151123,0.14950901320969381,1.3013005657170307,0.3440045535815372,0.037301699466487655,-0.03811320950584334,ir8070087.trees
0,10001.0,250,98,2.1850552819078013,-1.8827031467595374,1.4034028871403206,0.1466808788818414,2.5257590057791943,-0.33999368818020953,0.03931856458090426,-0.289960520936714,ir8070088.trees
0,10001.0,250,76,3.4579327831736784,0.6056784862996341,0.2299638593796621,0.12323958572968807,1.0509799058675693,0.2923819414775053,0.0436759444726798,-0.841773759924281,ir8070089.trees
