#/home/enes/bim/BIM.py trees/ir8040218.trees,trees/ir8040219.trees,trees/ir8040220.trees,trees/ir8040221.trees,trees/ir8040222.trees,trees/ir8040223.trees,trees/ir8040224.trees,trees/ir8040225.trees,trees/ir8040226.trees,trees/ir8040227.trees,trees/ir8040228.trees,trees/ir8040229.trees,trees/ir8040230.trees,trees/ir8040231.trees,trees/ir8040232.trees,trees/ir8040233.trees 250 --stats=all --eta=etas/BC.json --out=outs/124417135.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,TajD,FulD,FayH,bsfs,ZngE,btree,Colless,path
0,10001.0,250,105,-0.09984422931507513,1.6445906923948017,-1.0876834320731132,0.11203800756991464,0.7494104824288926,0.816971460796505,0.040336149219192804,0.03496669189491413,ir8040218.trees
0,10001.0,250,79,-0.5704906051002929,2.422444880405766,-1.596049289109227,0.1075477016187503,2.010705169559131,1.5360522460852861,-0.9061723481881142,0.04813752162349588,ir8040219.trees
0,10001.0,250,109,0.25753336093718887,0.9967785827632257,-0.3153983515256255,0.11163006462306244,0.7432209084529299,0.2384624760877837,-1.4947069699064037,0.04946668394006133,ir8040220.trees
0,10001.0,250,90,-0.644120832719483,2.1537139351435886,-0.9643647842880033,0.07604024923817414,1.5765222477690441,1.4803974417517345,-0.4232313709826833,0.04185386708122814,ir8040221.trees
0,10001.0,250,81,-0.22993554967700325,1.6196064404360635,0.16211347835213752,0.09318456594737771,2.2437561923758422,0.9052762016249531,0.10150444946935344,0.034692249473275115,ir8040222.trees
0,10001.0,250,96,-0.25192668722527045,1.787390066635502,-1.0944250393384776,0.10231479540245347,2.0941655229469616,1.0018120987940706,-0.4174625272006023,0.04292303623094529,ir8040223.trees
0,10001.0,250,93,-0.025353409666290176,1.6573094222169618,-1.0313953417880373,0.12401668282023118,1.8121889228652917,0.7599535307667155,0.08644999877865289,0.03364101567560565,ir8040224.trees
0,10001.0,250,84,-0.036418579134031806,1.9467293504864072,-0.5999886320797153,0.1455251964188203,2.4621782005096113,0.8953601609266845,-1.8036034695210967,0.0617146003368312,ir8040225.trees
0,10001.0,250,78,-0.14450928321061188,1.720735592150821,-0.41503940492046965,0.11329498734713477,1.3486690323246544,0.8802699716562904,-0.3299997742625575,0.039114273471055436,ir8040226.trees
0,10001.0,250,96,-0.6447935653186089,1.1531413692683299,-1.6668267647372605,-0.0010438170387079692,1.1292548990133568,1.036032948498453,-1.1019571629007465,0.05728665010673832,ir8040227.trees
0,10001.0,250,84,-0.4919823648976132,2.0594393979355368,-1.2500380873337256,0.09024268813965969,1.5532700942472693,1.3134173798596205,-1.2604523928406965,0.05070281124497992,ir8040228.trees
0,10001.0,250,72,0.16653762079206505,1.0433328509360258,-0.45176363626064314,0.1052046164472892,2.5803340832899817,0.32733984976687636,-0.43665178485310946,0.04262426048279138,ir8040229.trees
0,10001.0,250,90,-0.2933803573049217,1.8701295485973928,-0.7614459367260384,0.10318297733918644,3.9309226537875643,1.070636276885926,-0.09229214846073788,0.03849415256333251,ir8040230.trees
0,10001.0,250,86,0.024747426374678038,1.6496598252510462,-0.23240306161681215,0.13095793752068222,1.9657472805731229,0.7143511909087156,-0.7022719119505755,0.047033635390458274,ir8040231.trees
0,10001.0,250,83,-0.7694390060323141,1.9266655355616995,-1.447570221931483,0.04098014737730142,1.3365066197622915,1.4780794203669056,-0.3456519462406493,0.040553342401865526,ir8040232.trees
0,10001.0,250,64,0.3465612934466638,0.45845741336072376,-0.4174263314956762,0.08602978513019202,1.5186223080429768,-0.0774801656356052,-0.7308558841049605,0.047751801249663675,ir8040233.trees
