#/home/enes/bim/BIM.py trees/r8030187.trees,trees/r8030188.trees,trees/r8030189.trees,trees/r8030190.trees,trees/r8030191.trees,trees/r8030192.trees,trees/r8030193.trees,trees/r8030194.trees,trees/r8030195.trees,trees/r8030196.trees,trees/r8030197.trees,trees/r8030198.trees,trees/r8030199.trees,trees/r8030200.trees,trees/r8030201.trees,trees/r8030202.trees,trees/r8030203.trees 250 --stats=all --eta=etas/BC.json --out=outs/688245733.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,bsfs,FulD,FerL,TajD,FayH,btree,Colless,path
0,10001.0,250,46,2.117511065856412,6.009659910230259,-1.3459897975374755,-1.182155414884175,2.682910729701704,0.039919380666714493,0.5128553803912776,0.029433144765441694,r8030187.trees
0,10001.0,250,37,2.2793778889393086,5.534308885279812,-0.493300465438926,-1.3568084536703975,2.7651380903668645,0.01893784623479221,0.296923324879402,0.03009457183573002,r8030188.trees
0,10001.0,250,34,1.7372007839011256,4.928758370085138,-0.2863857792890653,-0.9391358781706012,2.2962772831389175,0.044637173433689135,-0.1685638048874417,0.0344496264628406,r8030189.trees
0,10001.0,250,32,2.522315906198794,5.634237177051121,-1.7113926896551759,-1.4908389448897104,3.1068404557929226,0.02536198219322322,-0.14847942984556073,0.03803520533747895,r8030190.trees
0,10001.0,250,62,3.675854193080289,6.594759781957845,-0.6239052371832599,-2.2424953387180184,4.2431204002559495,0.010622080240504797,-0.7032166778196902,0.04309908254719758,r8030191.trees
0,10001.0,250,42,1.9005873780454037,4.504033719947812,-1.191568346080499,-1.0377410386164394,2.4630526462676463,0.04358298971095831,-0.6848241347968318,0.042156217923804404,r8030192.trees
0,10001.0,250,45,2.597671387492123,6.012558805273227,-1.3097288870990782,-1.5394892458534206,3.1295544781488474,0.022350372211535623,-0.5742224544529463,0.03753475440222428,r8030193.trees
0,10001.0,250,45,2.3000708417313502,3.536759550902008,-1.697655022662375,-1.42826069104642,2.650258495201952,0.00020616187064359626,-0.42748635538804713,0.04043998574944941,r8030194.trees
0,10001.0,250,62,1.2395351409150854,1.3367240441699828,0.5299740207269268,-0.3262276933929875,2.2185674144272354,0.1279037709378546,-0.10140415445747301,0.03361834434512242,r8030195.trees
0,10001.0,250,37,1.7514624230311022,4.757669753994023,-0.0300650904916571,-0.9515148739467841,2.294922558283844,0.042729655139704135,0.8446767649248293,0.026257522759660337,r8030196.trees
0,10001.0,250,45,3.4810039165002333,6.182022740406446,-1.309728887099078,-2.0980590936484176,4.128740031947205,0.01940751256783911,-0.16084034486503354,0.036306516388133175,r8030197.trees
0,10001.0,250,65,1.6695166127614223,1.9845867913001287,-1.2846340729109804,-0.6304884126410583,2.6330206972758097,0.11636420133569898,-0.5899202681843307,0.0485582884533526,r8030198.trees
0,10001.0,250,47,1.7176931994335543,3.3418211253415198,1.6014837718433668,-1.0110325390337036,2.0775417605614335,0.016677554987746698,0.2615666542421578,0.03177225029148854,r8030199.trees
0,10001.0,250,41,2.124735711785825,4.834345285223125,0.5402167657455895,-1.2200160394712183,2.6457041089355045,0.03071690968459167,-0.11284126378983433,0.033477998013559614,r8030200.trees
0,10001.0,250,54,1.3607429433867104,2.5699629263172823,-2.2474599631771697,-0.3470755614669675,2.4700158726139123,0.14605971577726845,-0.2695394176151265,0.03929832232154424,r8030201.trees
0,10001.0,250,44,1.3463811777476018,0.630680008844698,-0.08407018666124817,-0.9200344546003514,1.397423626077621,-0.025167265430336216,-0.8083437313912947,0.048178601502785336,r8030202.trees
0,10001.0,250,46,1.2163594599320642,3.534570499651529,0.9352528642313028,-0.5599147744534727,1.7618261758845626,0.05864357466865166,-0.2905967119825653,0.03628060629615235,r8030203.trees
