#/home/enes/bim/BIM.py trees/ir8090022.trees,trees/ir8090023.trees,trees/ir8090024.trees,trees/ir8090025.trees,trees/ir8090026.trees,trees/ir8090027.trees,trees/ir8090028.trees,trees/ir8090029.trees,trees/ir8090030.trees,trees/ir8090031.trees,trees/ir8090032.trees,trees/ir8090033.trees,trees/ir8090034.trees,trees/ir8090035.trees,trees/ir8090036.trees,trees/ir8090037.trees,trees/ir8090038.trees 250 --stats=all --eta=etas/BC.json --out=outs/903592174.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FerL,FulD,TajD,bsfs,FayH,btree,Colless,path
0,10001.0,250,46,3.297369354025401,-2.0986358714423137,-1.7261969078322716,3.700326633616347,3.842420507717363,-0.015106660743539255,0.6054927956853304,0.02830677548905299,ir8090022.trees
0,10001.0,250,57,4.031513543160207,-2.4656910574165014,-1.9789574318189578,4.65995738580005,6.626080459059657,0.010291224555472944,-0.31268619707570594,0.040193030185257154,ir8090023.trees
0,10001.0,250,69,2.45793485590533,-1.4787222853693995,-0.86380828017442,2.862304698398893,6.312741685136733,0.012715098032702984,-0.2997621838003684,0.04058168156496956,ir8090024.trees
0,10001.0,250,62,4.15210408732941,-2.4919545788955055,-2.066254309570993,4.868133697570723,6.529327403223697,0.023877008791792827,-0.9074365318649819,0.04556937427127866,ir8090025.trees
0,10001.0,250,53,3.092497969512472,-1.8352349036866051,-2.231964714753716,3.6903812931176163,4.239117897400077,0.024733667139037498,-0.9688009683411402,0.04828993392926545,ir8090026.trees
0,10001.0,250,54,2.835672809397755,-1.764644357651357,0.04871861545163324,3.2302446357551116,3.844553281650808,-0.0014593866066704084,-0.8993687267382794,0.04122943386449022,ir8090027.trees
0,10001.0,250,55,2.861710353353562,-1.7642051246873427,-0.972452958985047,3.2876543634796374,4.170802901820881,0.003350482117010545,-0.7798369280290174,0.047010623137712135,ir8090028.trees
0,10001.0,250,64,3.744498360920308,-2.2742473163710923,-2.657676272116342,4.334917533504102,4.478528678360195,0.013585588845319152,-0.3189603466867625,0.0447272962819018,ir8090029.trees
0,10001.0,250,69,3.5119622729470272,-2.0550357623016775,-2.1685665610598464,4.195275102112781,5.556679482547841,0.034699268768857594,-0.8968635366631917,0.04977976421816298,ir8090030.trees
0,10001.0,250,71,3.252034965642903,-1.9322558670713654,-1.9402942155536556,3.8268322372459354,6.496997447841565,0.023596315385926082,-0.573661431197191,0.04479207151185387,ir8090031.trees
0,10001.0,250,66,3.8036463551372908,-2.2605689531859703,-2.1271989669326685,4.4883149547551495,4.873150043130574,0.02789375963167059,-0.1916373361890481,0.03462236040937945,ir8090032.trees
0,10001.0,250,80,3.8915566645826494,-2.334041051053496,-1.8412941443068707,4.518859060039489,6.871730666363489,0.02138300267643337,-0.8999102515260311,0.04411193159735717,ir8090033.trees
0,10001.0,250,70,4.438537531195306,-2.718220582662489,-2.18161763661685,5.0782245066616625,6.8514053631895475,0.009177169945097798,-0.13437080571018495,0.03763440860215054,ir8090034.trees
0,10001.0,250,52,4.271275337089922,-2.6513804875132476,-2.5555993414295197,4.88681629453657,6.275090448065845,-6.986346334919275e-05,-0.2708696226099166,0.0384764865915274,ir8090035.trees
0,10001.0,250,62,3.1241385768302368,-1.871698330915419,-1.7777844950934465,3.6689519351411395,6.389553082562245,0.018921403193496295,-0.052403844203969076,0.03562637647363648,ir8090036.trees
0,10001.0,250,61,4.16000351395366,-2.5112373522540343,-2.342741672585472,4.854234443702106,6.314279181294917,0.019819857998644334,-0.5524131066878725,0.040193030185257154,ir8090037.trees
0,10001.0,250,65,3.6938366154423994,-2.246590372785113,-1.836623754977502,4.267734815476765,5.827848119312598,0.012429438386074632,0.09758544884281078,0.034816686099235654,ir8090038.trees
