#/home/enes/bim/BIM.py trees/r8010187.trees,trees/r8010188.trees,trees/r8010189.trees,trees/r8010190.trees,trees/r8010191.trees,trees/r8010192.trees,trees/r8010193.trees,trees/r8010194.trees,trees/r8010195.trees,trees/r8010196.trees,trees/r8010197.trees,trees/r8010198.trees,trees/r8010199.trees,trees/r8010200.trees,trees/r8010201.trees,trees/r8010202.trees,trees/r8010203.trees 250 --stats=all --eta=etas/BC.json --out=outs/976735123.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,ZngE,TajD,FerL,FulD,bsfs,Colless,btree,path
0,10001.0,250,67,0.12693710621698054,-0.19366694608035098,0.5893929712851137,0.5625734664924912,-1.3365864839977537,1.9185966197229543,0.027184474222274796,0.6469357850720759,r8010187.trees
0,10001.0,250,79,0.13907947202856122,-0.14200613563208933,0.7355515789977591,0.5803349458350051,-1.596049289109227,3.3233647022568573,0.03397264522410266,0.12193264357203751,r8010188.trees
0,10001.0,250,70,0.13965089779641696,-0.021997120863178253,0.8675135821707864,0.5025933483247077,-0.12206448590580056,1.0267303250291304,0.032595946121014144,0.3488446856992597,r8010189.trees
0,10001.0,250,66,0.09804979259597356,-0.20227255158951407,0.39481875236755737,0.4666906693897894,0.049388243199684975,3.210219944639541,0.031122098909377054,0.29928690611388686,r8010190.trees
0,10001.0,250,62,0.05856039720584542,0.786740808909497,1.2648051118326857,-0.28529276403326054,-0.9123750516608061,3.4871454144648446,0.037371421168545145,0.035314994579474575,r8010191.trees
0,10001.0,250,72,0.06838249741568798,1.2951657516384405,1.9010382984332785,-0.5623651024430572,-2.4574044501558374,1.3453557320605107,0.035854889090411825,0.0916251825306937,r8010192.trees
0,10001.0,250,75,0.11345064837532472,0.5434542235312882,1.3413002128755278,0.06316748420102618,-0.5533239085139716,2.023879219392658,0.029946258895425983,0.4016458360015322,r8010193.trees
0,10001.0,250,86,0.10903586203894627,-0.11523545396454708,0.5760129934536554,0.4601260044723838,0.19138071279928065,1.418056472949144,0.029487535395036363,0.5872811479960507,r8010194.trees
0,10001.0,250,86,0.09904392439977164,0.0453785813899111,0.6917723396411452,0.325071262637989,-0.2324030616168125,2.8523566764077577,0.033769486548343906,0.12421445650939136,r8010195.trees
0,10001.0,250,76,0.10240415048904411,0.5099437573512586,1.232872424252739,0.0454503013223266,-1.5384320048906401,1.6054437102448875,0.028133141886542597,0.509628897461232,r8010196.trees
0,10001.0,250,70,0.0982332554969476,-0.16096028280474192,0.4456939372713401,0.44368577527799624,0.39282380177196224,0.9403484959016446,0.030207928488146133,0.51594709275315,r8010197.trees
0,10001.0,250,69,0.11914790168508708,-0.8171450620730905,-0.16394641829366957,0.9229772304346514,0.17999834453392108,1.0794771640774385,0.03592542211858186,0.01483958565961182,r8010198.trees
0,10001.0,250,54,0.12620667769942998,0.7737692906895869,1.675029578997359,-0.05042890309858727,-0.9353579182464249,3.390240023561927,0.028001546753975825,0.7571058300999222,r8010199.trees
0,10001.0,250,73,0.09480505943835245,-0.3929670018159034,0.16371121329719182,0.5767169607363989,0.9983071000547965,1.318580914934682,0.033435795969802964,0.042015779679076805,r8010200.trees
0,10001.0,250,80,0.14752415997649823,-0.2228108291117652,0.6997236704959449,0.6608343973249835,0.42818137975939313,0.9842285859350934,0.02989862676512501,0.4447639789695653,r8010201.trees
0,10001.0,250,75,0.08741612032938637,0.2609344474197633,0.855460403631583,0.14642442842868023,0.17037860705041097,1.6215007679585058,0.036065797628176174,-0.1856700306087543,r8010202.trees
0,10001.0,250,74,0.1794793711470975,0.026668168160566354,1.1811112826993615,0.6151938289885225,0.21259780695992314,1.3114452481763852,0.023321396183813594,1.0739559146559583,r8010203.trees
