#/home/enes/bim/BIM.py trees/r8110119.trees,trees/r8110120.trees,trees/r8110121.trees,trees/r8110122.trees,trees/r8110123.trees,trees/r8110124.trees,trees/r8110125.trees,trees/r8110126.trees,trees/r8110127.trees,trees/r8110128.trees,trees/r8110129.trees,trees/r8110130.trees,trees/r8110131.trees,trees/r8110132.trees,trees/r8110133.trees,trees/r8110134.trees,trees/r8110135.trees 250 --stats=all --eta=etas/BC.json --out=outs/583487555.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FulD,FerL,ZngE,bsfs,FayH,Colless,btree,path
0,10001.0,250,84,3.322564678919017,-2.116770694339073,-0.8842825625683295,2.192111719653846,3.7365784069955312,0.13286980093554182,0.02654450820359236,0.6934390328161358,r8110119.trees
0,10001.0,250,120,2.5604731954033824,-0.7192611983176507,-0.4798763414002739,1.538236799023362,1.7295730843265065,0.12905764899267547,0.0314622545481465,0.3330552859091576,r8110120.trees
0,10001.0,250,104,2.497316653468152,-1.7756609425867325,-0.32064100695192826,1.3769193019136374,2.7596022133695817,0.14683239231474354,0.03470980696981474,0.17564230284772292,r8110121.trees
0,10001.0,250,61,3.647800189170884,-1.4640919793747553,-1.738463960985794,3.0062507927888324,5.904495685086851,0.03642214865227236,0.03599478559398886,-0.13839556040479226,r8110122.trees
0,10001.0,250,94,2.997592980693171,-2.4155617859876344,-0.8683304879562326,2.039522332113259,4.737992670786807,0.10965642422336012,0.0321242895847063,-0.003378286885292452,r8110123.trees
0,10001.0,250,112,2.6722476567052422,-0.7174041942644074,-0.33829375813063506,1.4718497196212317,2.595280889331808,0.1573392223631867,0.02963196873515568,0.23608685259686044,r8110124.trees
0,10001.0,250,114,3.5104524308563962,-1.8910606066858733,-0.8459540111120899,2.258945653728375,2.0207494953523684,0.15138066709680817,0.034218467799090095,-0.11053032882018338,r8110125.trees
0,10001.0,250,95,3.4267948416260317,-1.8447119226378235,-1.6649993339628244,2.8753297344963498,3.786739999325534,0.03177336967422456,0.03354493241784342,0.1379408282872604,r8110126.trees
0,10001.0,250,98,3.665993142026114,-1.6956262993544051,-1.656185062082008,2.976604894741144,5.479377426844308,0.051482257137491744,0.03157281076768875,0.30223231425593894,r8110127.trees
0,10001.0,250,88,3.218890487810464,-1.7464953843299003,-1.0322373907521698,2.2677071713746817,6.318691873862003,0.10397178927269227,0.029027399922269725,0.3284035320184936,r8110128.trees
0,10001.0,250,95,3.5569209509008854,-0.6884000218441941,-1.7213915098463477,2.9789935254586806,5.4261063184215885,0.03393069141215801,0.03403218609203841,-0.41054983761935737,r8110129.trees
0,10001.0,250,100,3.90510116436737,-2.273812059355387,-1.6705255765297433,3.096123760231168,5.63435812699303,0.06788990516593307,0.03189775229952067,0.004766715382115308,r8110130.trees
0,10001.0,250,79,3.2136453661368707,-1.1367139639820532,-1.664050576105113,2.7702318367383287,4.410493481877338,0.01454765914015192,0.04475765967094183,-0.7951836161569318,r8110131.trees
0,10001.0,250,82,3.523777875463553,-1.8713695327711721,-1.5243907592206467,2.797251862038599,5.144037847340146,0.05844905550909243,0.03424180593341107,0.00232102120876165,r8110132.trees
0,10001.0,250,126,2.976233237142209,-2.1531604877407147,-0.5934913487783304,1.8184768591665512,3.3383420402021717,0.1449240536958265,0.02424001757380152,1.023774958893695,r8110133.trees
0,10001.0,250,79,3.287662918688689,-0.44771097629129186,-1.6203081772649204,2.767774943060851,6.52288101132144,0.026473209873759986,0.03206203421495831,0.2563997279471432,r8110134.trees
0,10001.0,250,106,2.667539319601939,-1.106284314495033,-0.6923714859680568,1.7542354742234982,3.60191929405661,0.10841788962040509,0.03497214665112061,-0.20118764151360882,r8110135.trees
