#/home/enes/bim/BIM.py trees/ir8060073.trees,trees/ir8060074.trees,trees/ir8060075.trees,trees/ir8060076.trees,trees/ir8060077.trees,trees/ir8060078.trees,trees/ir8060079.trees,trees/ir8060080.trees,trees/ir8060081.trees,trees/ir8060082.trees,trees/ir8060083.trees,trees/ir8060084.trees,trees/ir8060085.trees,trees/ir8060086.trees,trees/ir8060087.trees,trees/ir8060088.trees,trees/ir8060089.trees 250 --stats=all --eta=etas/BC.json --out=outs/371586957.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FayH,FerL,bsfs,FulD,ZngE,btree,Colless,path
0,10001.0,250,33,3.5734919138983265,0.04979504939765511,-1.5857955498342564,5.2781826091939985,-1.749376453326062,2.8005196029836927,-1.802671280863258,0.06022477004793367,ir8060073.trees
0,10001.0,250,55,3.538864495992087,0.0014854354213347683,-1.9134840641999764,4.721488434820102,-1.2949489529817475,3.092038999466467,-1.5625460098346158,0.05833009457183573,ir8060074.trees
0,10001.0,250,52,3.695337891275572,0.018615119809400546,-1.87838517456644,6.1954555285340875,-1.5365724776716252,3.127932697900494,-0.17893829990740115,0.034751910869283587,ir8060075.trees
0,10001.0,250,40,3.213784693037933,0.058894402460596566,-1.339881708450215,4.901182216773447,-1.5357006352431182,2.464777786321403,-2.8319424587820414,0.08121194455240316,ir8060076.trees
0,10001.0,250,70,4.1328896104852895,-9.837304877682187e-05,-2.2652014955586104,4.158026976660613,-1.6667293489390875,3.6550412826168843,-0.9979729392639181,0.045731312346158834,ir8060077.trees
0,10001.0,250,41,4.016827333005516,0.02227375680570088,-2.0122212034269826,6.135640702953564,-1.993172587445417,3.3545090804059075,-0.8007512384967226,0.03846029278403938,ir8060078.trees
0,10001.0,250,48,3.140990032610562,0.02391236808686964,-1.5382263753309569,5.4662164954730414,-1.7800206188830565,2.606205189639456,-0.6810914598921685,0.043140303148076174,ir8060079.trees
0,10001.0,250,55,3.5092000452029275,0.03534015915735479,-1.6663078778807552,3.4168355669108985,-1.9399409409751476,2.8798643353132007,-0.7811579735294654,0.04404715636740511,ir8060080.trees
0,10001.0,250,56,3.5408848590199047,0.06253206456595384,-1.4982883410196566,3.0192408542971267,-1.3254702115536967,2.759636923140062,-0.41619883301233745,0.03820119186423112,ir8060081.trees
0,10001.0,250,47,3.1415248377692935,-0.011207347900603631,-1.772578735492338,4.064153323608588,0.8559027267909183,2.7936223353486866,-2.268846494520461,0.061989895064127484,ir8060082.trees
0,10001.0,250,50,3.2365810128737214,0.017502538694254704,-1.6350669547307137,5.8023529417246715,-0.06896314663617203,2.7287170071083025,-1.5457483467513375,0.05094571835730017,ir8060083.trees
0,10001.0,250,52,3.4807174650087687,0.01832518643650127,-1.7639274277082566,6.109453594642029,-1.1968968564189941,2.941945782662173,-1.9263574695867092,0.06027335147039772,ir8060084.trees
0,10001.0,250,46,2.3548637595180333,0.015248989920918806,-1.169657444481129,5.88493761572764,-0.20536846665308633,1.9648859779605354,-0.9107935979796251,0.050492291747635705,ir8060085.trees
0,10001.0,250,57,4.430751397424771,0.016274272494746944,-2.2999416474124716,6.009850603737214,-1.6669778810173417,3.7973747826597277,-0.48655772486764887,0.04178002331908278,ir8060086.trees
0,10001.0,250,48,2.5476886896855797,-0.0016550055201080267,-1.3889313060263493,4.014350864092156,0.0482737356514248,2.2276551597347236,-2.3380585918458476,0.06603834693613163,ir8060087.trees
0,10001.0,250,46,2.9410851000175446,0.027584185293816683,-1.403854240793616,5.3682300312105315,-1.3459897975374757,2.4081623201972535,-0.2487510679800241,0.036598004922917475,ir8060088.trees
0,10001.0,250,52,3.3456111456157545,0.026394416453336574,-1.6359365056500206,6.103563578621611,-0.8572212351663621,2.7798033437364564,-1.4828755275911785,0.04834391328755883,ir8060089.trees
