#/home/enes/bim/BIM.py trees/r8060085.trees,trees/r8060086.trees,trees/r8060087.trees,trees/r8060088.trees,trees/r8060089.trees,trees/r8060090.trees,trees/r8060091.trees,trees/r8060092.trees,trees/r8060093.trees,trees/r8060094.trees,trees/r8060095.trees,trees/r8060096.trees,trees/r8060097.trees,trees/r8060098.trees,trees/r8060099.trees,trees/r8060100.trees,trees/r8060101.trees 250 --stats=all --eta=etas/BC.json --out=outs/363924062.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FerL,ZngE,bsfs,FayH,FulD,btree,Colless,path
0,10001.0,250,46,2.3548637595180333,-1.169657444481129,1.9648859779605354,5.88493761572764,0.015248989920918806,-0.20536846665308633,-0.0716438907906278,0.030314807617567042,r8060085.trees
0,10001.0,250,57,4.430751397424771,-2.2999416474124716,3.7973747826597277,6.009850603737214,0.016274272494746944,-1.6669778810173417,0.5533694476029029,0.02960875761108952,r8060086.trees
0,10001.0,250,48,2.5476886896855797,-1.3889313060263493,2.2276551597347236,4.014350864092156,-0.0016550055201080267,0.0482737356514248,-0.2673803871031246,0.03901268155057506,r8060087.trees
0,10001.0,250,46,2.9410851000175446,-1.403854240793616,2.4081623201972535,5.3682300312105315,0.027584185293816683,-1.3459897975374757,0.35165365046964575,0.028976119531891,r8060088.trees
0,10001.0,250,52,3.3456111456157545,-1.6359365056500206,2.7798033437364564,6.103563578621611,0.026394416453336574,-0.8572212351663621,-0.6664233159642698,0.03937871300871689,r8060089.trees
0,10001.0,250,57,2.605653484216397,-1.216146826714371,2.123227682930948,5.8486305201180855,0.029475824786513807,0.8288585253955871,-0.8425319951498057,0.03916202444185344,r8060090.trees
0,10001.0,250,35,2.139203012715616,-1.0548179031285823,1.7645014769251288,4.771618318082787,0.013528738057697104,-0.3588779658902973,-0.2855136898925589,0.03838395054873873,r8060091.trees
0,10001.0,250,49,2.360631823227386,-1.1058020892080338,1.9193134439036017,5.927936324786632,0.025544894465759457,-0.011444795801530154,-0.12081786617920078,0.035712743446905906,r8060092.trees
0,10001.0,250,60,3.3379359714801686,-1.6540966398483705,2.800852097713011,6.172262201330379,0.024056409072944034,-1.1406530963101977,0.7005224959455357,0.02469555641922529,r8060093.trees
0,10001.0,250,71,4.486518173087961,-2.3356732737748356,3.8693858747769534,6.708612485833401,0.01763471115257936,-1.9402942155536562,0.635739003731628,0.027650190203629767,r8060094.trees
0,10001.0,250,36,2.1934123082275443,-1.04616545561434,1.7823709363031186,5.703378902108546,0.019541931943309797,-0.9025314849176062,0.36964359736720914,0.028860603705143158,r8060095.trees
0,10001.0,250,55,2.7294280446823294,-1.3298346688875928,2.2671674441754246,5.7115138066785756,0.02253570582544943,-0.3274609709916466,0.058193610423115695,0.035112801436159385,r8060096.trees
0,10001.0,250,46,3.4833917558099126,-1.7524453888954608,2.9244332696885214,3.583663723958736,0.019222346122765754,-0.9657826872426789,-0.7048232036920664,0.04771667314418966,r8060097.trees
0,10001.0,250,47,3.687697387736148,-1.5631998069859445,2.862658950607164,5.115937050348214,0.0641840210627941,-1.7536309308926523,0.6056240318140375,0.027885736494364554,r8060098.trees
0,10001.0,250,67,4.08838363847863,-2.105705029406648,3.503419398291321,6.5918670005636955,0.018843875374083864,-1.8731106250843799,0.31637543745718255,0.02731895323228398,r8060099.trees
0,10001.0,250,55,3.4357279458156005,-1.7780544705564836,2.937730152809545,6.377918750040828,0.013114744286584192,-1.2949489529817475,-0.45205576141680315,0.03276547048408689,r8060100.trees
0,10001.0,250,54,3.386779990561186,-1.6896311155763448,2.8437451386097,6.0977400293880395,0.022042117987844043,-0.27930689578105317,-0.08898278159006152,0.039206680092805236,r8060101.trees
