start,end,N,SS,TajD,FerL,FayH,bsfs,ZngE,FulD,Colless,btree,path,iColless,ibtree
0,10001.0,250,52,1.5176488360834008,-0.05972415648594595,0.11263387561161793,1.2062000413026848,0.7112950236179404,-0.17786999266109946,0.03655435205055848,-0.23853756126718284,5020000,0.03955067582156584,-0.4793363845016756
0,10001.0,250,60,1.1188526257725846,-0.05569855847450584,0.08042387739092084,1.0874637730151655,0.5367232508531173,-0.2483506390917216,0.031668217346413986,0.3718369294618773,5020001,0.050828313253012035,-0.8162121624246139
0,10001.0,250,53,0.8377610245261415,0.13201244046580032,0.08635880842865389,0.6800154104400402,0.2600299828221851,0.7717726278937364,0.03352522995206633,0.2928255881449147,5020002,0.04061406917994559,-0.4413156124264074
0,10001.0,250,37,0.3979123052347252,0.4002784629426315,0.09487649064752887,0.4486940667149083,-0.15063299807452402,0.8964056594028801,0.03386125145744267,0.12653583650582848,5020003,0.04120784212117287,-0.5143388612032979
0,10001.0,250,56,1.6177462344490892,-0.2498076576291931,0.09213357893100957,0.9815330413752059,0.9104629075256294,-1.3254702115536967,0.032753595025262344,0.16864919911905554,5020004,0.03674374919030963,0.026965391153888147
0,10001.0,250,39,0.007921840280080555,0.7116326635974011,0.10986733296712943,0.23263721236774665,-0.5687585841424293,1.5936124704483066,0.03267133048322321,0.14061571613489746,5020005,0.042935181586561295,-0.6135001017790264
0,10001.0,250,49,1.6873749352932212,0.039699213565002035,0.141633773076089,1.1437443094790691,0.7034590199126409,1.064943155552018,0.028049833743576454,0.4677618034474394,5020006,0.03967482834564063,-0.4565383069774618
0,10001.0,250,50,1.257171853810201,-0.11005499200661983,0.08463073475355233,1.0093552510136363,0.6370532711563736,-0.06896314663617191,0.03575160858487714,0.0516647473561289,5020007,0.0647509392408343,-1.887192507131508
0,10001.0,250,54,2.6652397945440094,-0.6703944853338962,0.11415496894757135,1.3018301513471504,1.7066999096129132,0.048718615451633314,0.029333058038606037,0.525785234844396,5020008,0.0505813576888198,-0.8197047894032875
0,10001.0,250,52,0.9003613769697429,0.5689054476120128,0.15597018192714118,0.8109763826781956,-0.06484268035736436,-0.5175456139137309,0.03441331307635233,0.2418728432230097,5020009,0.03943515999481798,-0.4848804858081627
