#/home/enes/bim/BIM.py trees/ir8060234.trees,trees/ir8060235.trees,trees/ir8060236.trees,trees/ir8060237.trees,trees/ir8060238.trees,trees/ir8060239.trees,trees/ir8060240.trees,trees/ir8060241.trees,trees/ir8060242.trees,trees/ir8060243.trees,trees/ir8060244.trees,trees/ir8060245.trees,trees/ir8060246.trees,trees/ir8060247.trees,trees/ir8060248.trees,trees/ir8060249.trees 250 --stats=all --eta=etas/BC.json --out=outs/618185081.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,TajD,ZngE,FulD,FerL,FayH,btree,Colless,path
0,10001.0,250,50,6.237241543339537,3.572575796986679,2.9533086294937005,-1.8298976208592184,-1.7319427272173893,0.03012064798546147,-0.6893856661201762,0.04926156237854644,ir8060234.trees
0,10001.0,250,47,4.293750844624449,2.117892966035839,1.6825236029811226,-1.3808404083664279,-0.945541352438044,0.029722490134738534,-0.7737115471595181,0.046119963725871224,ir8060235.trees
0,10001.0,250,44,5.798151956288183,3.4961673018537422,2.8829220896273484,-0.8760033257215954,-1.6984137687998513,0.02801646784267622,-2.8031677082702617,0.08122813835989116,ir8060236.trees
0,10001.0,250,56,6.349952829765273,3.27312334676749,2.795369754359665,-0.37401914196813835,-1.6882673028833293,0.013458770000406444,-1.3925808227713836,0.04724543334628838,ir8060237.trees
0,10001.0,250,69,5.60090594544818,4.393355225127715,3.7342527651175077,-1.646663248705676,-2.2220569272282544,0.026328474009463972,-0.489523423316507,0.039172820313512116,ir8060238.trees
0,10001.0,250,55,3.5094896782704823,3.1862481532548754,2.474803612838781,-1.6174449469784478,-1.3391895950724824,0.05754906919011053,-1.2720811039153384,0.05389299132011918,ir8060239.trees
0,10001.0,250,49,3.401353196916222,3.436835333272001,2.9580651057223246,-0.011444795801529836,-1.8132768611133985,0.006969486961109632,-1.6829318120673293,0.060338126700349784,ir8060240.trees
0,10001.0,250,39,3.373165022395973,2.54341160665704,2.0119808980459006,-1.0570590881538549,-1.1386101509985822,0.03455429471954792,-0.9459703937914066,0.04420909444228527,ir8060241.trees
0,10001.0,250,48,5.651143855107902,3.622520178818815,2.9975440719058324,-1.4143617479761603,-1.7638526627232973,0.02909704213041171,-0.5910342402229405,0.03999870449540096,ir8060242.trees
0,10001.0,250,56,5.232621808761755,2.8897102185600962,2.3844421953342354,0.577431927617419,-1.386921363375435,0.02702775150852331,-1.6077910900258554,0.05541520922399275,ir8060243.trees
0,10001.0,250,49,5.6831058764762,2.8425769634703766,2.3262729825121458,-0.37024077958604623,-1.3503307666208364,0.027970676516087156,-0.5739768331834083,0.04302694649566005,ir8060244.trees
0,10001.0,250,72,6.7701746619389365,3.9551125188102074,3.4420281803756403,-0.7024687379975421,-2.0961678543458673,0.010364949654285895,-0.8387936236482302,0.03931856458090426,ir8060245.trees
0,10001.0,250,51,6.0111253031464145,2.7460582623824066,2.2380573011080687,0.22141660071262,-1.290066605160731,0.029349908261409808,-0.9545895103485061,0.05188495919160513,ir8060246.trees
0,10001.0,250,43,3.791174237725318,3.3281404897542384,2.8419661527228177,-0.4239195416448751,-1.74031513567691,0.007813238157004044,-0.46296116161872797,0.047221142635056355,ir8060247.trees
0,10001.0,250,60,5.431886196867333,4.091091804017967,3.44984635901144,-1.4380872487163567,-2.0484338842511502,0.026420927913447145,-1.5247082091400557,0.05858919549164399,ir8060248.trees
0,10001.0,250,57,6.382653488098659,3.0160030691245847,2.5244513805021924,-1.666977881017342,-1.490610130756523,0.022015323816998642,-0.7487149949952601,0.048192771084337345,ir8060249.trees
