#/home/enes/bim/BIM.py trees/ir8040022.trees,trees/ir8040023.trees,trees/ir8040024.trees,trees/ir8040025.trees,trees/ir8040026.trees,trees/ir8040027.trees,trees/ir8040028.trees,trees/ir8040029.trees,trees/ir8040030.trees,trees/ir8040031.trees,trees/ir8040032.trees,trees/ir8040033.trees,trees/ir8040034.trees,trees/ir8040035.trees,trees/ir8040036.trees,trees/ir8040037.trees,trees/ir8040038.trees 250 --stats=all --eta=etas/BC.json --out=outs/500457735.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FulD,ZngE,FerL,FayH,TajD,Colless,btree,path
0,10001.0,250,99,2.3678857577626884,-0.7832640185924586,0.9373903799159867,-0.07942502936464481,0.1388678055583961,1.9535745476667228,0.04263019821220366,-0.4290674362386203,ir8040022.trees
0,10001.0,250,102,1.7418390235584695,-1.0297858013493537,0.5174527743671338,0.19691886277187307,0.14314432838199867,1.5125414803659274,0.042167475157499766,-0.3810610378155133,ir8040023.trees
0,10001.0,250,122,1.176708287627042,0.1519197694268331,0.18084909560905446,0.1847222643101918,0.08115337133833522,0.7349528175518539,0.044284665543896026,-0.5368844556811626,ir8040024.trees
0,10001.0,250,93,2.121982897282778,-1.228068343892946,1.8299029250145307,-0.8174613908317735,0.08778274062221307,2.6209028721443577,0.053300760646271726,-1.10872508472016,ir8040025.trees
0,10001.0,250,96,1.2488531310249975,0.2411789865920161,-0.5969859993946761,0.9288082829969229,0.1555626534005151,0.3438772045904724,0.03795153733212419,-0.12329358299738356,ir8040026.trees
0,10001.0,250,75,2.023937346013093,-1.277026424078354,2.0633934445568176,-1.1131703701627533,0.04681384894642569,2.6283939954695277,0.05286352784409528,-1.193159186626184,ir8040027.trees
0,10001.0,250,102,0.585392926799098,0.23056041017699977,1.7213965758342549,-1.2362381133829128,-0.04745417526942026,1.6143467952329498,0.05026917706668969,-0.9939651027635057,ir8040028.trees
0,10001.0,250,67,1.3630692326866534,-0.5318002723678149,0.2410046411020144,0.3002971228322431,0.1289824715842178,1.0947771650344553,0.04478991233752213,-0.5801193944956551,ir8040029.trees
0,10001.0,250,84,3.717755105168771,-1.0333549355823886,0.13356700642666858,0.38445932155238993,0.1312644425777958,0.998294142068893,0.03947645420391242,-0.4574911296212776,ir8040030.trees
0,10001.0,250,73,1.146064443786241,-1.2288906286319266,1.0829488907155949,-0.43646673064600794,0.06669261209743686,1.6502509085576218,0.05460381423827739,-1.30844831047744,ir8040031.trees
0,10001.0,250,90,2.0582310846216325,0.050229453521819095,0.4182151314080958,0.1730985035375087,0.12069979757058565,1.251926277875603,0.04807515290363493,-0.9312914808233319,ir8040032.trees
0,10001.0,250,94,3.850809757499101,-2.026210336442906,2.3012343773412782,-1.1768403495056055,0.06883716141291994,3.0254449004493584,0.04007157662909702,-0.49914167595563136,ir8040033.trees
0,10001.0,250,93,1.7020531222364423,-1.8180873502076729,0.4625104185318158,0.4372015848857726,0.20164139229636327,1.8282964563361208,0.04786529631069079,-0.9864137060945214,ir8040034.trees
0,10001.0,250,80,1.9848584379198342,-0.4796088298671126,1.279799573937592,-0.6281427977436753,0.046375858154402615,1.7396064699826417,0.041990542816427,-0.3234444927610834,ir8040035.trees
0,10001.0,250,86,0.8367351502546486,-1.927538159281183,0.8802685198833683,-0.2831703313652639,0.0734074913078538,1.463678316282801,0.05277885736494364,-1.01346016606847,ir8040036.trees
0,10001.0,250,91,1.611790625128632,-1.38876259984408,1.3756074448896776,-0.502028959600955,0.09752790277732157,2.17539625900499,0.0426771602539189,-0.4981256202086238,ir8040037.trees
0,10001.0,250,94,0.76813152272171,-1.2475074373534478,1.4700369216970903,-0.8201211796025369,0.024936872731020868,1.8089233328188328,0.04284622360409379,-0.3579016339179889,ir8040038.trees
