#/home/enes/bim/BIM.py trees/r3010040.trees,trees/r3010041.trees,trees/r3010042.trees,trees/r3010043.trees,trees/r3010044.trees,trees/r3010045.trees,trees/r3010046.trees,trees/r3010047.trees,trees/r3010048.trees,trees/r3010049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/702527744.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,FayH,FerL,bsfs,ZngE,TajD,Colless,btree,path
0,100001.0,50,416,-0.12321014503143962,-0.07703132884635033,-0.41416193340630086,-0.8259573094460112,0.15641124575861579,-0.400120445849102,0.1437630607798676,-0.6538508009073669,r3010040.trees
0,100001.0,50,407,-0.053136273229658505,0.025838993611529387,0.14813196140654208,0.24122255801665266,-0.06867173309177647,0.11847865796753983,0.12495378586217087,0.09591611740959091,r3010041.trees
0,100001.0,50,342,1.1671166848632923,-0.07229930103603367,-0.33941768055609534,-1.5182165078462255,0.06215900224531596,-0.4565384935417238,0.13327847267939427,-0.39853023269907895,r3010042.trees
0,100001.0,50,402,-0.5285343561241602,-0.016373577349407177,-0.17479866100132913,0.21554171225593777,0.18541344262619847,0.062372291160755,0.16557086752226666,-0.28904977897840917,r3010043.trees
0,100001.0,50,413,0.5094125175524088,0.02483354200841803,0.19308336512765448,0.061800360602105,-0.1548701275219048,0.02784892771321506,0.11684008578800988,0.0826326791135614,r3010044.trees
0,100001.0,50,539,-0.43472339129177906,0.0201443291317026,-0.09963471371726323,0.5936650673625751,0.32435687457952495,0.4577382994839163,0.11333245744649782,0.5991554138088515,r3010045.trees
0,100001.0,50,447,1.214806747907653,-0.045152430208801414,0.028724958607694653,-1.589933115804933,-0.38470932520567863,-0.6956483585475884,0.16503913393314326,-1.0863347804799561,r3010046.trees
0,100001.0,50,404,0.7772715020925657,-0.029132424551486895,-0.18544474826000237,-0.27369164531493045,0.10976134102363606,-0.10224477211290967,0.1367094134951278,0.3175696467073431,r3010047.trees
0,100001.0,50,365,0.8462922043808218,-0.09608167114470373,-0.622460840210508,-1.0734109657736945,0.3821564448316152,-0.31671118056576175,0.1700026164311877,-0.9183714513581043,r3010048.trees
0,100001.0,50,466,0.8404272536111881,0.01720208602798729,0.07196778692561935,0.15527194790517626,0.0012627997918696681,0.12448648569278391,0.13015518707483,-0.25007182557419844,r3010049.trees
