start,end,N,SS,ZngE,bsfs,FulD,FerL,FayH,TajD,Colless,btree,path,iColless,ibtree
0,10001.0,250,149,-2.100074824647877,-1.231604155294217,8.816942402995009,1.315087473976299,0.0047914655986143325,-2.294950243369365,0.04042424176994717,-0.05527748665081703,9050000,0.07135891235191663,-2.407662379807194
0,10001.0,250,129,-0.7309640218023772,-2.7661601778003373,6.586468710857493,-0.537978134627102,-0.2700072578267705,-2.5918958921179565,0.08713825525426769,-2.7328871638677508,9050001,0.09475536554821436,-2.8266801620932727
0,10001.0,250,137,-2.080590195775643,-0.5507477719227505,8.882362374373932,1.3762348358161258,0.024620843196685036,-2.1464521661324576,0.05146392019691667,-0.9150289148463818,9050002,0.06205952843632595,-2.3456257534047067
0,10001.0,250,128,-1.3127044365851066,-1.319373732931634,8.251823450573099,0.40146833505272106,-0.1118667290919112,-2.196120769132049,0.06167844672011377,-1.1362353928780398,9050003,0.09057427868154648,-2.98588148823386
0,10001.0,250,150,-2.021432420926909,-0.30763925959672433,8.739548892363834,1.3377259292037769,0.024071548390821342,-2.079771428251964,0.04813388451165365,-0.6196641856468345,9050004,0.07304891609448548,-2.1900970690799157
0,10001.0,250,127,-1.5964848959396836,-2.238411365342698,8.484285617517559,0.5637578205393022,-0.11550343102768465,-2.535584114726519,0.0618540604401235,-2.0241421922386187,9050005,0.08709955027483207,-3.010990681415058
0,10001.0,250,124,-1.1460773623529543,-2.336399757886209,7.711126751472155,0.14604190245642468,-0.15377337229482824,-2.2867260723374514,0.07420741255912157,-1.7726156864044156,9050006,0.09134602927840396,-2.8962625010223997
0,10001.0,250,142,-1.6371455117226816,-0.7543533083281616,8.341123535473848,0.8744958227098595,-0.037193287096686484,-2.0615599345607083,0.0656230475187807,-1.6212794841236102,9050007,0.05366267939140073,-1.3082493409213225
0,10001.0,250,132,-1.6805903535144724,-0.29468361555882805,8.620365417881972,0.9555303549020804,-0.02264069226246952,-2.0160037493342853,0.09277066643264002,-2.5738453546047566,9050008,0.07022665441825955,-2.2152338317315623
0,10001.0,250,119,-1.218719154143663,-0.7074952830851479,7.684722264340276,0.4253858609092264,-0.08992236470128613,-1.9476669014563397,0.05712712601558305,-1.5279960440066855,9050009,0.08024798685403754,-2.652776935802879
0,10001.0,250,144,-1.5251140871535034,-0.8076354201323607,7.282559055554406,0.7620394587277856,-0.04888035966432591,-2.0142822404996203,0.04448628195227495,-0.7634497489647333,9050010,0.06559895495962344,-2.224465588883177
0,10001.0,250,131,-1.7250328274128006,-1.7280284788118703,9.697791004518137,0.8652647469049792,-0.05474706773104423,-2.2773768433939288,0.07030198431780706,-2.09118857300882,9050011,0.1151811547264326,-3.4126102102366755
0,10001.0,250,162,-1.0475488990931254,-0.9106294105948818,7.768160728156178,0.09064924119064527,-0.15001456337153862,-2.1551165654255007,0.07179871559972609,-2.0131997759122853,9050012,0.1261389644599905,-3.4654309198789712
0,10001.0,250,139,-2.3616256382976406,-1.9992780042792075,8.581162538559777,1.4472043235883203,-0.0032806845122608976,-2.641860746102039,0.0760088983763654,-3.0649926218528267,9050013,0.07907436196398497,-2.562721806387893
0,10001.0,250,146,-1.776575378734604,-2.3307673224864227,9.9472123594755,0.7528656645567645,-0.09342290881749556,-2.5875379896172914,0.08485280652407333,-2.8550126419649553,9050014,0.07272924715941567,-2.3119667884709183
0,10001.0,250,134,-1.4809131949502217,-2.254384127570533,10.111964750607212,0.4503394911907437,-0.1265413555560536,-2.479524925807938,0.061450551309179376,-2.168455597779692,9050015,0.08697925341920677,-2.3183776611649693
0,10001.0,250,163,-1.1564944265651864,-2.072396930326524,7.474055691536702,0.1000955090440369,-0.1655610450471648,-2.378943308708601,0.08055052215565234,-2.465786108211176,9050016,0.08784203026026005,-2.7332559933188527
0,10001.0,250,148,-1.5161437672802809,0.5461572386331971,8.643858076083301,0.983526581331124,0.012690609863975884,-1.5959244885991544,0.043269853607980316,-0.4610089758942595,9050017,0.05730208768167053,-1.4288194751505496
