#/home/enes/bim/BIM.py trees/ir8090046.trees,trees/ir8090047.trees,trees/ir8090048.trees,trees/ir8090049.trees,trees/ir8090050.trees,trees/ir8090051.trees 250 --stats=all --eta=etas/BC.json --out=outs/355171415.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FayH,FerL,bsfs,FulD,ZngE,Colless,btree,path
0,2501.0,250,7,0.699124265061242,0.02568633291686693,-0.2363377379337784,1.690525703800356e-05,1.5276143141084957,0.45743994197340887,0.02403161031221661,0.9914055916953309,ir8090046.trees
0,2501.0,250,5,2.0494556092652045,0.12149869479309615,-0.5576950601227547,1.575744678941488,-1.854344998188919,1.2168924834278303,0.08950317398626764,-2.6811911628771483,ir8090047.trees
0,2501.0,250,6,3.0593159506870102,0.04353836142696742,-1.3123989424958278,2.9680572378104157,-1.9642299758823034,2.209905546268314,0.044500582977069575,-1.0209479494905973,ir8090048.trees
0,2501.0,250,8,1.6690891954184277,0.04933408054661683,-0.6079094122320924,2.237629758195711,-2.133690217292945,1.1328104377853014,0.03679233061277368,-0.11378037402225803,ir8090049.trees
0,2501.0,250,13,1.186683723845578,-0.010539307150578093,-0.6531873210090888,1.3119385169186704,0.9776412577841304,0.9983748268149337,0.048670488405233844,-1.3066342508567563,ir8090050.trees
0,2501.0,250,15,2.446091678047705,0.03738776223629397,-1.048503548288271,4.678083593207999,-2.4670401169421527,1.8312880454247646,0.046314289415727426,-0.8248744584164367,ir8090051.trees
