#/home/enes/bim/BIM.py trees/ir8080005.trees,trees/ir8080006.trees,trees/ir8080007.trees,trees/ir8080008.trees,trees/ir8080009.trees,trees/ir8080010.trees,trees/ir8080011.trees,trees/ir8080012.trees,trees/ir8080013.trees,trees/ir8080014.trees,trees/ir8080015.trees,trees/ir8080016.trees,trees/ir8080017.trees,trees/ir8080018.trees,trees/ir8080019.trees,trees/ir8080020.trees,trees/ir8080021.trees 250 --stats=all --eta=etas/BC.json --out=outs/666037231.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,FayH,FulD,bsfs,TajD,ZngE,Colless,btree,path
0,10001.0,250,95,-0.6362971204117824,0.09384635171891324,-1.4592746223732804,2.390514633140004,2.3723374563239967,1.5733125200094655,0.05193030185257158,-1.3043761059586547,ir8080005.trees
0,10001.0,250,61,-0.9379501707138697,0.03318079153021348,-0.2925590550937998,4.598474946584563,2.1393456877503323,1.6972847010637155,0.04460854169365635,-0.9008015106003704,ir8080006.trees
0,10001.0,250,77,-1.1971703673788423,0.032584013933766635,-1.5581087301848453,4.739245631536997,2.59774788931508,2.1187573834424445,0.05002267133048322,-0.9722462922405644,ir8080007.trees
0,10001.0,250,81,-0.30187867568801163,0.08659765472320648,0.1621134783521377,4.321994384167557,1.6654086884027866,0.9837193697108685,0.03973960357559269,-0.31356674602624696,ir8080008.trees
0,10001.0,250,90,-0.4068956333216382,0.11569183255320754,-0.7614459367260387,1.1891255588142675,2.238115136767273,1.3263737414830261,0.051585373753076834,-1.2170246960951807,ir8080009.trees
0,10001.0,250,68,-1.3634897765406016,0.03787326502140358,-0.8323752647235949,5.899172772847173,2.9737755474093137,2.4134420758223656,0.07604611996372587,-2.6396402836650257,ir8080010.trees
0,10001.0,250,80,-1.3497131812786287,0.082546809548852,-1.6143465919002444,5.410887255349575,3.517555521590011,2.6520650012913958,0.039081055404413347,-0.46019112138100876,ir8080011.trees
0,10001.0,250,102,-0.1763798377261134,0.17396791420871005,0.2305604101769999,2.0579443630898737,2.5893616154407137,1.300889605950521,0.0534042327668445,-1.4049201699896998,ir8080012.trees
0,10001.0,250,91,-0.9549625021333773,0.10477693410111655,-1.790349059764611,3.2601479426245503,3.0901231236644575,2.14941410203768,0.04821544241482058,-0.9825811479789147,ir8080013.trees
0,10001.0,250,79,-1.0231378084589413,0.12867813640889691,-1.5960492891092273,4.262140176701182,3.5177511774535972,2.3877753876109424,0.04311871140475882,-0.5746516781824145,ir8080014.trees
0,10001.0,250,89,-0.5884591730981803,0.15455071261208017,-1.5563355799977914,6.194422994606128,3.0703434434871566,1.843545914593902,0.037040635660923256,-0.3411255701168487,ir8080015.trees
0,10001.0,250,87,-0.7379637376544044,0.09629128630189047,-0.6833644806264689,3.636597812622093,2.58537849038264,1.7473649733619856,0.04702681694520016,-0.8789973141304853,ir8080016.trees
0,10001.0,250,75,-0.4234249922415789,0.16993687995848358,-1.7594947677879422,2.460181556993442,2.9526514749197776,1.6503478144363204,0.04477587770436585,-0.7899671101756316,ir8080017.trees
0,10001.0,250,93,-0.6931863747562476,0.07488581482778241,-2.2114333544174913,1.598723457753431,2.228283531235489,1.5543098992234265,0.05084855551237207,-0.9590483228806201,ir8080018.trees
0,10001.0,250,70,-0.823588429460168,-0.0024049621661483044,-0.8943969174224435,1.7108728704335534,1.472368775954108,1.3155233128243728,0.04440342013214147,-0.9318240986073119,ir8080019.trees
0,10001.0,250,108,-1.9184980440230675,-0.04358592276819659,-1.6538333913938612,1.1729838262060404,2.891658758614025,2.846547518689696,0.046443839875631554,-0.8974730849838162,ir8080020.trees
0,10001.0,250,91,-0.6865129986490683,0.04564742461958547,-0.7863829099632845,3.9285723020843277,1.8363024583173941,1.373449991384618,0.04300427516517684,-0.7385215116016317,ir8080021.trees
