#/home/enes/bim/BIM.py trees/ir8110005.trees,trees/ir8110006.trees,trees/ir8110007.trees,trees/ir8110008.trees,trees/ir8110009.trees,trees/ir8110010.trees,trees/ir8110011.trees,trees/ir8110012.trees,trees/ir8110013.trees,trees/ir8110014.trees,trees/ir8110015.trees,trees/ir8110016.trees,trees/ir8110017.trees,trees/ir8110018.trees,trees/ir8110019.trees,trees/ir8110020.trees,trees/ir8110021.trees 250 --stats=all --eta=etas/BC.json --out=outs/497619808.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FulD,FayH,ZngE,FerL,TajD,btree,Colless,path
0,10001.0,250,82,6.0116158310095535,-1.4279766670208096,0.016930908657194686,3.0616096775675645,-1.8355342234031538,3.5532519265233926,-2.646837761363082,0.07880986310834737,ir8110005.trees
0,10001.0,250,76,6.592285272475132,-2.253135501954065,0.030801555585648368,2.683605874330744,-1.553543056752808,3.2241530924083106,-1.4397691749535204,0.05185257157662909,ir8110006.trees
0,10001.0,250,79,4.4365299212891225,-0.9070463014184659,0.03879528574227374,2.435275332042181,-1.3707724186646477,2.9925224474527576,-0.6079996046628359,0.04638986051733817,ir8110007.trees
0,10001.0,250,66,5.929509645506241,-2.3992723681992127,0.018461246527273073,3.698557267090788,-2.228264864937874,4.309179204967028,-1.0574471032356478,0.04909962430366628,ir8110008.trees
0,10001.0,250,97,3.885966168398143,-1.1146072251393748,0.10087069290790936,2.3948677998725434,-1.1187264294136567,3.3371997790295382,-1.0599956290985426,0.04961242820745348,ir8110009.trees
0,10001.0,250,81,6.156598362216859,-1.8565074643285104,0.06762144966952019,2.601409601360201,-1.3708946858400126,3.3635003690381517,-1.479467346499985,0.05729369089260267,ir8110010.trees
0,10001.0,250,90,6.733628116388609,-1.776040174535861,0.0406789097397143,3.410779383327007,-1.9654068457365963,4.089654273359899,-1.160043247749474,0.04584466899857495,ir8110011.trees
0,10001.0,250,99,3.3250989990369093,-1.894878122216541,0.02507431791279097,3.311297182752024,-1.958215470671012,3.8675210563328055,-1.4483462502935032,0.05445977458219977,ir8110012.trees
0,10001.0,250,97,2.932239635394976,-1.1146072251393742,-0.020891273884692613,2.886323652642141,-1.8610058853532392,3.094550185324142,-1.1375692502585955,0.052208835341365466,ir8110013.trees
0,10001.0,250,92,1.819812114370117,-0.015956130074309197,0.07940102615208042,1.8702290095671144,-0.8727743164326106,2.6120121546966213,-0.9032177563838971,0.04799034849073714,ir8110014.trees
0,10001.0,250,85,3.6493020993793284,-1.0569231625315878,0.0006217700755732841,2.9956154746706565,-1.8522855116162606,3.36998859616064,-0.36186595308717306,0.03833074232413525,ir8110015.trees
0,10001.0,250,100,4.337378496603896,-2.273812059355387,0.08521095446348266,2.6196940875375048,-1.3133132967145251,3.4852332333464098,-1.5695258832830885,0.05711232024873688,ir8110016.trees
0,10001.0,250,97,5.904807399637233,-1.1146072251393746,0.03131639993693438,2.870054769240113,-1.6630508285946901,3.416233732543758,-0.8455285109202934,0.04684868506283198,ir8110017.trees
0,10001.0,250,57,4.712107700342475,-1.3549983302157256,0.040766877470210294,2.2265565255931317,-1.2415577720390185,2.794515129074357,-1.8206201018999995,0.05836248218681176,ir8110018.trees
0,10001.0,250,77,6.291047358337829,-1.0874914669034845,0.03669288302156001,2.8523314575811165,-1.6370013609203955,3.4510506987818097,-1.478150902298803,0.05278101653927538,ir8110019.trees
0,10001.0,250,105,1.701478469718365,-1.2627996355441855,0.13673368741142505,2.277863162786678,-0.9140625068744948,3.4375780718960143,-0.4999941822856525,0.0418248677090496,ir8110020.trees
0,10001.0,250,71,5.616901253869383,-0.1620852623248054,0.019535993324601396,2.557966472771435,-1.5164413788572786,3.016328065044914,-1.1425496547796106,0.047650278533488785,ir8110021.trees
