#/home/enes/bim/BIM.py trees/ir3120040.trees,trees/ir3120041.trees,trees/ir3120042.trees,trees/ir3120043.trees,trees/ir3120044.trees,trees/ir3120045.trees,trees/ir3120046.trees,trees/ir3120047.trees,trees/ir3120048.trees,trees/ir3120049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/475279305.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,ZngE,FayH,TajD,FulD,bsfs,btree,Colless,path
0,100001.0,50,433,-0.16755665882198714,0.025452189115705296,-0.03625702606178136,-0.23504715381601216,-0.17924607037075688,-0.37773740465920186,-0.3073141584347501,0.134623849539816,ir3120040.trees
0,100001.0,50,486,-0.7947424217750799,0.5873039811920516,-0.10876386924607694,-0.2118476805442489,0.7924432738095042,-0.9404530605514395,-0.9988881929282535,0.15927419354838704,ir3120041.trees
0,100001.0,50,463,0.20206577688825755,-0.21643869490406742,0.01861182261704429,-0.0759603719510395,-0.22107977573861468,-0.016058620227007846,0.06283201977277923,0.12276939761411813,ir3120042.trees
0,100001.0,50,414,-0.027923275687503274,0.21881889356690837,0.022970741409590077,0.37633320003473436,-0.42985554582500163,0.5955964797463947,-0.20042117067101445,0.1338506235827665,ir3120043.trees
0,100001.0,50,397,0.3660642435486096,-0.3218790504497773,0.04328335743289826,-0.0019883564610254467,0.662438846581283,0.22501938623939147,-0.7829355657122858,0.1324817240328967,ir3120044.trees
0,100001.0,50,494,0.4039030162924754,-0.4790768180352046,0.03091437822578616,-0.24143691818968313,0.24616350650401023,-0.05503128143866684,-0.3680344775371816,0.13123364730507595,ir3120045.trees
0,100001.0,50,408,-1.2196242738677332,1.0261724113208681,-0.15040726039471836,-0.08305876400428278,-0.7143955897986283,-0.9388964646347447,-0.6595210355837142,0.15176285567990633,ir3120046.trees
0,100001.0,50,441,0.40425790767810993,-0.40520472145758646,0.04101226391338012,-0.09829591246813296,0.20099046378111596,0.24285551452727777,-1.0173348709400514,0.15279010154786546,ir3120047.trees
0,100001.0,50,428,-0.13258120223592865,0.03483310476562945,-0.026707982146084483,-0.157557075967333,0.27245048439727243,-0.3329843049838477,-0.3534173434341303,0.13831042621130085,ir3120048.trees
0,100001.0,50,469,-0.1994851748780481,0.08283731850353185,-0.03602698381681173,-0.17806635660814155,-0.16560671722678938,-0.41313566484182945,-0.969495626962564,0.15463219185979477,ir3120049.trees
