#/home/enes/bim/BIM.py trees/r3000020.trees,trees/r3000021.trees,trees/r3000022.trees,trees/r3000023.trees,trees/r3000024.trees,trees/r3000025.trees,trees/r3000026.trees,trees/r3000027.trees,trees/r3000028.trees,trees/r3000029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/282537641.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FulD,TajD,FerL,bsfs,ZngE,btree,Colless,path
0,100001.0,50,482,-0.04062351404489254,-0.49604269621346286,-0.1941134910306929,-0.2289778171704433,-0.5022008471644247,0.10038382913198879,-0.11522169401297729,0.1323590606455348,r3000020.trees
0,100001.0,50,399,0.05138650024918495,0.08600680665399517,-0.2762388286857234,0.5959273317679759,0.09958711646604235,-0.6649267320762569,0.7319653731775481,0.09763412754264277,r3000021.trees
0,100001.0,50,348,0.012725123877731549,-0.18478120148620572,-0.0981346297529668,0.16474765010535738,0.06062539524521511,-0.1949286130728585,0.37625834379071327,0.12215234931181777,r3000022.trees
0,100001.0,50,472,-0.024788020796278922,-0.3739019702627032,-0.15806974947454006,-0.11630198561754133,-0.33356587665911647,0.02023795552489314,-0.10479540001961085,0.11630354844640557,r3000023.trees
0,100001.0,50,475,0.022953676053361363,-0.5171732212857616,0.3548184770739268,-0.015227234147571487,0.7716916900842079,0.1968375770068536,0.32368585184795606,0.11661680378957864,r3000024.trees
0,100001.0,50,479,-0.0747777051963481,-0.7260543197521627,-0.15051510168275292,-0.5434183912871899,-0.4567515847589636,0.39864832009704415,-0.2596819004251823,0.11629316798489726,r3000025.trees
0,100001.0,50,420,-0.00742143511184448,-0.4707801565242906,0.030240678176776975,-0.08043957556493518,-0.10374877322111445,0.08613253439042555,0.3251182581987055,0.10259238830667407,r3000026.trees
0,100001.0,50,365,-0.02050630677614018,1.1706265480954714,-0.06488872941017243,-0.1344413004503684,-0.40892930963040725,0.0843524177294234,-0.20684376204994853,0.15899756128866635,r3000027.trees
0,100001.0,50,408,-0.023656592934241657,-0.38773478144577234,-0.07265895051386519,-0.1567224937375097,-0.1753035240716517,0.09985879384527176,0.36955044482828064,0.12251287798356332,r3000028.trees
0,100001.0,50,425,-0.027166881874890834,-0.46915408546559917,0.05753143992675265,-0.26317652072576775,-0.058011478013891886,0.2604252304988914,-0.6371491038549841,0.12561842918985772,r3000029.trees
