start,end,N,SS,FerL,bsfs,FayH,ZngE,TajD,FulD,Colless,btree,path,iColless,ibtree
0,10001.0,250,83,-0.9522664146247326,2.9993659702799302,0.04885121453454897,1.818570959777963,2.360361559207692,-1.2284091364837617,0.03183453416644245,0.2920687212883516,8110000,0.04095413913719394,-0.4700484730929991
0,10001.0,250,73,-1.429136463071068,6.209174660533957,0.03247275542513069,2.4910976253908466,3.0211313611256623,-0.4864913857363524,0.02882886384246665,0.2755959306824346,8110001,0.06395628597338664,-1.8806273900245496
0,10001.0,250,124,-0.37652172222353497,2.0879312566052093,0.0828176346481873,1.0991162316303107,1.7675380563253582,-1.2423932523567185,0.030350279767302694,0.3794162505334036,8110002,0.04431840264282939,-0.5791247419072254
0,10001.0,250,89,-0.4144723534192026,4.8221348128918216,0.05708023648421585,0.9993815028877974,1.4913513551710893,-0.7359755488026657,0.03747541485590456,-0.1182035823405232,8110003,0.07589913001883468,-2.4870075526534103
0,10001.0,250,76,-0.9565659733559936,3.895422827509415,0.045247902197656106,1.802093407686839,2.3228727552440227,-0.5854940088060739,0.031506401951893595,0.2966515573952921,8110004,0.03897309668782657,-0.3793662841697548
0,10001.0,250,84,-1.435314971662789,6.140245688036687,0.05857295420168174,2.65507138062032,3.3628868898409037,-2.33345384609041,0.0271121351766513,0.6082155921923408,8110005,0.04921445312039949,-0.7526757575363351
0,10001.0,250,82,-1.619942641847799,3.651153362662287,0.030994005299042417,2.794085900175977,3.3430587784383614,-1.4279766670208105,0.03731293153498103,-0.28243227480531424,8110006,0.05483628060629616,-1.3114245844717871
0,10001.0,250,79,-1.0665677905742759,4.4344389742728625,0.027307517094023924,1.8783794318138676,2.29135168544658,0.2412920113994697,0.02916337206445358,0.10536332010245868,8110007,0.060679668821915216,-1.6537682252836332
0,10001.0,250,70,-1.6730938243030482,0.7391389143558315,-0.02174821007299468,2.5771625462412016,2.775561371188767,-0.8943969174224438,0.03785341057008372,-0.6623668567014799,8110008,0.06164751170580941,-1.8663296920268837
0,10001.0,250,114,-1.182673012783088,2.2870275144439485,-0.0029900709872290555,1.895095439361761,2.092498590257573,-0.7583455923114922,0.03552580440607934,-0.08099548709642394,8110009,0.04303666278015288,-0.6292547513781727
0,10001.0,250,95,-1.1673770393730851,3.8662846802959807,0.05553627813795814,2.209117104578433,2.835233722473028,0.08247457868489098,0.028682889727484343,0.10469560950294496,8110010,0.03824977328669517,-0.4840574812797854
0,10001.0,250,82,-0.6872532350961315,0.8874814881248408,-0.01893109163325653,1.001359995466078,1.00427359534232,-0.5411909355200862,0.034288887929255864,0.005920442771956726,8110011,0.043910665704291835,-0.8887211963526654
0,10001.0,250,76,-0.5841127113656002,3.0870075791696863,0.08453090740259438,1.4245447573918069,2.1494533481975333,-2.014901002932924,0.03251041801615062,0.24841231618955115,8110012,0.05809454828110094,-1.5411917641136996
0,10001.0,250,107,-1.0486910345318654,2.356355034521835,0.03930479974400526,1.9258908228971483,2.4069498850110245,-0.9525767081566292,0.034585654445739945,0.0395458682242809,8110013,0.04631788803961365,-0.7263241858418705
0,10001.0,250,84,-0.5625734708306789,3.8758637332416823,0.07579446291994534,1.34438458126206,2.0008914362896326,-0.3833054803283783,0.03146083091671899,0.15858022895520366,8110014,0.04809266391077507,-0.962874164523416
0,10001.0,250,78,-0.7183674384342892,1.9299035865615168,0.03881049802217319,1.3815447430624292,1.806315959985212,-1.5773087778349526,0.03014894377117464,0.4984864034089018,8110015,0.04683573001684156,-1.0249186696504258
0,10001.0,250,68,-1.0421884972205175,4.841213516722891,0.04310552761813915,1.9244786980679247,2.453596304875996,-0.5678189987086354,0.03872320401149188,-0.26208244434929484,8110016,0.05078378028242,-1.1311912898493015
0,10001.0,250,76,-0.6946004945806342,4.691584258451376,0.05753516104482074,1.4491490514559775,2.0037877819044776,-0.5854940088060738,0.030495731535709024,0.24948019781084102,8110017,0.052389280624803365,-1.4970798585691245
0,10001.0,250,91,-1.0383618352471509,2.691689578131816,0.025200623156637743,1.8236386227736976,2.208419890946086,-0.5855896800030193,0.03444422852701126,-0.21117119808284374,8110018,0.06725288249773287,-2.222083336531353
0,10001.0,250,108,-0.4312668760830178,1.9164283695902056,0.07365533851411174,1.12915989329345,1.7421195997940355,-0.6311555683139961,0.034632770714193184,0.2834640169235991,8110019,0.04205531804637906,-0.3905051402523842
0,10001.0,250,83,-1.0122086196896731,5.976180400901806,0.04030623223416222,1.8663180492126168,2.358875840684657,-0.3517647946928767,0.04608577679895209,-0.7042830515567251,8110020,0.0661748375992449,-2.1881610302496437
0,10001.0,250,86,-1.0669163052659358,3.223671811874687,0.05103085421490019,2.017446194727905,2.5962123713524687,-1.9275381592811829,0.04528535980148883,-0.4737160075264048,8110021,0.05786587209051259,-1.5612159168848183
0,10001.0,250,72,-1.2528826711179353,3.0057958694208016,0.031170340220354274,2.198826400347249,2.683753721925052,-0.9531738397344414,0.02715544801474368,0.7503989023076201,8110022,0.050250464222481334,-0.9995352987173692
0,10001.0,250,91,-1.506751831054,1.3404852023393148,-0.02045276610748186,2.3162571730956127,2.4645385101477717,-0.7863829099632845,0.03285453642527097,0.15090976860251828,8110023,0.06300470700004318,-1.7561514130699774
0,10001.0,250,89,-0.8218809488102209,4.54378169923322,0.047587533932308336,1.6027755432551172,2.1068651803437723,0.0843844823924601,0.034376416958155194,0.09604732191517977,8110024,0.04383123893423155,-0.5439892137163819
0,10001.0,250,86,-1.6010533819347317,4.424051428586998,0.04236261682320675,2.830365345366272,3.453222299222648,-1.7156462720731365,0.02539855817958742,0.908739664573572,8110025,0.04334542470959105,-0.519344890614979
0,10001.0,250,86,-0.5907128953563607,3.8868378684471407,0.08014805075567956,1.4159011755230002,2.108925704602989,-1.927538159281183,0.02180889456443284,1.3553208899240063,8110026,0.04636139867387439,-0.878575300215265
