#/home/enes/bim/BIM.py trees/r8090119.trees,trees/r8090120.trees,trees/r8090121.trees,trees/r8090122.trees,trees/r8090123.trees,trees/r8090124.trees,trees/r8090125.trees,trees/r8090126.trees,trees/r8090127.trees,trees/r8090128.trees,trees/r8090129.trees,trees/r8090130.trees,trees/r8090131.trees,trees/r8090132.trees,trees/r8090133.trees,trees/r8090134.trees,trees/r8090135.trees 250 --stats=all --eta=etas/BC.json --out=outs/416849194.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,bsfs,FayH,TajD,FulD,FerL,btree,Colless,path
0,10001.0,250,62,2.575482381742384,6.273294055816305,0.025278269170532015,3.0859509645420835,-1.7777844950934463,-1.5095162742620547,0.3215011195186001,0.028845219588029537,r8090119.trees
0,10001.0,250,52,3.24477063183226,6.254296279545601,0.014356941718265355,3.802418925676563,-1.536572477671625,-1.9653384892376407,-0.23652368631084095,0.035587511335665234,r8090120.trees
0,10001.0,250,88,1.9443070541704839,2.3997106556204524,0.19845140514527873,3.467926738471872,-1.9538035764089678,-0.49455158791920306,0.6408483174267658,0.028911344301938938,r8090121.trees
0,10001.0,250,44,4.304981048467581,5.646869392424415,-0.008134080036390273,4.913263274433199,-1.6679364647819426,-2.701891483961966,-0.2843445739932992,0.03701441711546647,r8090122.trees
0,10001.0,250,78,2.9325965977273722,6.606694870957459,0.021470328749719252,3.442358069989342,-1.3448549032520558,-1.7402865995038277,-0.08703154966172229,0.03454139137193937,r8090123.trees
0,10001.0,250,70,3.2335806401493783,6.328049345556545,0.017981557810620347,3.7717895626917457,-1.1518410612613252,-1.9407385107045396,0.017142932746058548,0.03250097162844928,r8090124.trees
0,10001.0,250,62,3.1027226286948366,6.409366617830749,0.018760506907837215,3.6436036638930713,-1.2008448661383528,-1.8589757224947916,0.1981366646859272,0.02919203696506456,r8090125.trees
0,10001.0,250,62,3.1873666141823684,5.726193785009132,0.011403158572703843,3.6931416930780516,-0.6239052371832597,-1.9369048607531454,-0.06539393046393781,0.03378028242000259,r8090126.trees
0,10001.0,250,51,3.8813449552376174,6.29607749000091,0.008057955150783922,4.495101580202919,-1.5076720617645416,-2.3821583801346238,-0.5236474897441781,0.04192576758647493,r8090127.trees
0,10001.0,250,59,2.9762214363613824,6.180732793392006,0.042612022271356464,3.656614078860914,-1.7133925690203438,-1.6993560458696728,0.1361605538590362,0.03318111154294598,r8090128.trees
0,10001.0,250,75,3.5034714522742263,4.822643595379129,0.03010634755293765,4.14585575525357,-2.2419631114975305,-2.0640868032859747,0.3565410774968923,0.030782114633649806,r8090129.trees
0,10001.0,250,79,3.5310499121973042,6.562410540267604,0.02593457746507306,4.143834449202842,-1.136713963982053,-2.0948975838447694,0.1282654320097949,0.031426782398410846,r8090130.trees
0,10001.0,250,71,3.6672124776336386,6.791474187125465,0.012591847297659504,4.2257386780859285,-1.9402942155536556,-2.2280857544073487,0.23418756969722687,0.030652178606900723,r8090131.trees
0,10001.0,250,62,4.464165045873802,6.789889801524579,0.006175491982292941,5.1104761460513295,-2.6431939385260863,-2.7466697992515337,-0.4245928908282969,0.03873096070919623,r8090132.trees
0,10001.0,250,60,2.5855708298065747,3.1458934447201603,0.01682073952649421,3.0473248868593266,-0.8432189439040394,-1.545521819721669,-0.5839658141633347,0.03876503079767752,r8090133.trees
0,10001.0,250,49,3.6915971135846397,6.214280253132608,0.0002744768680798587,4.236734234952566,-1.4466287309395944,-2.2912657868276964,0.26334897901907145,0.02800603334998982,r8090134.trees
0,10001.0,250,84,4.273881833932855,7.033705377170828,0.008776677303489432,4.860747030607568,-1.4667212390850626,-2.6147462615742225,-0.6194574084788441,0.043653878185553274,r8090135.trees
