#/home/enes/bim/BIM.py trees/r3020020.trees,trees/r3020021.trees,trees/r3020022.trees,trees/r3020023.trees,trees/r3020024.trees,trees/r3020025.trees,trees/r3020026.trees,trees/r3020027.trees,trees/r3020028.trees,trees/r3020029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/181798634.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,bsfs,FulD,TajD,FayH,FerL,Colless,btree,path
0,100001.0,50,431,0.5291189821769332,-2.8790665526656447,0.9694218891010012,-0.7912299872706763,-0.1819784335922492,-1.0698568365798566,0.1875645546176586,-1.5964329355444549,r3020020.trees
0,100001.0,50,372,0.03150690164214877,-1.356404414069544,1.0072835350633405,-0.5311765687098767,-0.07851859326370457,-0.3485776892954266,0.1923479161779654,-0.43765678558655174,r3020021.trees
0,100001.0,50,369,0.835190116626238,-2.597421317017818,1.7239488635989295,-0.6596180211852137,-0.20540018452137385,-1.3412322975357267,0.2104927497314717,-1.8279565036799672,r3020022.trees
0,100001.0,50,409,0.6590383728328091,-2.4788548123056966,1.4517400151146467,-0.5834736470837392,-0.170640454330188,-1.095554329132227,0.17719468739876904,-1.354995718593415,r3020023.trees
0,100001.0,50,360,1.2405738636176962,-3.2047184659217596,1.2324462421862994,-0.6110549273112424,-0.25365439737871404,-1.7752396585150478,0.25202733532437344,-1.8780279416606684,r3020024.trees
0,100001.0,50,385,0.11825855003877028,-0.18635105630489276,0.0549573445388569,-0.12294675368453271,-0.03319488527614849,-0.20731594248132978,0.1432573029211686,-0.014129357438376244,r3020025.trees
0,100001.0,50,386,0.6293346239366339,-0.952186329628266,-0.4522667972985517,-0.468765415868584,-0.1507219498730645,-0.9940496708838419,0.1943800247371674,-0.7432800514750771,r3020026.trees
0,100001.0,50,417,0.24072556599236983,-0.21209148790317112,0.011257713411008532,0.013983104706602464,-0.030596022127869396,-0.26637792937567784,0.14105834641548934,-0.30669228310020935,r3020027.trees
0,100001.0,50,394,-0.3546270317024235,-0.9635816852920578,1.1434301382650711,-0.5356334379117709,-0.026838312423970504,0.08918861601877019,0.1564721394175647,-0.5796230679124538,r3020028.trees
0,100001.0,50,508,0.41760969449695146,-1.30980069273182,0.732328249921897,-0.3345941522830263,-0.10295250432357288,-0.6736465517827903,0.20488678563212745,-1.0110859656909166,r3020029.trees
