#/home/enes/bim/BIM.py trees/r3080050.trees,trees/r3080051.trees,trees/r3080052.trees,trees/r3080053.trees,trees/r3080054.trees,trees/r3080055.trees,trees/r3080056.trees,trees/r3080057.trees,trees/r3080058.trees,trees/r3080059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/291207718.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,TajD,FulD,ZngE,bsfs,FerL,btree,Colless,path
0,100001.0,50,442,0.03592287166245142,0.40320920215788186,-0.17562913576912986,0.1507777558222098,0.5853189911285145,0.06568470535418275,0.6693210702898533,0.10173937299787644,r3080050.trees
0,100001.0,50,377,0.004138976240378814,0.22844842154091646,-0.07037655686752298,0.20514425374083595,0.4787286862095064,-0.09960859405432712,0.14991408074021514,0.14403416733925217,r3080051.trees
0,100001.0,50,318,-0.027844230691695622,-0.5587412572780535,-0.03157088359957681,-0.3704300256660987,-0.7204092068732304,0.09454438386308196,0.25078864485102503,0.12728392639106928,r3080052.trees
0,100001.0,50,439,0.01563050857415212,0.3130207320867124,-0.2555625495847375,0.20778790963570135,0.5337040106302436,-0.05251797651775248,0.17968991686847957,0.12344104308390026,r3080053.trees
0,100001.0,50,459,0.017089513011154998,0.1521733754594511,-0.06515198826115891,0.0307350143382386,0.425131568530285,0.05466913339979405,0.3432437226466437,0.12142534739014084,r3080054.trees
0,100001.0,50,419,-0.05016400862850272,-0.4596541791459737,0.13688531491063766,-0.1037652216426271,-0.7879789210192703,-0.1524473470312437,-0.18454783396369812,0.12198473984188266,r3080055.trees
0,100001.0,50,460,-0.018711309220220206,0.21847710407023443,-0.13660213757479478,0.3645091372927559,-0.021998896929322206,-0.2869213845095196,0.06697698247078211,0.12686011904761904,r3080056.trees
0,100001.0,50,409,-0.020188517895930992,0.31925949073613574,0.18447908642539565,0.4789519453337281,0.10135404185130145,-0.3583416643707478,0.31709617178353827,0.13813357713027416,r3080057.trees
0,100001.0,50,485,-0.10940606057038077,-0.23842284522227167,0.6786075898177858,0.5645531605158636,-0.9046345700998911,-0.7844730364096537,-0.723624006038932,0.16052890350452995,r3080058.trees
0,100001.0,50,391,-0.038662127948421374,-0.6455235688839616,0.6851680910609417,-0.38069035245947697,-1.2791038240266202,0.05424840361937458,-0.6468387531041255,0.17273174329972937,r3080059.trees
