start,end,N,SS,TajD,FerL,ZngE,bsfs,FayH,FulD,Colless,btree,path,iColless,ibtree
0,10001.0,250,55,-0.6694466024086774,0.7749674016637716,-0.9177217658685336,-0.20330324139236608,0.060232755851321984,1.9300109869852549,0.05470268169452002,-1.2265924457424158,9030000,0.038145670238557916,-0.1498581985929128
0,10001.0,250,57,-1.2647773523276822,-0.1176498811450967,-0.4599933836236372,-1.260223006622998,-0.1176135400388312,1.452817626998819,0.0577841319193826,-1.193069155822534,9030001,0.04635387427847591,-0.45212348804338204
0,10001.0,250,83,-0.6415080719647893,-2.0119341833822224,1.3395345870893027,-0.6502885486271507,-0.3326218327199042,-1.6667313073792047,0.0520456977251899,-0.6357032588137841,9030002,0.059797253530250026,-0.9933044351896904
0,10001.0,250,56,-0.8597864976881099,-0.16470009772550684,-0.2441542012577789,-0.554511713352715,-0.09246097193920827,0.5774319276174193,0.046932145455270205,-0.6485024744709974,9030003,0.0636563850710761,-1.3177768915274453
0,10001.0,250,45,-1.0147554621873822,-0.2319351928381446,-0.25388293279746066,-0.7975054596448664,-0.11714440881137494,0.6299017907174052,0.04462338601718704,-0.2253342472181641,9030004,0.08404990931467808,-2.2196191132788288
0,10001.0,250,54,-0.8566212565783323,-0.6127162121212163,0.11875743463464306,-1.0080657096766026,-0.1583030951203257,2.3448971940804357,0.047068458164455054,-0.6691507214863174,9030005,0.05920456017618862,-1.3736818823214725
0,10001.0,250,47,-1.293358899080274,0.2368337732451183,-0.7532965957613685,-1.1683915441949706,-0.06904685720744674,-0.26246884078775456,0.038917239786636026,-0.3713625090584545,9030006,0.08168876221732807,-2.3363853684371008
0,10001.0,250,65,-1.5105641148286173,1.1883067434928334,-1.6245241448604466,-1.2743940560988707,0.052155664035642535,0.9233246553551042,0.049118375028126084,-0.6161807858641298,9030007,0.0440088800951607,-0.4597914374550355
0,10001.0,250,50,-0.2414753200916229,0.2350411974064029,-0.2946317557720666,-1.5603521086836525e-05,0.015452822784047087,-0.4211500414807812,0.03229045213110507,0.1414234865839787,9030008,0.05486461976940018,-1.15296806273883
0,10001.0,250,62,-0.473289238626646,-0.06921076853143844,-0.1525014878858786,-0.37895585243452345,-0.04735323956294433,1.1069136496820198,0.057296635221236875,-0.7522539216169508,9030009,0.06843503044435809,-1.6447948980231846
