#/home/enes/bim/BIM.py trees/ir3030070.trees,trees/ir3030071.trees,trees/ir3030072.trees,trees/ir3030073.trees,trees/ir3030074.trees,trees/ir3030075.trees,trees/ir3030076.trees,trees/ir3030077.trees,trees/ir3030078.trees,trees/ir3030079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/747895865.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,bsfs,FerL,FayH,ZngE,FulD,btree,Colless,path
0,100001.0,50,315,-0.5976982212890934,-1.9406665079521672,-1.3430407293728097,-0.20183086492821137,0.868850052887045,0.1401953601551799,-2.854501576266549,0.26492819349962204,ir3030070.trees
0,100001.0,50,305,-1.3139669149608466,-3.295222934128935,-1.079885455742328,-0.22073208649649467,0.2699065055317785,1.8028709280960256,-1.5970437036458025,0.23674992385013705,ir3030071.trees
0,100001.0,50,401,-0.9255234785613304,-3.0316811462935047,-2.079648517024054,-0.3112935898595046,1.3450563566727,0.06916646116402823,-1.9020247796901772,0.2426395289298515,ir3030072.trees
0,100001.0,50,387,-0.8037217879923553,-1.959936406159397,-0.7574923357288007,-0.14604702560050128,0.2491591672647168,0.726211385894444,-1.753502830990998,0.21597829608033692,ir3030073.trees
0,100001.0,50,343,-0.5480906691362435,-1.7630117325015437,-1.0525301159297658,-0.1635082939518242,0.6397931373510176,0.6366799509379002,-1.29824302836988,0.19982993197278912,ir3030074.trees
0,100001.0,50,307,-0.4984327468542039,-2.093272937325473,-1.8248392835298692,-0.2524051540986583,1.3419591323844937,0.08499842056387956,-0.7846647743554073,0.1857214716872665,ir3030075.trees
0,100001.0,50,332,0.04065967647133896,-0.7981805156292311,-1.3016310258578923,-0.15205346993425206,1.1613049548072878,0.677428638462122,-1.6060056579790063,0.21553128293570953,ir3030076.trees
0,100001.0,50,429,-0.5938777236254231,-1.547296763765753,-1.2476506312311664,-0.1892746810666745,0.7869441098108026,-0.28832706762587657,-2.116505346217967,0.2345069896090304,ir3030077.trees
0,100001.0,50,325,-1.2523589737281553,-3.302875598140626,-1.2833708023425203,-0.24042156157591696,0.4794627770623438,1.627043495818159,-3.029821308739269,0.359767182735163,ir3030078.trees
0,100001.0,50,315,-0.6964900785566415,-2.43884700301858,-1.4269683194455829,-0.21874394606917474,0.8915227135125262,0.8909981528825723,-2.0131226776861904,0.20778668610301254,ir3030079.trees
