#/home/enes/bim/BIM.py trees/r8120204.trees,trees/r8120205.trees,trees/r8120206.trees,trees/r8120207.trees,trees/r8120208.trees,trees/r8120209.trees,trees/r8120210.trees,trees/r8120211.trees,trees/r8120212.trees,trees/r8120213.trees,trees/r8120214.trees,trees/r8120215.trees,trees/r8120216.trees,trees/r8120217.trees,trees/r8120218.trees,trees/r8120219.trees,trees/r8120220.trees 250 --stats=all --eta=etas/BC.json --out=outs/190659965.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FulD,TajD,ZngE,FerL,bsfs,btree,Colless,path
0,10001.0,250,66,0.02601220125178925,-2.1271989669326685,4.54626986721771,3.865350039861843,-2.3053653579343303,6.651745501204042,-0.014558459689863242,0.033841459026068436,r8120204.trees
0,10001.0,250,50,0.0050152623334865564,-1.4777107260146092,4.656677779578395,4.035544084614552,-2.488518852203322,6.451929750301254,-1.125772396107809,0.045126743533272874,r8120205.trees
0,10001.0,250,94,0.010846134797965201,-2.8049132355323634,5.374732127905534,4.734807448568214,-2.890951778094365,6.9063263038462,0.12915665716557528,0.03476162715377639,r8120206.trees
0,10001.0,250,79,0.023495833282763025,-1.3663816265456399,4.395616617299058,3.768549634353497,-2.250610948346107,6.648254743133051,-0.4386446433901157,0.03741849116897699,r8120207.trees
0,10001.0,250,77,0.01539355934722842,-1.793417361825526,4.540750796691027,3.940536198417683,-2.386227356681123,4.17648316262742,0.013438200072843173,0.03195732237706587,r8120208.trees
0,10001.0,250,74,0.024261379007336187,-1.4975755772162538,3.736532220296663,3.1725775400279925,-1.8799518814122675,4.126012177172089,0.4692022867813946,0.027748988786687974,r8120209.trees
0,10001.0,250,68,0.017693203829409268,-1.3614877967535137,3.8682349704310726,3.317226591710131,-1.9940640690145672,6.581236126326255,-0.37436179436543715,0.038238977415036485,r8120210.trees
0,10001.0,250,59,0.03424707563610174,-1.713392569020344,4.010287159371736,3.333337403930021,-1.9496236397497395,3.803891004425245,0.030830706127159355,0.032808653970721594,r8120211.trees
0,10001.0,250,72,0.027675094998260822,-1.955994246682039,4.066937062662847,3.442919364447345,-2.0359486584747732,6.318984911510077,0.6734474088329331,0.02466721725612126,r8120212.trees
0,10001.0,250,75,0.008252317470591068,-1.7594947677879422,4.885268525158505,4.283191685433085,-2.6240892232435944,6.924799792719332,0.10533934108140096,0.03529661166660778,r8120213.trees
0,10001.0,250,69,0.03935875728569607,-1.3857115925285906,4.126509624716333,3.424898496846923,-1.9847908131334042,5.196341164289271,0.5408006485049969,0.030420067366239145,r8120214.trees
0,10001.0,250,70,0.005679749184638771,-2.18161763661685,4.792227842837822,4.205408542411761,-2.5860071168606957,4.439880863126908,0.12730992659624102,0.03338237743601132,r8120215.trees
0,10001.0,250,48,0.0128461755702664,-1.41436174797616,4.664198596989825,3.9925167856419166,-2.4362586451322357,6.463643793589741,0.3537851076167662,0.028922140173597618,r8120216.trees
0,10001.0,250,76,0.0036080120043846748,-2.0149010029329237,4.491315695346369,3.9621807417343686,-2.4414350072746904,6.559923015630935,0.18189679637591,0.02886060370514315,r8120217.trees
0,10001.0,250,73,0.002441971061393062,-1.9712898715275007,5.0400041102959205,4.4493044595486175,-2.7478529567342127,6.882142856235039,0.08313655347030549,0.03192609146262469,r8120218.trees
0,10001.0,250,82,0.030605448782721298,-2.314762398521534,4.552313991242156,3.871304423933227,-2.28830790914753,6.649486473980431,0.11770958710815203,0.028551154765690326,r8120219.trees
0,10001.0,250,83,0.01551967688860439,-1.8858923928269258,4.397478811249291,3.821600498520251,-2.310924087812927,6.74084653089019,-0.13432783001371973,0.03556160124368442,r8120220.trees
